# Load Type: PARABOLIC
# Load Formula: q(x) = w * (x/L)^2
[Distributed load]
         [x]          [y]          [z]        [F_x]        [F_y]        [F_z]        [M_x]        [M_y]        [M_z]
    0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
    0.068966     0.000000     0.000000     0.000000  -118.906064     0.000000     0.000000     0.000000     0.000000
    0.137931     0.000000     0.000000     0.000000  -475.624257     0.000000     0.000000     0.000000     0.000000
    0.206897     0.000000     0.000000     0.000000 -1070.154578     0.000000     0.000000     0.000000     0.000000
    0.275862     0.000000     0.000000     0.000000 -1902.497027     0.000000     0.000000     0.000000     0.000000
    0.344828     0.000000     0.000000     0.000000 -2972.651605     0.000000     0.000000     0.000000     0.000000
    0.413793     0.000000     0.000000     0.000000 -4280.618312     0.000000     0.000000     0.000000     0.000000
    0.482759     0.000000     0.000000     0.000000 -5826.397146     0.000000     0.000000     0.000000     0.000000
    0.551724     0.000000     0.000000     0.000000 -7609.988109     0.000000     0.000000     0.000000     0.000000
    0.620690     0.000000     0.000000     0.000000 -9631.391201     0.000000     0.000000     0.000000     0.000000
    0.689655     0.000000     0.000000     0.000000 -11890.606421     0.000000     0.000000     0.000000     0.000000
    0.758621     0.000000     0.000000     0.000000 -14387.633769     0.000000     0.000000     0.000000     0.000000
    0.827586     0.000000     0.000000     0.000000 -17122.473246     0.000000     0.000000     0.000000     0.000000
    0.896552     0.000000     0.000000     0.000000 -20095.124851     0.000000     0.000000     0.000000     0.000000
    0.965517     0.000000     0.000000     0.000000 -23305.588585     0.000000     0.000000     0.000000     0.000000
    1.034483     0.000000     0.000000     0.000000 -26753.864447     0.000000     0.000000     0.000000     0.000000
    1.103448     0.000000     0.000000     0.000000 -30439.952438     0.000000     0.000000     0.000000     0.000000
    1.172414     0.000000     0.000000     0.000000 -34363.852556     0.000000     0.000000     0.000000     0.000000
    1.241379     0.000000     0.000000     0.000000 -38525.564804     0.000000     0.000000     0.000000     0.000000
    1.310345     0.000000     0.000000     0.000000 -42925.089180     0.000000     0.000000     0.000000     0.000000
    1.379310     0.000000     0.000000     0.000000 -47562.425684     0.000000     0.000000     0.000000     0.000000
    1.448276     0.000000     0.000000     0.000000 -52437.574316     0.000000     0.000000     0.000000     0.000000
    1.517241     0.000000     0.000000     0.000000 -57550.535077     0.000000     0.000000     0.000000     0.000000
    1.586207     0.000000     0.000000     0.000000 -62901.307967     0.000000     0.000000     0.000000     0.000000
    1.655172     0.000000     0.000000     0.000000 -68489.892985     0.000000     0.000000     0.000000     0.000000
    1.724138     0.000000     0.000000     0.000000 -74316.290131     0.000000     0.000000     0.000000     0.000000
    1.793103     0.000000     0.000000     0.000000 -80380.499405     0.000000     0.000000     0.000000     0.000000
    1.862069     0.000000     0.000000     0.000000 -86682.520809     0.000000     0.000000     0.000000     0.000000
    1.931034     0.000000     0.000000     0.000000 -93222.354340     0.000000     0.000000     0.000000     0.000000
    2.000000     0.000000     0.000000     0.000000 -100000.000000     0.000000     0.000000     0.000000     0.000000
