[Material]
[element_id]  [E]         [G]          [nu]   [rho]     
0             2.0e+11     7.6923e+10   0.3    7850      
1             2.0e+11     7.6923e+10   0.3    7850      
2             2.0e+11     7.6923e+10   0.3    7850      
3             2.0e+11     7.6923e+10   0.3    7850      
4             2.0e+11     7.6923e+10   0.3    7850      
5             2.0e+11     7.6923e+10   0.3    7850      
6             2.0e+11     7.6923e+10   0.3    7850      
7             2.0e+11     7.6923e+10   0.3    7850      
8             2.0e+11     7.6923e+10   0.3    7850      
9             2.0e+11     7.6923e+10   0.3    7850      
10            2.0e+11     7.6923e+10   0.3    7850      
11            2.0e+11     7.6923e+10   0.3    7850      
12            2.0e+11     7.6923e+10   0.3    7850      
13            2.0e+11     7.6923e+10   0.3    7850      
14            2.0e+11     7.6923e+10   0.3    7850      
15            2.0e+11     7.6923e+10   0.3    7850      
16            2.0e+11     7.6923e+10   0.3    7850      
17            2.0e+11     7.6923e+10   0.3    7850      
18            2.0e+11     7.6923e+10   0.3    7850      
19            2.0e+11     7.6923e+10   0.3    7850      
20            2.0e+11     7.6923e+10   0.3    7850      
21            2.0e+11     7.6923e+10   0.3    7850      
22            2.0e+11     7.6923e+10   0.3    7850      
23            2.0e+11     7.6923e+10   0.3    7850      
24            2.0e+11     7.6923e+10   0.3    7850      
25            2.0e+11     7.6923e+10   0.3    7850      
26            2.0e+11     7.6923e+10   0.3    7850      
27            2.0e+11     7.6923e+10   0.3    7850      
28            2.0e+11     7.6923e+10   0.3    7850      
29            2.0e+11     7.6923e+10   0.3    7850      
30            2.0e+11     7.6923e+10   0.3    7850      
31            2.0e+11     7.6923e+10   0.3    7850      
32            2.0e+11     7.6923e+10   0.3    7850      
33            2.0e+11     7.6923e+10   0.3    7850      
34            2.0e+11     7.6923e+10   0.3    7850      
35            2.0e+11     7.6923e+10   0.3    7850      
36            2.0e+11     7.6923e+10   0.3    7850      
37            2.0e+11     7.6923e+10   0.3    7850      
38            2.0e+11     7.6923e+10   0.3    7850      
39            2.0e+11     7.6923e+10   0.3    7850      
40            2.0e+11     7.6923e+10   0.3    7850      
41            2.0e+11     7.6923e+10   0.3    7850      
42            2.0e+11     7.6923e+10   0.3    7850      
43            2.0e+11     7.6923e+10   0.3    7850      
44            2.0e+11     7.6923e+10   0.3    7850      
45            2.0e+11     7.6923e+10   0.3    7850      
46            2.0e+11     7.6923e+10   0.3    7850      
47            2.0e+11     7.6923e+10   0.3    7850      
48            2.0e+11     7.6923e+10   0.3    7850      
49            2.0e+11     7.6923e+10   0.3    7850      
50            2.0e+11     7.6923e+10   0.3    7850      
51            2.0e+11     7.6923e+10   0.3    7850      
52            2.0e+11     7.6923e+10   0.3    7850      
53            2.0e+11     7.6923e+10   0.3    7850      
54            2.0e+11     7.6923e+10   0.3    7850      
55            2.0e+11     7.6923e+10   0.3    7850      
56            2.0e+11     7.6923e+10   0.3    7850      
57            2.0e+11     7.6923e+10   0.3    7850      
58            2.0e+11     7.6923e+10   0.3    7850      
59            2.0e+11     7.6923e+10   0.3    7850      
60            2.0e+11     7.6923e+10   0.3    7850      
61            2.0e+11     7.6923e+10   0.3    7850      
62            2.0e+11     7.6923e+10   0.3    7850      
63            2.0e+11     7.6923e+10   0.3    7850      
64            2.0e+11     7.6923e+10   0.3    7850      
65            2.0e+11     7.6923e+10   0.3    7850      
66            2.0e+11     7.6923e+10   0.3    7850      
67            2.0e+11     7.6923e+10   0.3    7850      
68            2.0e+11     7.6923e+10   0.3    7850      
69            2.0e+11     7.6923e+10   0.3    7850      
70            2.0e+11     7.6923e+10   0.3    7850      
71            2.0e+11     7.6923e+10   0.3    7850      
72            2.0e+11     7.6923e+10   0.3    7850      
73            2.0e+11     7.6923e+10   0.3    7850      
74            2.0e+11     7.6923e+10   0.3    7850      
75            2.0e+11     7.6923e+10   0.3    7850      
76            2.0e+11     7.6923e+10   0.3    7850      
77            2.0e+11     7.6923e+10   0.3    7850      
78            2.0e+11     7.6923e+10   0.3    7850      
79            2.0e+11     7.6923e+10   0.3    7850      
80            2.0e+11     7.6923e+10   0.3    7850      
81            2.0e+11     7.6923e+10   0.3    7850      
82            2.0e+11     7.6923e+10   0.3    7850      
83            2.0e+11     7.6923e+10   0.3    7850      
84            2.0e+11     7.6923e+10   0.3    7850      
85            2.0e+11     7.6923e+10   0.3    7850      
86            2.0e+11     7.6923e+10   0.3    7850      
87            2.0e+11     7.6923e+10   0.3    7850      
88            2.0e+11     7.6923e+10   0.3    7850      
89            2.0e+11     7.6923e+10   0.3    7850      
90            2.0e+11     7.6923e+10   0.3    7850      
91            2.0e+11     7.6923e+10   0.3    7850      
92            2.0e+11     7.6923e+10   0.3    7850      
93            2.0e+11     7.6923e+10   0.3    7850      
94            2.0e+11     7.6923e+10   0.3    7850      
95            2.0e+11     7.6923e+10   0.3    7850      
96            2.0e+11     7.6923e+10   0.3    7850      
97            2.0e+11     7.6923e+10   0.3    7850      
98            2.0e+11     7.6923e+10   0.3    7850      
99            2.0e+11     7.6923e+10   0.3    7850      
