# S275JR CoTide c-channel beam
[Section]
[element_id]  [A]           [I_x]         [I_y]             [I_z]             [J_t]         
0             1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
1             1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
2             1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
3             1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
4             1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
5             1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
6             1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
7             1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
8             1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
9             1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
10            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
11            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
12            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
13            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
14            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
15            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
16            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
17            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
18            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
19            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
20            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
21            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
22            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
23            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
24            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
25            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
26            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
27            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
28            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
29            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
30            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
31            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
32            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
33            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
34            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
35            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
36            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
37            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
38            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
39            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
40            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
41            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
42            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
43            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
44            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
45            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
46            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
47            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
48            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
49            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
50            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
51            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
52            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
53            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
54            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
55            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
56            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
57            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
58            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
59            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
60            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
61            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
62            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
63            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
64            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
65            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
66            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
67            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
68            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
69            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
70            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
71            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
72            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
73            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
74            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
75            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
76            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
77            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
78            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
79            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
80            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
81            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
82            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
83            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
84            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
85            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
