[Loads]
[x]         [y]         [z]         [F_x]         [F_y]         [F_z]         [M_x]         [M_y]         [M_z]
0.000000    0.000000    0.000000    0.000000    -0.000000    0.000000    0.000000    0.000000    -0.000000
0.080808    0.000000    0.000000    0.000000    -10.101010    0.000000    0.000000    0.000000    -0.816243
0.161616    0.000000    0.000000    0.000000    -20.202020    0.000000    0.000000    0.000000    -3.264973
0.242424    0.000000    0.000000    0.000000    -30.303030    0.000000    0.000000    0.000000    -7.346189
0.323232    0.000000    0.000000    0.000000    -40.404040    0.000000    0.000000    0.000000    -13.059892
0.404040    0.000000    0.000000    0.000000    -50.505051    0.000000    0.000000    0.000000    -20.406081
0.484848    0.000000    0.000000    0.000000    -60.606061    0.000000    0.000000    0.000000    -29.384757
0.565657    0.000000    0.000000    0.000000    -70.707071    0.000000    0.000000    0.000000    -39.995919
0.646465    0.000000    0.000000    0.000000    -80.808081    0.000000    0.000000    0.000000    -52.239567
0.727273    0.000000    0.000000    0.000000    -90.909091    0.000000    0.000000    0.000000    -66.115702
0.808081    0.000000    0.000000    0.000000    -101.010101    0.000000    0.000000    0.000000    -81.624324
0.888889    0.000000    0.000000    0.000000    -111.111111    0.000000    0.000000    0.000000    -98.765432
0.969697    0.000000    0.000000    0.000000    -121.212121    0.000000    0.000000    0.000000    -117.539027
1.050505    0.000000    0.000000    0.000000    -131.313131    0.000000    0.000000    0.000000    -137.945108
1.131313    0.000000    0.000000    0.000000    -141.414141    0.000000    0.000000    0.000000    -159.983675
1.212121    0.000000    0.000000    0.000000    -151.515152    0.000000    0.000000    0.000000    -183.654729
1.292929    0.000000    0.000000    0.000000    -161.616162    0.000000    0.000000    0.000000    -208.958270
1.373737    0.000000    0.000000    0.000000    -171.717172    0.000000    0.000000    0.000000    -235.894297
1.454545    0.000000    0.000000    0.000000    -181.818182    0.000000    0.000000    0.000000    -264.462810
1.535354    0.000000    0.000000    0.000000    -191.919192    0.000000    0.000000    0.000000    -294.663810
1.616162    0.000000    0.000000    0.000000    -202.020202    0.000000    0.000000    0.000000    -326.497296
1.696970    0.000000    0.000000    0.000000    -212.121212    0.000000    0.000000    0.000000    -359.963269
1.777778    0.000000    0.000000    0.000000    -222.222222    0.000000    0.000000    0.000000    -395.061728
1.858586    0.000000    0.000000    0.000000    -232.323232    0.000000    0.000000    0.000000    -431.792674
1.939394    0.000000    0.000000    0.000000    -242.424242    0.000000    0.000000    0.000000    -470.156107
2.020202    0.000000    0.000000    0.000000    -252.525253    0.000000    0.000000    0.000000    -510.152025
2.101010    0.000000    0.000000    0.000000    -262.626263    0.000000    0.000000    0.000000    -551.780431
2.181818    0.000000    0.000000    0.000000    -272.727273    0.000000    0.000000    0.000000    -595.041322
2.262626    0.000000    0.000000    0.000000    -282.828283    0.000000    0.000000    0.000000    -639.934701
2.343434    0.000000    0.000000    0.000000    -292.929293    0.000000    0.000000    0.000000    -686.460565
2.424242    0.000000    0.000000    0.000000    -303.030303    0.000000    0.000000    0.000000    -734.618916
2.505051    0.000000    0.000000    0.000000    -313.131313    0.000000    0.000000    0.000000    -784.409754
2.585859    0.000000    0.000000    0.000000    -323.232323    0.000000    0.000000    0.000000    -835.833078
2.666667    0.000000    0.000000    0.000000    -333.333333    0.000000    0.000000    0.000000    -888.888889
2.747475    0.000000    0.000000    0.000000    -343.434343    0.000000    0.000000    0.000000    -943.577186
2.828283    0.000000    0.000000    0.000000    -353.535354    0.000000    0.000000    0.000000    -999.897970
2.909091    0.000000    0.000000    0.000000    -363.636364    0.000000    0.000000    0.000000    -1057.851240
2.989899    0.000000    0.000000    0.000000    -373.737374    0.000000    0.000000    0.000000    -1117.436996
3.070707    0.000000    0.000000    0.000000    -383.838384    0.000000    0.000000    0.000000    -1178.655239
3.151515    0.000000    0.000000    0.000000    -393.939394    0.000000    0.000000    0.000000    -1241.505969
3.232323    0.000000    0.000000    0.000000    -404.040404    0.000000    0.000000    0.000000    -1305.989185
3.313131    0.000000    0.000000    0.000000    -414.141414    0.000000    0.000000    0.000000    -1372.104887
3.393939    0.000000    0.000000    0.000000    -424.242424    0.000000    0.000000    0.000000    -1439.853076
3.474747    0.000000    0.000000    0.000000    -434.343434    0.000000    0.000000    0.000000    -1509.233752
3.555556    0.000000    0.000000    0.000000    -444.444444    0.000000    0.000000    0.000000    -1580.246914
3.636364    0.000000    0.000000    0.000000    -454.545455    0.000000    0.000000    0.000000    -1652.892562
3.717172    0.000000    0.000000    0.000000    -464.646465    0.000000    0.000000    0.000000    -1727.170697
3.797980    0.000000    0.000000    0.000000    -474.747475    0.000000    0.000000    0.000000    -1803.081318
3.878788    0.000000    0.000000    0.000000    -484.848485    0.000000    0.000000    0.000000    -1880.624426
3.959596    0.000000    0.000000    0.000000    -494.949495    0.000000    0.000000    0.000000    -1959.800020
4.040404    0.000000    0.000000    0.000000    -505.050505    0.000000    0.000000    0.000000    -2040.608101
4.121212    0.000000    0.000000    0.000000    -515.151515    0.000000    0.000000    0.000000    -2123.048669
4.202020    0.000000    0.000000    0.000000    -525.252525    0.000000    0.000000    0.000000    -2207.121722
4.282828    0.000000    0.000000    0.000000    -535.353535    0.000000    0.000000    0.000000    -2292.827263
4.363636    0.000000    0.000000    0.000000    -545.454545    0.000000    0.000000    0.000000    -2380.165289
4.444444    0.000000    0.000000    0.000000    -555.555556    0.000000    0.000000    0.000000    -2469.135802
4.525253    0.000000    0.000000    0.000000    -565.656566    0.000000    0.000000    0.000000    -2559.738802
4.606061    0.000000    0.000000    0.000000    -575.757576    0.000000    0.000000    0.000000    -2651.974288
4.686869    0.000000    0.000000    0.000000    -585.858586    0.000000    0.000000    0.000000    -2745.842261
4.767677    0.000000    0.000000    0.000000    -595.959596    0.000000    0.000000    0.000000    -2841.342720
4.848485    0.000000    0.000000    0.000000    -606.060606    0.000000    0.000000    0.000000    -2938.475666
4.929293    0.000000    0.000000    0.000000    -616.161616    0.000000    0.000000    0.000000    -3037.241098
5.010101    0.000000    0.000000    0.000000    -626.262626    0.000000    0.000000    0.000000    -3137.639016
5.090909    0.000000    0.000000    0.000000    -636.363636    0.000000    0.000000    0.000000    -3239.669421
5.171717    0.000000    0.000000    0.000000    -646.464646    0.000000    0.000000    0.000000    -3343.332313
5.252525    0.000000    0.000000    0.000000    -656.565657    0.000000    0.000000    0.000000    -3448.627691
5.333333    0.000000    0.000000    0.000000    -666.666667    0.000000    0.000000    0.000000    -3555.555556
5.414141    0.000000    0.000000    0.000000    -676.767677    0.000000    0.000000    0.000000    -3664.115907
5.494949    0.000000    0.000000    0.000000    -686.868687    0.000000    0.000000    0.000000    -3774.308744
5.575758    0.000000    0.000000    0.000000    -696.969697    0.000000    0.000000    0.000000    -3886.134068
5.656566    0.000000    0.000000    0.000000    -707.070707    0.000000    0.000000    0.000000    -3999.591878
5.737374    0.000000    0.000000    0.000000    -717.171717    0.000000    0.000000    0.000000    -4114.682175
5.818182    0.000000    0.000000    0.000000    -727.272727    0.000000    0.000000    0.000000    -4231.404959
5.898990    0.000000    0.000000    0.000000    -737.373737    0.000000    0.000000    0.000000    -4349.760229
5.979798    0.000000    0.000000    0.000000    -747.474747    0.000000    0.000000    0.000000    -4469.747985
6.060606    0.000000    0.000000    0.000000    -757.575758    0.000000    0.000000    0.000000    -4591.368228
6.141414    0.000000    0.000000    0.000000    -767.676768    0.000000    0.000000    0.000000    -4714.620957
6.222222    0.000000    0.000000    0.000000    -777.777778    0.000000    0.000000    0.000000    -4839.506173
6.303030    0.000000    0.000000    0.000000    -787.878788    0.000000    0.000000    0.000000    -4966.023875
6.383838    0.000000    0.000000    0.000000    -797.979798    0.000000    0.000000    0.000000    -5094.174064
6.464646    0.000000    0.000000    0.000000    -808.080808    0.000000    0.000000    0.000000    -5223.956739
6.545455    0.000000    0.000000    0.000000    -818.181818    0.000000    0.000000    0.000000    -5355.371901
6.626263    0.000000    0.000000    0.000000    -828.282828    0.000000    0.000000    0.000000    -5488.419549
6.707071    0.000000    0.000000    0.000000    -838.383838    0.000000    0.000000    0.000000    -5623.099684
6.787879    0.000000    0.000000    0.000000    -848.484848    0.000000    0.000000    0.000000    -5759.412305
6.868687    0.000000    0.000000    0.000000    -858.585859    0.000000    0.000000    0.000000    -5897.357413
6.949495    0.000000    0.000000    0.000000    -868.686869    0.000000    0.000000    0.000000    -6036.935007
7.030303    0.000000    0.000000    0.000000    -878.787879    0.000000    0.000000    0.000000    -6178.145087
7.111111    0.000000    0.000000    0.000000    -888.888889    0.000000    0.000000    0.000000    -6320.987654
7.191919    0.000000    0.000000    0.000000    -898.989899    0.000000    0.000000    0.000000    -6465.462708
7.272727    0.000000    0.000000    0.000000    -909.090909    0.000000    0.000000    0.000000    -6611.570248
7.353535    0.000000    0.000000    0.000000    -919.191919    0.000000    0.000000    0.000000    -6759.310274
7.434343    0.000000    0.000000    0.000000    -929.292929    0.000000    0.000000    0.000000    -6908.682787
7.515152    0.000000    0.000000    0.000000    -939.393939    0.000000    0.000000    0.000000    -7059.687787
7.595960    0.000000    0.000000    0.000000    -949.494949    0.000000    0.000000    0.000000    -7212.325273
7.676768    0.000000    0.000000    0.000000    -959.595960    0.000000    0.000000    0.000000    -7366.595245
7.757576    0.000000    0.000000    0.000000    -969.696970    0.000000    0.000000    0.000000    -7522.497704
7.838384    0.000000    0.000000    0.000000    -979.797980    0.000000    0.000000    0.000000    -7680.032650
7.919192    0.000000    0.000000    0.000000    -989.898990    0.000000    0.000000    0.000000    -7839.200082
8.000000    0.000000    0.000000    0.000000    -1000.000000    0.000000    0.000000    0.000000    -8000.000000
