[element_types]
EulerBernoulliBeamElement

[node_ids]   [x]          [y]        [z]        [connectivity]
1            1.000847     0.0        0.0        (1, 2)
2            1.004232     0.0        0.0        (2, 3)
3            1.010999     0.0        0.0        (3, 4)
4            1.021141     0.0        0.0        (4, 5)
5            1.034649     0.0        0.0        (5, 6)
6            1.051510     0.0        0.0        (6, 7)
7            1.071707     0.0        0.0        (7, 8)
8            1.095220     0.0        0.0        (8, 9)
9            1.122028     0.0        0.0        (9, 10)
10           1.152103     0.0        0.0        (10, 11)
11           1.185417     0.0        0.0        (11, 12)
12           1.221938     0.0        0.0        (12, 13)
13           1.261630     0.0        0.0        (13, 14)
14           1.304455     0.0        0.0        (14, 15)
15           1.350372     0.0        0.0        (15, 16)
16           1.399335     0.0        0.0        (16, 17)
17           1.451299     0.0        0.0        (17, 18)
18           1.506211     0.0        0.0        (18, 19)
19           1.564020     0.0        0.0        (19, 20)
20           1.624670     0.0        0.0        (20, 21)
21           1.688101     0.0        0.0        (21, 22)
22           1.754252     0.0        0.0        (22, 23)
23           1.823060     0.0        0.0        (23, 24)
24           1.894457     0.0        0.0        (24, 25)
25           1.968376     0.0        0.0        (25, 26)
26           2.044743     0.0        0.0        (26, 27)
27           2.123486     0.0        0.0        (27, 28)
28           2.204528     0.0        0.0        (28, 29)
29           2.287790     0.0        0.0        (29, 30)
30           2.373193     0.0        0.0        (30, 31)
31           2.460653     0.0        0.0        (31, 32)
32           2.550086     0.0        0.0        (32, 33)
33           2.641406     0.0        0.0        (33, 34)
34           2.734524     0.0        0.0        (34, 35)
35           2.829349     0.0        0.0        (35, 36)
36           2.925791     0.0        0.0        (36, 37)
37           3.023756     0.0        0.0        (37, 38)
38           3.123149     0.0        0.0        (38, 39)
39           3.223874     0.0        0.0        (39, 40)
40           3.325834     0.0        0.0        (40, 41)
41           3.428929     0.0        0.0        (41, 42)
42           3.533061     0.0        0.0        (42, 43)
43           3.638128     0.0        0.0        (43, 44)
44           3.744029     0.0        0.0        (44, 45)
45           3.850661     0.0        0.0        (45, 46)
46           3.957922     0.0        0.0        (46, 47)
47           4.065707     0.0        0.0        (47, 48)
48           4.173912     0.0        0.0        (48, 49)
49           4.282433     0.0        0.0        (49, 50)
50           4.391164     0.0        0.0        (50, 51)
51           4.500000     0.0        0.0        (51, 52)
52           4.608836     0.0        0.0        (52, 53)
53           4.717567     0.0        0.0        (53, 54)
54           4.826088     0.0        0.0        (54, 55)
55           4.934293     0.0        0.0        (55, 56)
56           5.042078     0.0        0.0        (56, 57)
57           5.149339     0.0        0.0        (57, 58)
58           5.255971     0.0        0.0        (58, 59)
59           5.361872     0.0        0.0        (59, 60)
60           5.466939     0.0        0.0        (60, 61)
61           5.571071     0.0        0.0        (61, 62)
62           5.674166     0.0        0.0        (62, 63)
63           5.776126     0.0        0.0        (63, 64)
64           5.876851     0.0        0.0        (64, 65)
65           5.976244     0.0        0.0        (65, 66)
66           6.074209     0.0        0.0        (66, 67)
67           6.170651     0.0        0.0        (67, 68)
68           6.265476     0.0        0.0        (68, 69)
69           6.358594     0.0        0.0        (69, 70)
70           6.449914     0.0        0.0        (70, 71)
71           6.539347     0.0        0.0        (71, 72)
72           6.626807     0.0        0.0        (72, 73)
73           6.712210     0.0        0.0        (73, 74)
74           6.795472     0.0        0.0        (74, 75)
75           6.876514     0.0        0.0        (75, 76)
76           6.955257     0.0        0.0        (76, 77)
77           7.031624     0.0        0.0        (77, 78)
78           7.105543     0.0        0.0        (78, 79)
79           7.176940     0.0        0.0        (79, 80)
80           7.245748     0.0        0.0        (80, 81)
81           7.311899     0.0        0.0        (81, 82)
82           7.375330     0.0        0.0        (82, 83)
83           7.435980     0.0        0.0        (83, 84)
84           7.493789     0.0        0.0        (84, 85)
85           7.548701     0.0        0.0        (85, 86)
86           7.600665     0.0        0.0        (86, 87)
87           7.649628     0.0        0.0        (87, 88)
88           7.695545     0.0        0.0        (88, 89)
89           7.738370     0.0        0.0        (89, 90)
90           7.778062     0.0        0.0        (90, 91)
91           7.814583     0.0        0.0        (91, 92)
92           7.847897     0.0        0.0        (92, 93)
93           7.877972     0.0        0.0        (93, 94)
94           7.904780     0.0        0.0        (94, 95)
95           7.928293     0.0        0.0        (95, 96)
96           7.948490     0.0        0.0        (96, 97)
97           7.965351     0.0        0.0        (97, 98)
98           7.978859     0.0        0.0        (98, 99)
99           7.989001     0.0        0.0        (99, 100)
100          7.995768     0.0        0.0        (100, 101)
101          7.999153     0.0        0.0        -
