[element_types]
EulerBernoulliBeamElement

[node_ids]   [x]          [y]        [z]        [connectivity]
1            0.000000     0.0        0.0        (1, 2)
2            0.183205     0.0        0.0        (2, 3)
3            0.362782     0.0        0.0        (3, 4)
4            0.538803     0.0        0.0        (4, 5)
5            0.711338     0.0        0.0        (5, 6)
6            0.880458     0.0        0.0        (6, 7)
7            1.046228     0.0        0.0        (7, 8)
8            1.208716     0.0        0.0        (8, 9)
9            1.367987     0.0        0.0        (9, 10)
10           1.524103     0.0        0.0        (10, 11)
11           1.677129     0.0        0.0        (11, 12)
12           1.827124     0.0        0.0        (12, 13)
13           1.974149     0.0        0.0        (13, 14)
14           2.118263     0.0        0.0        (14, 15)
15           2.259523     0.0        0.0        (15, 16)
16           2.397986     0.0        0.0        (16, 17)
17           2.533708     0.0        0.0        (17, 18)
18           2.666742     0.0        0.0        (18, 19)
19           2.797141     0.0        0.0        (19, 20)
20           2.924959     0.0        0.0        (20, 21)
21           3.050245     0.0        0.0        (21, 22)
22           3.173051     0.0        0.0        (22, 23)
23           3.293425     0.0        0.0        (23, 24)
24           3.411416     0.0        0.0        (24, 25)
25           3.527070     0.0        0.0        (25, 26)
26           3.640434     0.0        0.0        (26, 27)
27           3.751553     0.0        0.0        (27, 28)
28           3.860472     0.0        0.0        (28, 29)
29           3.967234     0.0        0.0        (29, 30)
30           4.071882     0.0        0.0        (30, 31)
31           4.174458     0.0        0.0        (31, 32)
32           4.275003     0.0        0.0        (32, 33)
33           4.373557     0.0        0.0        (33, 34)
34           4.470160     0.0        0.0        (34, 35)
35           4.564849     0.0        0.0        (35, 36)
36           4.657664     0.0        0.0        (36, 37)
37           4.748641     0.0        0.0        (37, 38)
38           4.837816     0.0        0.0        (38, 39)
39           4.925225     0.0        0.0        (39, 40)
40           5.010904     0.0        0.0        (40, 41)
41           5.094886     0.0        0.0        (41, 42)
42           5.177205     0.0        0.0        (42, 43)
43           5.257894     0.0        0.0        (43, 44)
44           5.336986     0.0        0.0        (44, 45)
45           5.414511     0.0        0.0        (45, 46)
46           5.490501     0.0        0.0        (46, 47)
47           5.564987     0.0        0.0        (47, 48)
48           5.637997     0.0        0.0        (48, 49)
49           5.709562     0.0        0.0        (49, 50)
50           5.779710     0.0        0.0        (50, 51)
51           5.848469     0.0        0.0        (51, 52)
52           5.915866     0.0        0.0        (52, 53)
53           5.981929     0.0        0.0        (53, 54)
54           6.046683     0.0        0.0        (54, 55)
55           6.110155     0.0        0.0        (55, 56)
56           6.172371     0.0        0.0        (56, 57)
57           6.233354     0.0        0.0        (57, 58)
58           6.293130     0.0        0.0        (58, 59)
59           6.351723     0.0        0.0        (59, 60)
60           6.409155     0.0        0.0        (60, 61)
61           6.465450     0.0        0.0        (61, 62)
62           6.520630     0.0        0.0        (62, 63)
63           6.574718     0.0        0.0        (63, 64)
64           6.627734     0.0        0.0        (64, 65)
65           6.679701     0.0        0.0        (65, 66)
66           6.730639     0.0        0.0        (66, 67)
67           6.780568     0.0        0.0        (67, 68)
68           6.829508     0.0        0.0        (68, 69)
69           6.877479     0.0        0.0        (69, 70)
70           6.924501     0.0        0.0        (70, 71)
71           6.970591     0.0        0.0        (71, 72)
72           7.015769     0.0        0.0        (72, 73)
73           7.060052     0.0        0.0        (73, 74)
74           7.103458     0.0        0.0        (74, 75)
75           7.146005     0.0        0.0        (75, 76)
76           7.187709     0.0        0.0        (76, 77)
77           7.228588     0.0        0.0        (77, 78)
78           7.268657     0.0        0.0        (78, 79)
79           7.307933     0.0        0.0        (79, 80)
80           7.346430     0.0        0.0        (80, 81)
81           7.384166     0.0        0.0        (81, 82)
82           7.421154     0.0        0.0        (82, 83)
83           7.457410     0.0        0.0        (83, 84)
84           7.492948     0.0        0.0        (84, 85)
85           7.527783     0.0        0.0        (85, 86)
86           7.561927     0.0        0.0        (86, 87)
87           7.595396     0.0        0.0        (87, 88)
88           7.628202     0.0        0.0        (88, 89)
89           7.660358     0.0        0.0        (89, 90)
90           7.691877     0.0        0.0        (90, 91)
91           7.722772     0.0        0.0        (91, 92)
92           7.753056     0.0        0.0        (92, 93)
93           7.782740     0.0        0.0        (93, 94)
94           7.811836     0.0        0.0        (94, 95)
95           7.840356     0.0        0.0        (95, 96)
96           7.868311     0.0        0.0        (96, 97)
97           7.895713     0.0        0.0        (97, 98)
98           7.922572     0.0        0.0        (98, 99)
99           7.948899     0.0        0.0        (99, 100)
100          7.974705     0.0        0.0        (100, 101)
101          8.000000     0.0        0.0        -
