Theory,Parameter,Scale,uy [mm],theta_z [deg],Pi_uy,Pi_theta,Order_uy,Order_theta,Order_Pi_uy,Order_Pi_theta
Euler-Bernoulli,F,0.1,0.03801573958062709,0.0032672121495575493,3.0,6.503384051379256e-09,1.0000000000000002,1.0000000000000004,0.0,1.9999999999999991
Euler-Bernoulli,F,0.10234114021054533,0.03890574134628535,0.0033437021669546637,3.0,6.811455193668256e-09,1.0000000000000002,1.0000000000000004,0.0,1.9999999999999991
Euler-Bernoulli,F,0.10473708979594494,0.039816579301153975,0.003421982922906113,3.0,7.1341199426028734e-09,1.0000000000000002,1.0000000000000004,0.0,1.9999999999999991
Euler-Bernoulli,F,0.10718913192051278,0.04074874124963696,0.0035020963411122627,3.0,7.47206961043439e-09,1.0000000000000002,1.0000000000000004,0.0,1.9999999999999991
Euler-Bernoulli,F,0.10969857978923835,0.04170272641632328,0.0035840853267660776,2.9999999999999996,7.82602825749618e-09,1.0000000000000002,1.0000000000000004,0.0,1.9999999999999991
Euler-Bernoulli,F,0.11226677735108136,0.042679045713349524,0.0036679937895312533,2.9999999999999996,8.196754243509801e-09,1.0000000000000002,1.0000000000000004,0.0,1.9999999999999991
Euler-Bernoulli,F,0.11489510001873092,0.043678222014021766,0.0037538666670582747,3.0,8.585041852377792e-09,1.0000000000000002,1.0000000000000004,0.0,1.9999999999999991
Euler-Bernoulli,F,0.11758495540521567,0.044700790432843286,0.003841749949051032,2.9999999999999996,8.99172299394438e-09,1.0000000000000002,1.0000000000000004,0.0,1.9999999999999991
Euler-Bernoulli,F,0.12033778407775896,0.04574729861209817,0.003931690701896871,3.0,9.417668986370157e-09,1.0000000000000002,1.0000000000000004,0.0,1.9999999999999991
Euler-Bernoulli,F,0.12315506032928256,0.046818307015144243,0.00402373709387325,3.0,9.86379242293937e-09,1.0000000000000002,1.0000000000000004,0.0,1.9999999999999991
Euler-Bernoulli,F,0.12603829296797275,0.047914389226572346,0.004117938420944544,2.9999999999999996,1.0331049127299623e-08,1.0000000000000002,1.0000000000000004,0.0,1.9999999999999991
Euler-Bernoulli,F,0.12898902612533086,0.04903613225939282,0.004214345133162771,2.9999999999999996,1.0820440201322991e-08,1.0000000000000002,1.0000000000000004,0.0,1.9999999999999991
Euler-Bernoulli,F,0.1320088400831418,0.05018413686941365,0.004313008861686405,3.0,1.1333014169976188e-08,1.0000000000000002,1.0000000000000004,0.0,1.9999999999999991
Euler-Bernoulli,F,0.13509935211980267,0.05135901787697859,0.004413982446431727,2.9999999999999996,1.1869869227795124e-08,1.0000000000000002,1.0000000000000004,0.0,1.9999999999999991
Euler-Bernoulli,F,0.13826221737646557,0.05256140449623769,0.004517319964371552,2.9999999999999996,1.2432155591777016e-08,1.0000000000000002,1.0000000000000004,0.0,1.9999999999999991
Euler-Bernoulli,F,0.1414991297434576,0.0537919406721265,0.004623076758496447,3.0,1.3021077965731093e-08,1.0000000000000002,1.0000000000000004,0.0,1.9999999999999991
