Theory,Parameter,Scale,uy [m],theta_z [rad],Pi_uy,Pi_theta,Order_uy,Order_theta,Order_Pi_uy,Order_Pi_theta
tim,F,0.1,3.8581190527757425e-05,5.702360937094063e-05,2.9560316097511152,6.503384051379256e-09,1.0000000000000009,1.0000000000000009,-1.1000837891891598e-16,2.000000000000001
tim,F,0.16681005372000587,6.435730464516998e-05,9.512111342475236e-05,2.9560316097511152,1.8096052438329206e-08,1.0000000000000009,1.0000000000000009,-1.1000837891891598e-16,2.000000000000001
tim,F,0.2782559402207124,0.00010735445445135588,0.00015867158040289712,2.956031609751115,5.0353340855106095e-08,1.0000000000000009,1.0000000000000009,-1.1000837891891598e-16,2.000000000000001
tim,F,0.46415888336127786,0.00017907802314112595,0.00026468014850845504,2.9560316097511157,1.4011116202891562e-07,1.0000000000000009,1.0000000000000009,-1.1000837891891598e-16,2.000000000000001
tim,F,0.774263682681127,0.0002987201466024367,0.00044151309791314513,2.9560316097511157,3.8986763125772493e-07,1.0000000000000009,1.0000000000000009,-1.1000837891891598e-16,2.000000000000001
tim,F,1.291549665014884,0.0004982952370200052,0.0007364882358097798,2.9560316097511152,1.0848298429724036e-06,1.0000000000000009,1.0000000000000009,-1.1000837891891598e-16,2.000000000000001
tim,F,2.1544346900318834,0.000831206552557301,0.0012285364217958167,2.956031609751115,3.018603479357738e-06,1.0000000000000009,1.0000000000000009,-1.1000837891891598e-16,2.000000000000001
tim,F,3.593813663804626,0.0013865360968450422,0.0020493222651674393,2.9560316097511157,8.399443493022009e-06,1.0000000000000009,1.0000000000000009,-1.1000837891891598e-16,2.000000000000001
tim,F,5.994842503189409,0.0023128816079944882,0.003418475571421847,2.9560316097511152,2.337195046481585e-05,1.0000000000000009,1.0000000000000009,-1.1000837891891598e-16,2.000000000000001
tim,F,10.0,0.0038581190527757427,0.005702360937094063,2.956031609751115,6.503384051379256e-05,1.0000000000000009,1.0000000000000009,-1.1000837891891598e-16,2.000000000000001
tim,E,0.1,0.003807228467534012,0.005702360937094062,2.995544389164305,6.503384051379254e-05,-0.9746948549344691,-1.0,-0.02530514506553085,-1.9999999999999996
tim,E,0.16681005372000587,0.0022846382237525355,0.0034184755714218485,2.9925749607804217,2.3371950464815865e-05,-0.9746948549344691,-1.0,-0.02530514506553085,-1.9999999999999996
tim,E,0.2782559402207124,0.0013718693529162637,0.0020493222651674406,2.9876347347669445,8.39944349302202e-06,-0.9746948549344691,-1.0,-0.02530514506553085,-1.9999999999999996
tim,E,0.46415888336127786,0.0008246787906685147,0.0012285364217958171,2.979430138611715,3.01860347935774e-06,-0.9746948549344691,-1.0,-0.02530514506553085,-1.9999999999999996
tim,E,0.774263682681127,0.0004966466666778231,0.0007364882358097797,2.96584386939032,1.0848298429724032e-06,-0.9746948549344691,-1.0,-0.02530514506553085,-1.9999999999999996
tim,E,1.291549665014884,0.00029999657474673346,0.0004415130979131451,2.9434542596753603,3.898676312577249e-07,-0.9746948549344691,-1.0,-0.02530514506553085,-1.9999999999999996
tim,E,2.1544346900318834,0.00018210794181027344,0.0002646801485084551,2.906849046530967,1.401111620289157e-07,-0.9746948549344691,-1.0,-0.02530514506553085,-1.9999999999999996
tim,E,3.593813663804626,0.00011143556307323484,0.00015867158040289722,2.8477727581206573,5.0353340855106154e-08,-0.9746948549344691,-1.0,-0.02530514506553085,-1.9999999999999996
tim,E,5.994842503189409,6.906858508780496e-05,9.512111342475239e-05,2.754395889356285,1.809605243832922e-08,-0.9746948549344691,-1.0,-0.02530514506553085,-1.9999999999999996
tim,E,10.0,4.367024905193045e-05,5.702360937094063e-05,2.6115541179135957,6.503384051379256e-09,-0.9746948549344691,-1.0,-0.02530514506553085,-1.9999999999999996
tim,I,0.1,0.003807228467534012,0.005702360937094062,2.995544389164305,6.503384051379254e-05,-0.9746948549344691,-1.0,-0.02530514506553085,-1.9999999999999996
tim,I,0.16681005372000587,0.0022846382237525355,0.0034184755714218485,2.9925749607804217,2.3371950464815865e-05,-0.9746948549344691,-1.0,-0.02530514506553085,-1.9999999999999996
tim,I,0.2782559402207124,0.0013718693529162637,0.00204932226516744,2.987634734766944,8.399443493022016e-06,-0.9746948549344691,-1.0,-0.02530514506553085,-1.9999999999999996
tim,I,0.46415888336127786,0.0008246787906685147,0.001228536421795817,2.9794301386117144,3.018603479357739e-06,-0.9746948549344691,-1.0,-0.02530514506553085,-1.9999999999999996
tim,I,0.774263682681127,0.0004966466666778232,0.0007364882358097797,2.9658438693903193,1.0848298429724032e-06,-0.9746948549344691,-1.0,-0.02530514506553085,-1.9999999999999996
tim,I,1.291549665014884,0.00029999657474673346,0.0004415130979131452,2.943454259675361,3.8986763125772504e-07,-0.9746948549344691,-1.0,-0.02530514506553085,-1.9999999999999996
tim,I,2.1544346900318834,0.00018210794181027344,0.0002646801485084551,2.906849046530967,1.401111620289157e-07,-0.9746948549344691,-1.0,-0.02530514506553085,-1.9999999999999996
tim,I,3.593813663804626,0.00011143556307323481,0.00015867158040289722,2.8477727581206578,5.0353340855106154e-08,-0.9746948549344691,-1.0,-0.02530514506553085,-1.9999999999999996
tim,I,5.994842503189409,6.906858508780496e-05,9.512111342475239e-05,2.754395889356285,1.809605243832922e-08,-0.9746948549344691,-1.0,-0.02530514506553085,-1.9999999999999996
tim,I,10.0,4.367024905193045e-05,5.702360937094063e-05,2.6115541179135957,6.503384051379256e-09,-0.9746948549344691,-1.0,-0.02530514506553085,-1.9999999999999996
tim,L,0.1,9.456083429366073e-07,5.702360937094064e-06,1.2060724674626406,6.503384051379258e-11,2.8546245419221736,2.000000000000001,0.1453754580778263,4.0
tim,L,0.16681005372000587,2.707763352058097e-06,1.5867158040289716e-05,1.9549725296878615,5.035334085510611e-10,2.8546245419221736,2.000000000000001,0.1453754580778263,4.0
tim,L,0.2782559402207124,9.763643661396551e-06,4.4151309791314513e-05,2.5165531729782358,3.89867631257725e-09,2.8546245419221736,2.000000000000001,0.1453754580778263,4.0
tim,L,0.46415888336127786,4.064033038278302e-05,0.00012285364217958167,2.8062571752663827,3.018603479357738e-08,2.8546245419221736,2.000000000000001,0.1453754580778263,4.0
tim,L,0.774263682681127,0.00018083151366597665,0.00034184755714218476,2.927367505172351,2.3371950464815856e-07,2.8546245419221736,2.000000000000001,0.1453754580778263,4.0
tim,L,1.291549665014884,0.000826327361010697,0.0009512111342475241,2.9734860050940846,1.8096052438329225e-06,2.8546245419221736,2.000000000000001,0.1453754580778263,4.0
tim,L,2.1544346900318834,0.0038137562294227965,0.0026468014850845496,2.9904171079949173,1.4011116202891554e-05,2.8546245419221736,2.000000000000001,0.1453754580778263,4.0
tim,L,3.593813663804626,0.017665664487297065,0.007364882358097791,2.996549025356839,0.00010848298429724015,2.8546245419221736,2.000000000000001,0.1453754580778263,4.0
tim,L,5.994842503189409,0.08193632601343433,0.02049322265167439,2.9987588694039915,0.0008399443493022007,2.8546245419221736,2.000000000000001,0.1453754580778263,4.0
tim,L,10.0,0.3802139409009839,0.05702360937094063,2.999553842545233,0.006503384051379256,2.8546245419221736,2.000000000000001,0.1453754580778263,4.0
