Global DOF,U Value
0,0.00000000000000000e+00
1,0.00000000000000000e+00
2,0.00000000000000000e+00
3,0.00000000000000000e+00
4,0.00000000000000000e+00
5,0.00000000000000000e+00
6,0.00000000000000000e+00
7,-1.11872760356508961e-06
8,0.00000000000000000e+00
9,0.00000000000000000e+00
10,0.00000000000000000e+00
11,-2.60994774999338085e-06
12,0.00000000000000000e+00
13,-4.83615318234420641e-06
14,-0.00000000000000000e+00
15,0.00000000000000000e+00
16,0.00000000000000000e+00
17,-5.19364602550160456e-06
18,0.00000000000000000e+00
19,-1.11260272618521791e-05
20,-0.00000000000000000e+00
21,0.00000000000000000e+00
22,-0.00000000000000000e+00
23,-7.75109482652463936e-06
24,0.00000000000000000e+00
25,-1.99621003676042860e-05
26,0.00000000000000000e+00
27,0.00000000000000000e+00
28,-0.00000000000000000e+00
29,-1.02822941530635902e-05
30,0.00000000000000000e+00
31,-3.13181230251169228e-05
32,0.00000000000000000e+00
33,0.00000000000000000e+00
34,-0.00000000000000000e+00
35,-1.27872440051195574e-05
36,0.00000000000000000e+00
37,-4.51678457599066516e-05
38,0.00000000000000000e+00
39,0.00000000000000000e+00
40,-0.00000000000000000e+00
41,-1.52659443826914839e-05
42,0.00000000000000000e+00
43,-6.14850190974892133e-05
44,0.00000000000000000e+00
45,0.00000000000000000e+00
46,-0.00000000000000000e+00
47,-1.77183952857788394e-05
48,0.00000000000000000e+00
49,-8.02433935633792712e-05
50,0.00000000000000000e+00
51,0.00000000000000000e+00
52,-0.00000000000000000e+00
53,-2.01445967143798451e-05
54,0.00000000000000000e+00
55,-1.01416719683090079e-04
56,0.00000000000000000e+00
57,0.00000000000000000e+00
58,-0.00000000000000000e+00
59,-2.25445486684935727e-05
60,0.00000000000000000e+00
61,-1.24978747982135710e-04
62,0.00000000000000000e+00
63,0.00000000000000000e+00
64,-0.00000000000000000e+00
65,-2.49182511481232748e-05
66,0.00000000000000000e+00
67,-1.50903228986032421e-04
68,0.00000000000000000e+00
69,0.00000000000000000e+00
70,-0.00000000000000000e+00
71,-2.72657041532695003e-05
72,0.00000000000000000e+00
73,-1.79163913220299137e-04
74,0.00000000000000000e+00
75,0.00000000000000000e+00
76,0.00000000000000000e+00
77,-2.95869076839380462e-05
78,0.00000000000000000e+00
79,-2.09734551210456695e-04
80,-0.00000000000000000e+00
81,0.00000000000000000e+00
82,-0.00000000000000000e+00
83,-3.18818617401251213e-05
84,0.00000000000000000e+00
85,-2.42588893482031351e-04
86,0.00000000000000000e+00
87,0.00000000000000000e+00
88,-0.00000000000000000e+00
89,-3.41505663218496551e-05
90,0.00000000000000000e+00
91,-2.77700690560568229e-04
92,0.00000000000000000e+00
93,0.00000000000000000e+00
94,-0.00000000000000000e+00
95,-3.63930214291286559e-05
96,0.00000000000000000e+00
97,-3.15043692971618821e-04
98,0.00000000000000000e+00
99,0.00000000000000000e+00
100,-0.00000000000000000e+00
101,-3.86092270619549816e-05
102,0.00000000000000000e+00
103,-3.54591651240722774e-04
104,0.00000000000000000e+00
105,0.00000000000000000e+00
106,-0.00000000000000000e+00
107,-4.07991832203109529e-05
108,0.00000000000000000e+00
109,-3.96318315893407131e-04
110,0.00000000000000000e+00
111,0.00000000000000000e+00
112,-0.00000000000000000e+00
113,-4.29628899041903695e-05
114,0.00000000000000000e+00
115,-4.40197437455193950e-04
116,0.00000000000000000e+00
117,0.00000000000000000e+00
118,-0.00000000000000000e+00
119,-4.51003471135902025e-05
120,0.00000000000000000e+00
121,-4.86202766451601708e-04
122,0.00000000000000000e+00
123,0.00000000000000000e+00
124,-0.00000000000000000e+00
125,-4.72115548485058033e-05
126,0.00000000000000000e+00
127,-5.34308053408137987e-04
128,0.00000000000000000e+00
129,0.00000000000000000e+00
130,-0.00000000000000000e+00
131,-4.92965131089179748e-05
132,0.00000000000000000e+00
133,-5.84487048850290095e-04
134,0.00000000000000000e+00
135,0.00000000000000000e+00
136,-0.00000000000000000e+00
137,-5.13552218948050396e-05
138,0.00000000000000000e+00
139,-6.36713503303529510e-04
140,0.00000000000000000e+00
141,0.00000000000000000e+00
142,-0.00000000000000000e+00
143,-5.33876812061593949e-05
144,0.00000000000000000e+00
145,-6.90961167293315730e-04
146,0.00000000000000000e+00
147,0.00000000000000000e+00
148,-0.00000000000000000e+00
149,-5.53938910429619180e-05
150,0.00000000000000000e+00
151,-7.47203791345090688e-04
152,0.00000000000000000e+00
153,0.00000000000000000e+00
154,-0.00000000000000000e+00
155,-5.73738514051991039e-05
156,0.00000000000000000e+00
157,-8.05415125984284500e-04
158,0.00000000000000000e+00
159,0.00000000000000000e+00
160,-0.00000000000000000e+00
161,-5.93275622928604154e-05
162,0.00000000000000000e+00
163,-8.65568921736325331e-04
164,0.00000000000000000e+00
165,0.00000000000000000e+00
166,-0.00000000000000000e+00
167,-6.12550237059547971e-05
168,0.00000000000000000e+00
169,-9.27638929126652079e-04
170,0.00000000000000000e+00
171,0.00000000000000000e+00
172,-0.00000000000000000e+00
173,-6.31562356444967030e-05
174,0.00000000000000000e+00
