Row,Col,K Value
0,0,200000000000.00015
0,6,-200000000000.00015
1,1,560011200000001.2
1,5,320006400000000.7
1,7,-560011200000001.2
1,11,240004800000000.47
2,2,2240011200000004.0
2,4,-1280006400000002.5
2,8,-2240011200000004.0
2,10,-960004800000001.6
3,3,65653780.50000006
3,9,-65653780.50000006
4,2,-1280006400000002.5
4,4,746670400000001.5
4,8,1280006400000002.5
4,10,533336000000001.0
5,1,320006400000000.7
5,5,186670400000000.4
5,7,-320006400000000.7
5,11,133336000000000.28
6,0,-200000000000.00015
6,6,200000000000.00015
7,1,-560011200000001.2
7,5,-320006400000000.7
7,7,560011200000001.2
7,11,-240004800000000.47
8,2,-2240011200000004.0
8,4,1280006400000002.5
8,8,2240011200000004.0
8,10,960004800000001.6
9,3,-65653780.50000006
9,9,65653780.50000006
10,2,-960004800000001.6
10,4,533336000000001.0
10,8,960004800000001.6
10,10,426668800000000.75
11,1,240004800000000.5
11,5,133336000000000.28
11,7,-240004800000000.5
11,11,106668800000000.2
