Element ID,Local DOF,U Value
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,-1.1187276035650896e-06
0,8,0.0
0,9,0.0
0,10,0.0
0,11,-2.609947749993381e-06
1,0,0.0
1,1,-1.1187276035650896e-06
1,2,0.0
1,3,0.0
1,4,0.0
1,5,-2.609947749993381e-06
1,6,0.0
1,7,-4.836153182344206e-06
1,8,-0.0
1,9,0.0
1,10,0.0
1,11,-5.1936460255016046e-06
2,0,0.0
2,1,-4.836153182344206e-06
2,2,-0.0
2,3,0.0
2,4,0.0
2,5,-5.1936460255016046e-06
2,6,0.0
2,7,-1.1126027261852179e-05
2,8,-0.0
2,9,0.0
2,10,-0.0
2,11,-7.75109482652464e-06
3,0,0.0
3,1,-1.1126027261852179e-05
3,2,-0.0
3,3,0.0
3,4,-0.0
3,5,-7.75109482652464e-06
3,6,0.0
3,7,-1.9962100367604286e-05
3,8,0.0
3,9,0.0
3,10,-0.0
3,11,-1.028229415306359e-05
4,0,0.0
4,1,-1.9962100367604286e-05
4,2,0.0
4,3,0.0
4,4,-0.0
4,5,-1.028229415306359e-05
4,6,0.0
4,7,-3.131812302511692e-05
4,8,0.0
4,9,0.0
4,10,-0.0
4,11,-1.2787244005119557e-05
5,0,0.0
5,1,-3.131812302511692e-05
5,2,0.0
5,3,0.0
5,4,-0.0
5,5,-1.2787244005119557e-05
5,6,0.0
5,7,-4.516784575990665e-05
5,8,0.0
5,9,0.0
5,10,-0.0
5,11,-1.5265944382691484e-05
6,0,0.0
6,1,-4.516784575990665e-05
6,2,0.0
6,3,0.0
6,4,-0.0
6,5,-1.5265944382691484e-05
6,6,0.0
6,7,-6.148501909748921e-05
6,8,0.0
6,9,0.0
6,10,-0.0
6,11,-1.771839528577884e-05
7,0,0.0
7,1,-6.148501909748921e-05
7,2,0.0
7,3,0.0
7,4,-0.0
7,5,-1.771839528577884e-05
7,6,0.0
7,7,-8.024339356337927e-05
7,8,0.0
7,9,0.0
7,10,-0.0
7,11,-2.0144596714379845e-05
8,0,0.0
8,1,-8.024339356337927e-05
8,2,0.0
8,3,0.0
8,4,-0.0
8,5,-2.0144596714379845e-05
8,6,0.0
8,7,-0.00010141671968309008
8,8,0.0
8,9,0.0
8,10,-0.0
8,11,-2.2544548668493573e-05
9,0,0.0
9,1,-0.00010141671968309008
9,2,0.0
9,3,0.0
9,4,-0.0
9,5,-2.2544548668493573e-05
9,6,0.0
9,7,-0.0001249787479821357
9,8,0.0
9,9,0.0
9,10,-0.0
9,11,-2.4918251148123275e-05
10,0,0.0
10,1,-0.0001249787479821357
10,2,0.0
10,3,0.0
10,4,-0.0
10,5,-2.4918251148123275e-05
10,6,0.0
10,7,-0.00015090322898603242
10,8,0.0
10,9,0.0
10,10,-0.0
10,11,-2.72657041532695e-05
11,0,0.0
11,1,-0.00015090322898603242
11,2,0.0
11,3,0.0
11,4,-0.0
11,5,-2.72657041532695e-05
11,6,0.0
11,7,-0.00017916391322029914
11,8,0.0
11,9,0.0
11,10,0.0
11,11,-2.9586907683938046e-05
12,0,0.0
12,1,-0.00017916391322029914
12,2,0.0
12,3,0.0
12,4,0.0
12,5,-2.9586907683938046e-05
12,6,0.0
12,7,-0.0002097345512104567
12,8,-0.0
12,9,0.0
12,10,-0.0
12,11,-3.188186174012512e-05
13,0,0.0
13,1,-0.0002097345512104567
13,2,-0.0
13,3,0.0
13,4,-0.0
13,5,-3.188186174012512e-05
13,6,0.0
13,7,-0.00024258889348203135
13,8,0.0
13,9,0.0
13,10,-0.0
13,11,-3.4150566321849655e-05
14,0,0.0
14,1,-0.00024258889348203135
14,2,0.0
14,3,0.0
14,4,-0.0
14,5,-3.4150566321849655e-05
14,6,0.0
14,7,-0.00027770069056056823
14,8,0.0
14,9,0.0
14,10,-0.0
14,11,-3.6393021429128656e-05
15,0,0.0
15,1,-0.00027770069056056823
15,2,0.0
15,3,0.0
15,4,-0.0
15,5,-3.6393021429128656e-05
15,6,0.0
15,7,-0.0003150436929716188
15,8,0.0
15,9,0.0
15,10,-0.0
15,11,-3.860922706195498e-05
16,0,0.0
16,1,-0.0003150436929716188
16,2,0.0
16,3,0.0
16,4,-0.0
16,5,-3.860922706195498e-05
16,6,0.0
16,7,-0.0003545916512407228
16,8,0.0
16,9,0.0
16,10,-0.0
16,11,-4.079918322031095e-05
17,0,0.0
17,1,-0.0003545916512407228
17,2,0.0
17,3,0.0
17,4,-0.0
17,5,-4.079918322031095e-05
17,6,0.0
17,7,-0.00039631831589340713
17,8,0.0
17,9,0.0
17,10,-0.0
17,11,-4.296288990419037e-05
18,0,0.0
18,1,-0.00039631831589340713
18,2,0.0
18,3,0.0
18,4,-0.0
18,5,-4.296288990419037e-05
18,6,0.0
18,7,-0.00044019743745519395
18,8,0.0
18,9,0.0
18,10,-0.0
18,11,-4.51003471135902e-05
19,0,0.0
19,1,-0.00044019743745519395
19,2,0.0
19,3,0.0
19,4,-0.0
19,5,-4.51003471135902e-05
19,6,0.0
19,7,-0.0004862027664516017
19,8,0.0
19,9,0.0
19,10,-0.0
19,11,-4.72115548485058e-05
20,0,0.0
20,1,-0.0004862027664516017
20,2,0.0
20,3,0.0
20,4,-0.0
20,5,-4.72115548485058e-05
20,6,0.0
20,7,-0.000534308053408138
20,8,0.0
20,9,0.0
20,10,-0.0
20,11,-4.9296513108917975e-05
21,0,0.0
21,1,-0.000534308053408138
21,2,0.0
21,3,0.0
21,4,-0.0
21,5,-4.9296513108917975e-05
21,6,0.0
21,7,-0.0005844870488502901
21,8,0.0
21,9,0.0
21,10,-0.0
21,11,-5.135522189480504e-05
22,0,0.0
22,1,-0.0005844870488502901
22,2,0.0
22,3,0.0
22,4,-0.0
22,5,-5.135522189480504e-05
22,6,0.0
22,7,-0.0006367135033035295
22,8,0.0
22,9,0.0
22,10,-0.0
22,11,-5.3387681206159395e-05
23,0,0.0
23,1,-0.0006367135033035295
23,2,0.0
23,3,0.0
23,4,-0.0
23,5,-5.3387681206159395e-05
23,6,0.0
23,7,-0.0006909611672933157
23,8,0.0
23,9,0.0
23,10,-0.0
23,11,-5.539389104296192e-05
24,0,0.0
24,1,-0.0006909611672933157
24,2,0.0
24,3,0.0
24,4,-0.0
24,5,-5.539389104296192e-05
24,6,0.0
24,7,-0.0007472037913450907
24,8,0.0
24,9,0.0
24,10,-0.0
24,11,-5.7373851405199104e-05
25,0,0.0
25,1,-0.0007472037913450907
25,2,0.0
25,3,0.0
25,4,-0.0
25,5,-5.7373851405199104e-05
25,6,0.0
25,7,-0.0008054151259842845
25,8,0.0
25,9,0.0
25,10,-0.0
25,11,-5.9327562292860415e-05
26,0,0.0
26,1,-0.0008054151259842845
26,2,0.0
26,3,0.0
26,4,-0.0
26,5,-5.9327562292860415e-05
26,6,0.0
26,7,-0.0008655689217363253
26,8,0.0
26,9,0.0
26,10,-0.0
26,11,-6.12550237059548e-05
27,0,0.0
27,1,-0.0008655689217363253
27,2,0.0
27,3,0.0
27,4,-0.0
27,5,-6.12550237059548e-05
27,6,0.0
27,7,-0.0009276389291266521
27,8,0.0
27,9,0.0
27,10,-0.0
27,11,-6.31562356444967e-05
28,0,0.0
28,1,-0.0009276389291266521
28,2,0.0
28,3,0.0
28,4,-0.0
28,5,-6.31562356444967e-05
28,6,0.0
28,7,-0.0009915988986807331
28,8,0.0
28,9,0.0
28,10,-0.0
28,11,-6.50311981085348e-05
29,0,0.0
29,1,-0.0009915988986807331
29,2,0.0
29,3,0.0
29,4,-0.0
29,5,-6.50311981085348e-05
29,6,0.0
