Row,Col,K Value
0,0,200000000000.0
0,6,-200000000000.0
1,1,560011199999999.8
1,5,320006399999999.94
1,7,-560011199999999.8
1,11,240004799999999.94
2,2,2240011199999999.2
2,4,-1280006399999999.5
2,8,-2240011199999999.2
2,10,-960004799999999.8
3,3,65653780.5
3,9,-65653780.5
4,2,-1280006399999999.5
4,4,746670399999999.8
4,8,1280006399999999.5
4,10,533335999999999.94
5,1,320006399999999.94
5,5,186670399999999.97
5,7,-320006399999999.94
5,11,133336000000000.0
6,0,-200000000000.0
6,6,200000000000.0
7,1,-560011199999999.8
7,5,-320006399999999.94
7,7,560011199999999.8
7,11,-240004799999999.94
8,2,-2240011199999999.2
8,4,1280006399999999.5
8,8,2240011199999999.2
8,10,960004799999999.8
9,3,-65653780.5
9,9,65653780.5
10,2,-960004799999999.8
10,4,533335999999999.94
10,8,960004799999999.8
10,10,426668800000000.0
11,1,240004799999999.94
11,5,133335999999999.98
11,7,-240004799999999.94
11,11,106668800000000.0
