Condensed DOF,U Value
0,0.00000000000000000e+00
1,-4.25301067257194973e-08
2,0.00000000000000000e+00
3,0.00000000000000000e+00
4,0.00000000000000000e+00
5,-9.92210758030579543e-08
6,0.00000000000000000e+00
7,-1.83853612216731745e-07
8,-0.00000000000000000e+00
9,0.00000000000000000e+00
10,0.00000000000000000e+00
11,-1.97444238517997011e-07
12,0.00000000000000000e+00
13,-4.22972603384914324e-07
14,-0.00000000000000000e+00
15,0.00000000000000000e+00
16,-0.00000000000000000e+00
17,-2.94669488144809150e-07
18,0.00000000000000000e+00
19,-7.58889167142347947e-07
20,0.00000000000000000e+00
21,0.00000000000000000e+00
22,-0.00000000000000000e+00
23,-3.90896824683992452e-07
24,0.00000000000000000e+00
25,-1.19060539040156514e-06
26,0.00000000000000000e+00
27,0.00000000000000000e+00
28,-0.00000000000000000e+00
29,-4.86126248135909104e-07
30,0.00000000000000000e+00
31,-1.71712336007526976e-06
32,0.00000000000000000e+00
33,0.00000000000000000e+00
34,-0.00000000000000000e+00
35,-5.80357758500490973e-07
36,0.00000000000000000e+00
37,-2.33744516307611299e-06
38,0.00000000000000000e+00
39,0.00000000000000000e+00
40,-0.00000000000000000e+00
41,-6.73591355777703172e-07
42,0.00000000000000000e+00
43,-3.05057288631667446e-06
44,0.00000000000000000e+00
45,0.00000000000000000e+00
46,-0.00000000000000000e+00
47,-7.65827039967426586e-07
48,0.00000000000000000e+00
49,-3.85550861670947024e-06
50,0.00000000000000000e+00
51,0.00000000000000000e+00
52,-0.00000000000000000e+00
53,-8.57064811069679215e-07
54,0.00000000000000000e+00
55,-4.75125444116701452e-06
56,0.00000000000000000e+00
57,0.00000000000000000e+00
58,-0.00000000000000000e+00
59,-9.47304669084420824e-07
60,0.00000000000000000e+00
61,-5.73681244660173423e-06
62,0.00000000000000000e+00
63,0.00000000000000000e+00
64,-0.00000000000000000e+00
65,-1.03654661401150128e-06
66,0.00000000000000000e+00
67,-6.81118471992589113e-06
68,0.00000000000000000e+00
69,0.00000000000000000e+00
70,0.00000000000000000e+00
71,-1.12479064585075085e-06
72,0.00000000000000000e+00
73,-7.97337334805160639e-06
74,-0.00000000000000000e+00
75,0.00000000000000000e+00
76,-0.00000000000000000e+00
77,-1.21203676460204514e-06
78,0.00000000000000000e+00
79,-9.22238041788902927e-06
80,0.00000000000000000e+00
81,0.00000000000000000e+00
82,-0.00000000000000000e+00
83,-1.29828497026085378e-06
84,0.00000000000000000e+00
85,-1.05572080163442644e-05
86,0.00000000000000000e+00
87,0.00000000000000000e+00
88,-0.00000000000000000e+00
89,-1.38353526282400231e-06
90,0.00000000000000000e+00
91,-1.19768582303216726e-05
92,0.00000000000000000e+00
93,0.00000000000000000e+00
94,-0.00000000000000000e+00
95,-1.46778764229154896e-06
96,0.00000000000000000e+00
97,-1.34803331467257870e-05
98,0.00000000000000000e+00
99,0.00000000000000000e+00
100,-0.00000000000000000e+00
101,-1.55104210866380058e-06
102,0.00000000000000000e+00
103,-1.50666348524615056e-05
104,0.00000000000000000e+00
105,0.00000000000000000e+00
106,-0.00000000000000000e+00
107,-1.63329866194121540e-06
108,0.00000000000000000e+00
109,-1.67347654344340866e-05
110,0.00000000000000000e+00
111,0.00000000000000000e+00
112,-0.00000000000000000e+00
113,-1.71455730212401280e-06
114,0.00000000000000000e+00
115,-1.84837269795490716e-05
116,0.00000000000000000e+00
117,0.00000000000000000e+00
118,-0.00000000000000000e+00
119,-1.79481802921257522e-06
120,0.00000000000000000e+00
121,-2.03125215747123459e-05
122,0.00000000000000000e+00
123,0.00000000000000000e+00
124,-0.00000000000000000e+00
125,-1.87408084320716525e-06
126,0.00000000000000000e+00
127,-2.22201513068302114e-05
128,0.00000000000000000e+00
129,0.00000000000000000e+00
130,-0.00000000000000000e+00
131,-1.95234574410841879e-06
132,0.00000000000000000e+00
133,-2.42056182628092006e-05
134,0.00000000000000000e+00
135,0.00000000000000000e+00
136,-0.00000000000000000e+00
137,-2.02961273191604128e-06
138,0.00000000000000000e+00
139,-2.62679245295560967e-05
140,0.00000000000000000e+00
141,0.00000000000000000e+00
142,-0.00000000000000000e+00
143,-2.10588180663102038e-06
144,0.00000000000000000e+00
145,-2.84060721939787568e-05
146,0.00000000000000000e+00
147,0.00000000000000000e+00
148,-0.00000000000000000e+00
149,-2.18115296825449659e-06
150,0.00000000000000000e+00
151,-3.06190633429857294e-05
152,0.00000000000000000e+00
153,0.00000000000000000e+00
154,-0.00000000000000000e+00
155,-2.25542621678660546e-06
156,0.00000000000000000e+00
157,-3.29059000634856068e-05
158,0.00000000000000000e+00
159,0.00000000000000000e+00
160,-0.00000000000000000e+00
161,-2.32870155222722798e-06
162,0.00000000000000000e+00
163,-3.52655844423869984e-05
164,0.00000000000000000e+00
165,0.00000000000000000e+00
166,-0.00000000000000000e+00
167,-2.40097897457661358e-06
168,0.00000000000000000e+00
169,-3.76971185665984085e-05
170,0.00000000000000000e+00
171,0.00000000000000000e+00
172,-0.00000000000000000e+00
173,-2.47225848383411854e-06
174,0.00000000000000000e+00
175,-4.01995045230276572e-05
176,0.00000000000000000e+00
177,0.00000000000000000e+00
178,-0.00000000000000000e+00
179,-2.54254007999906480e-06
180,0.00000000000000000e+00
181,-4.27717443985822321e-05
182,0.00000000000000000e+00
183,0.00000000000000000e+00
184,-0.00000000000000000e+00
185,-2.61182376307156628e-06
186,0.00000000000000000e+00
187,-4.54128402801694790e-05
188,0.00000000000000000e+00
189,0.00000000000000000e+00
190,-0.00000000000000000e+00
191,-2.68010953305110206e-06
192,0.00000000000000000e+00
193,-4.81217942546966824e-05
194,0.00000000000000000e+00
195,0.00000000000000000e+00
196,-0.00000000000000000e+00
197,-2.74739738993831886e-06
198,0.00000000000000000e+00
199,-5.08976084090720688e-05
200,0.00000000000000000e+00
201,0.00000000000000000e+00
202,-0.00000000000000000e+00
203,-2.81368733373448170e-06
204,0.00000000000000000e+00
205,-5.37392848302041900e-05
206,0.00000000000000000e+00
207,0.00000000000000000e+00
208,-0.00000000000000000e+00
209,-2.87897936443861440e-06
210,0.00000000000000000e+00
211,-5.66458256049998427e-05
212,0.00000000000000000e+00
213,0.00000000000000000e+00
214,-0.00000000000000000e+00
215,-2.94327348204794672e-06
216,0.00000000000000000e+00
217,-5.96162328203635265e-05
218,0.00000000000000000e+00
219,0.00000000000000000e+00
220,-0.00000000000000000e+00
221,-3.00656968656091716e-06
222,0.00000000000000000e+00
223,-6.26495085631985414e-05
224,0.00000000000000000e+00
225,0.00000000000000000e+00
226,-0.00000000000000000e+00
227,-3.06886797797671681e-06
228,0.00000000000000000e+00
229,-6.57446549204074559e-05
230,0.00000000000000000e+00
231,0.00000000000000000e+00
232,-0.00000000000000000e+00
233,-3.13016835629475444e-06
234,0.00000000000000000e+00
235,-6.89006739788923707e-05
236,0.00000000000000000e+00
