Row,Col,K Value
0,0,1.3729295580000142e+16
0,6,-1.3729295580000142e+16
1,1,73653703200002.27
1,5,42087830400001.29
1,7,-73653703200002.27
1,11,31565872800000.973
2,2,11409552000000.352
2,4,-6519744000000.199
2,8,-11409552000000.352
2,10,-4889808000000.15
3,3,105572.56500000111
3,9,-105572.56500000111
4,2,-6519744000000.199
4,4,3803184000000.116
4,8,6519744000000.199
4,10,2716560000000.0835
5,1,42087830400001.29
5,5,24551234400000.754
5,7,-42087830400001.29
5,11,17536596000000.54
6,0,-1.3729295580000142e+16
6,6,1.3729295580000142e+16
7,1,-73653703200002.27
7,5,-42087830400001.29
7,7,73653703200002.27
7,11,-31565872800000.973
8,2,-11409552000000.352
8,4,6519744000000.199
8,8,11409552000000.352
8,10,4889808000000.15
9,3,-105572.56500000111
9,9,105572.56500000111
10,2,-4889808000000.15
10,4,2716560000000.0835
10,8,4889808000000.15
10,10,2173248000000.0664
11,1,31565872800000.97
11,5,17536596000000.54
11,7,-31565872800000.97
11,11,14029276800000.43
