Element ID,Local DOF,U Value
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,-4.25301067257195e-08
0,8,0.0
0,9,0.0
0,10,0.0
0,11,-9.922107580305795e-08
1,0,0.0
1,1,-4.25301067257195e-08
1,2,0.0
1,3,0.0
1,4,0.0
1,5,-9.922107580305795e-08
1,6,0.0
1,7,-1.8385361221673174e-07
1,8,-0.0
1,9,0.0
1,10,0.0
1,11,-1.97444238517997e-07
2,0,0.0
2,1,-1.8385361221673174e-07
2,2,-0.0
2,3,0.0
2,4,0.0
2,5,-1.97444238517997e-07
2,6,0.0
2,7,-4.229726033849143e-07
2,8,-0.0
2,9,0.0
2,10,-0.0
2,11,-2.9466948814480915e-07
3,0,0.0
3,1,-4.229726033849143e-07
3,2,-0.0
3,3,0.0
3,4,-0.0
3,5,-2.9466948814480915e-07
3,6,0.0
3,7,-7.58889167142348e-07
3,8,0.0
3,9,0.0
3,10,-0.0
3,11,-3.9089682468399245e-07
4,0,0.0
4,1,-7.58889167142348e-07
4,2,0.0
4,3,0.0
4,4,-0.0
4,5,-3.9089682468399245e-07
4,6,0.0
4,7,-1.1906053904015651e-06
4,8,0.0
4,9,0.0
4,10,-0.0
4,11,-4.861262481359091e-07
5,0,0.0
5,1,-1.1906053904015651e-06
5,2,0.0
5,3,0.0
5,4,-0.0
5,5,-4.861262481359091e-07
5,6,0.0
5,7,-1.7171233600752698e-06
5,8,0.0
5,9,0.0
5,10,-0.0
5,11,-5.80357758500491e-07
6,0,0.0
6,1,-1.7171233600752698e-06
6,2,0.0
6,3,0.0
6,4,-0.0
6,5,-5.80357758500491e-07
6,6,0.0
6,7,-2.337445163076113e-06
6,8,0.0
6,9,0.0
6,10,-0.0
6,11,-6.735913557777032e-07
7,0,0.0
7,1,-2.337445163076113e-06
7,2,0.0
7,3,0.0
7,4,-0.0
7,5,-6.735913557777032e-07
7,6,0.0
7,7,-3.0505728863166745e-06
7,8,0.0
7,9,0.0
7,10,-0.0
7,11,-7.658270399674266e-07
8,0,0.0
8,1,-3.0505728863166745e-06
8,2,0.0
8,3,0.0
8,4,-0.0
8,5,-7.658270399674266e-07
8,6,0.0
8,7,-3.85550861670947e-06
8,8,0.0
8,9,0.0
8,10,-0.0
8,11,-8.570648110696792e-07
9,0,0.0
9,1,-3.85550861670947e-06
9,2,0.0
9,3,0.0
9,4,-0.0
9,5,-8.570648110696792e-07
9,6,0.0
9,7,-4.7512544411670145e-06
9,8,0.0
9,9,0.0
9,10,-0.0
9,11,-9.473046690844208e-07
10,0,0.0
10,1,-4.7512544411670145e-06
10,2,0.0
10,3,0.0
10,4,-0.0
10,5,-9.473046690844208e-07
10,6,0.0
10,7,-5.736812446601734e-06
10,8,0.0
10,9,0.0
10,10,-0.0
10,11,-1.0365466140115013e-06
11,0,0.0
11,1,-5.736812446601734e-06
11,2,0.0
11,3,0.0
11,4,-0.0
11,5,-1.0365466140115013e-06
11,6,0.0
11,7,-6.811184719925891e-06
11,8,0.0
11,9,0.0
11,10,0.0
11,11,-1.1247906458507509e-06
12,0,0.0
12,1,-6.811184719925891e-06
12,2,0.0
12,3,0.0
12,4,0.0
12,5,-1.1247906458507509e-06
12,6,0.0
12,7,-7.973373348051606e-06
12,8,-0.0
12,9,0.0
12,10,-0.0
12,11,-1.2120367646020451e-06
13,0,0.0
13,1,-7.973373348051606e-06
13,2,-0.0
13,3,0.0
13,4,-0.0
13,5,-1.2120367646020451e-06
13,6,0.0
13,7,-9.22238041788903e-06
13,8,0.0
13,9,0.0
13,10,-0.0
13,11,-1.2982849702608538e-06
14,0,0.0
14,1,-9.22238041788903e-06
14,2,0.0
14,3,0.0
14,4,-0.0
14,5,-1.2982849702608538e-06
14,6,0.0
14,7,-1.0557208016344264e-05
14,8,0.0
14,9,0.0
14,10,-0.0
14,11,-1.3835352628240023e-06
15,0,0.0
15,1,-1.0557208016344264e-05
15,2,0.0
15,3,0.0
15,4,-0.0
15,5,-1.3835352628240023e-06
15,6,0.0
15,7,-1.1976858230321673e-05
15,8,0.0
15,9,0.0
15,10,-0.0
15,11,-1.467787642291549e-06
16,0,0.0
16,1,-1.1976858230321673e-05
16,2,0.0
16,3,0.0
16,4,-0.0
16,5,-1.467787642291549e-06
16,6,0.0
16,7,-1.3480333146725787e-05
16,8,0.0
16,9,0.0
16,10,-0.0
16,11,-1.5510421086638006e-06
17,0,0.0
17,1,-1.3480333146725787e-05
17,2,0.0
17,3,0.0
17,4,-0.0
17,5,-1.5510421086638006e-06
17,6,0.0
17,7,-1.5066634852461506e-05
17,8,0.0
17,9,0.0
17,10,-0.0
17,11,-1.6332986619412154e-06
18,0,0.0
18,1,-1.5066634852461506e-05
18,2,0.0
18,3,0.0
18,4,-0.0
18,5,-1.6332986619412154e-06
18,6,0.0
18,7,-1.6734765434434087e-05
18,8,0.0
18,9,0.0
18,10,-0.0
18,11,-1.7145573021240128e-06
19,0,0.0
19,1,-1.6734765434434087e-05
19,2,0.0
19,3,0.0
19,4,-0.0
19,5,-1.7145573021240128e-06
19,6,0.0
19,7,-1.848372697954907e-05
19,8,0.0
19,9,0.0
19,10,-0.0
19,11,-1.7948180292125752e-06
20,0,0.0
20,1,-1.848372697954907e-05
20,2,0.0
20,3,0.0
20,4,-0.0
20,5,-1.7948180292125752e-06
20,6,0.0
20,7,-2.0312521574712346e-05
20,8,0.0
20,9,0.0
20,10,-0.0
20,11,-1.8740808432071653e-06
21,0,0.0
21,1,-2.0312521574712346e-05
21,2,0.0
21,3,0.0
21,4,-0.0
21,5,-1.8740808432071653e-06
21,6,0.0
21,7,-2.222015130683021e-05
21,8,0.0
21,9,0.0
21,10,-0.0
21,11,-1.952345744108419e-06
22,0,0.0
22,1,-2.222015130683021e-05
22,2,0.0
22,3,0.0
22,4,-0.0
22,5,-1.952345744108419e-06
22,6,0.0
22,7,-2.42056182628092e-05
22,8,0.0
22,9,0.0
22,10,-0.0
22,11,-2.0296127319160413e-06
23,0,0.0
23,1,-2.42056182628092e-05
23,2,0.0
23,3,0.0
23,4,-0.0
23,5,-2.0296127319160413e-06
23,6,0.0
23,7,-2.6267924529556097e-05
23,8,0.0
23,9,0.0
23,10,-0.0
23,11,-2.1058818066310204e-06
24,0,0.0
24,1,-2.6267924529556097e-05
24,2,0.0
24,3,0.0
24,4,-0.0
24,5,-2.1058818066310204e-06
24,6,0.0
24,7,-2.8406072193978757e-05
24,8,0.0
24,9,0.0
24,10,-0.0
24,11,-2.1811529682544966e-06
25,0,0.0
25,1,-2.8406072193978757e-05
25,2,0.0
25,3,0.0
25,4,-0.0
25,5,-2.1811529682544966e-06
25,6,0.0
25,7,-3.061906334298573e-05
25,8,0.0
25,9,0.0
25,10,-0.0
25,11,-2.2554262167866055e-06
26,0,0.0
26,1,-3.061906334298573e-05
26,2,0.0
26,3,0.0
26,4,-0.0
26,5,-2.2554262167866055e-06
26,6,0.0
26,7,-3.290590006348561e-05
26,8,0.0
26,9,0.0
26,10,-0.0
26,11,-2.328701552227228e-06
27,0,0.0
27,1,-3.290590006348561e-05
27,2,0.0
27,3,0.0
27,4,-0.0
27,5,-2.328701552227228e-06
27,6,0.0
27,7,-3.5265584442387e-05
27,8,0.0
27,9,0.0
27,10,-0.0
27,11,-2.4009789745766136e-06
28,0,0.0
28,1,-3.5265584442387e-05
28,2,0.0
28,3,0.0
28,4,-0.0
28,5,-2.4009789745766136e-06
28,6,0.0
28,7,-3.769711856659841e-05
28,8,0.0
28,9,0.0
28,10,-0.0
28,11,-2.4722584838341185e-06
29,0,0.0
