Condensed DOF,U Value
0,0.00000000000000000e+00
1,-1.16872661028921230e-06
2,0.00000000000000000e+00
3,0.00000000000000000e+00
4,0.00000000000000000e+00
5,-2.72619544068029983e-06
6,0.00000000000000000e+00
7,-5.04114911140646132e-06
8,-0.00000000000000000e+00
9,0.00000000000000000e+00
10,0.00000000000000000e+00
11,-5.39989193170531948e-06
12,0.00000000000000000e+00
13,-1.15647685536964461e-05
14,-0.00000000000000000e+00
15,0.00000000000000000e+00
16,-0.00000000000000000e+00
17,-8.02108947307501619e-06
18,0.00000000000000000e+00
19,-2.06870859875014145e-05
20,0.00000000000000000e+00
21,0.00000000000000000e+00
22,-0.00000000000000000e+00
23,-1.05897880647835382e-05
24,0.00000000000000000e+00
25,-3.23556024631586230e-05
26,0.00000000000000000e+00
27,0.00000000000000000e+00
28,-0.00000000000000000e+00
29,-1.31059877068274263e-05
30,0.00000000000000000e+00
31,-4.65178190310029329e-05
32,0.00000000000000000e+00
33,0.00000000000000000e+00
34,-0.00000000000000000e+00
35,-1.55696883992054810e-05
36,0.00000000000000000e+00
37,-6.31212367413683110e-05
38,0.00000000000000000e+00
39,0.00000000000000000e+00
40,-0.00000000000000000e+00
41,-1.79808901419172111e-05
42,0.00000000000000000e+00
43,-8.21133566445875381e-05
44,0.00000000000000000e+00
45,0.00000000000000000e+00
46,-0.00000000000000000e+00
47,-2.03395929349604922e-05
48,0.00000000000000000e+00
49,-1.03441679790993205e-04
50,0.00000000000000000e+00
51,0.00000000000000000e+00
52,-0.00000000000000000e+00
53,-2.26457967783379162e-05
54,0.00000000000000000e+00
55,-1.27053707230919625e-04
56,0.00000000000000000e+00
57,0.00000000000000000e+00
58,-0.00000000000000000e+00
59,-2.48995016720497712e-05
60,0.00000000000000000e+00
61,-1.52896940014701787e-04
62,0.00000000000000000e+00
63,0.00000000000000000e+00
64,-0.00000000000000000e+00
65,-2.71007076160974021e-05
66,0.00000000000000000e+00
67,-1.80918879192677826e-04
68,0.00000000000000000e+00
69,0.00000000000000000e+00
70,0.00000000000000000e+00
