Element ID,Local DOF,U Value
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,-1.1687266102892123e-06
0,8,0.0
0,9,0.0
0,10,0.0
0,11,-2.7261954406803e-06
1,0,0.0
1,1,-1.1687266102892123e-06
1,2,0.0
1,3,0.0
1,4,0.0
1,5,-2.7261954406803e-06
1,6,0.0
1,7,-5.041149111406461e-06
1,8,-0.0
1,9,0.0
1,10,0.0
1,11,-5.3998919317053195e-06
2,0,0.0
2,1,-5.041149111406461e-06
2,2,-0.0
2,3,0.0
2,4,0.0
2,5,-5.3998919317053195e-06
2,6,0.0
2,7,-1.1564768553696446e-05
2,8,-0.0
2,9,0.0
2,10,-0.0
2,11,-8.021089473075016e-06
3,0,0.0
3,1,-1.1564768553696446e-05
3,2,-0.0
3,3,0.0
3,4,-0.0
3,5,-8.021089473075016e-06
3,6,0.0
3,7,-2.0687085987501414e-05
3,8,0.0
3,9,0.0
3,10,-0.0
3,11,-1.0589788064783538e-05
4,0,0.0
4,1,-2.0687085987501414e-05
4,2,0.0
4,3,0.0
4,4,-0.0
4,5,-1.0589788064783538e-05
4,6,0.0
4,7,-3.235560246315862e-05
4,8,0.0
4,9,0.0
4,10,-0.0
4,11,-1.3105987706827426e-05
5,0,0.0
5,1,-3.235560246315862e-05
5,2,0.0
5,3,0.0
5,4,-0.0
5,5,-1.3105987706827426e-05
5,6,0.0
5,7,-4.651781903100293e-05
5,8,0.0
5,9,0.0
5,10,-0.0
5,11,-1.556968839920548e-05
6,0,0.0
6,1,-4.651781903100293e-05
6,2,0.0
6,3,0.0
6,4,-0.0
6,5,-1.556968839920548e-05
6,6,0.0
6,7,-6.312123674136831e-05
6,8,0.0
6,9,0.0
6,10,-0.0
6,11,-1.798089014191721e-05
7,0,0.0
7,1,-6.312123674136831e-05
7,2,0.0
7,3,0.0
7,4,-0.0
7,5,-1.798089014191721e-05
7,6,0.0
7,7,-8.211335664458754e-05
7,8,0.0
7,9,0.0
7,10,-0.0
7,11,-2.0339592934960492e-05
8,0,0.0
8,1,-8.211335664458754e-05
8,2,0.0
8,3,0.0
8,4,-0.0
8,5,-2.0339592934960492e-05
8,6,0.0
8,7,-0.0001034416797909932
8,8,0.0
8,9,0.0
8,10,-0.0
8,11,-2.2645796778337916e-05
9,0,0.0
9,1,-0.0001034416797909932
9,2,0.0
9,3,0.0
9,4,-0.0
9,5,-2.2645796778337916e-05
9,6,0.0
9,7,-0.00012705370723091963
9,8,0.0
9,9,0.0
9,10,-0.0
9,11,-2.489950167204977e-05
10,0,0.0
10,1,-0.00012705370723091963
10,2,0.0
10,3,0.0
10,4,-0.0
10,5,-2.489950167204977e-05
10,6,0.0
10,7,-0.0001528969400147018
10,8,0.0
10,9,0.0
10,10,-0.0
10,11,-2.7100707616097402e-05
11,0,0.0
11,1,-0.0001528969400147018
11,2,0.0
11,3,0.0
11,4,-0.0
11,5,-2.7100707616097402e-05
11,6,0.0
11,7,-0.00018091887919267783
11,8,0.0
11,9,0.0
11,10,0.0
11,11,-2.9249414610486315e-05
12,0,0.0
12,1,-0.00018091887919267783
12,2,0.0
12,3,0.0
12,4,0.0
12,5,-2.9249414610486315e-05
12,6,0.0
12,7,-0.0002110670258151898
12,8,-0.0
12,9,0.0
12,10,-0.0
12,11,-3.1345622655218325e-05
13,0,0.0
13,1,-0.0002110670258151898
13,2,-0.0
13,3,0.0
13,4,-0.0
13,5,-3.1345622655218325e-05
13,6,0.0
13,7,-0.0002432888809325832
13,8,0.0
13,9,0.0
13,10,-0.0
13,11,-3.338933175029928e-05
14,0,0.0
14,1,-0.0002432888809325832
14,2,0.0
14,3,0.0
14,4,-0.0
14,5,-3.338933175029928e-05
14,6,0.0
14,7,-0.00027753194559521093
14,8,0.0
14,9,0.0
14,10,-0.0
14,11,-3.538054189573793e-05
15,0,0.0
15,1,-0.00027753194559521093
15,2,0.0
15,3,0.0
15,4,-0.0
15,5,-3.538054189573793e-05
15,6,0.0
15,7,-0.0003137437208534257
15,8,0.0
15,9,0.0
15,10,-0.0
15,11,-3.731925309152259e-05
16,0,0.0
16,1,-0.0003137437208534257
16,2,0.0
16,3,0.0
16,4,-0.0
16,5,-3.731925309152259e-05
16,6,0.0
16,7,-0.0003518717077575664
16,8,0.0
16,9,0.0
16,10,-0.0
16,11,-3.9205465337636616e-05
17,0,0.0
17,1,-0.0003518717077575664
17,2,0.0
17,3,0.0
17,4,-0.0
17,5,-3.9205465337636616e-05
17,6,0.0
17,7,-0.0003918634073579642
17,8,0.0
17,9,0.0
17,10,-0.0
17,11,-4.103917863408472e-05
18,0,0.0
18,1,-0.0003918634073579642
18,2,0.0
18,3,0.0
18,4,-0.0
18,5,-4.103917863408472e-05
18,6,0.0
18,7,-0.00043366632070494836
18,8,0.0
18,9,0.0
18,10,-0.0
18,11,-4.2820392980855085e-05
19,0,0.0
19,1,-0.00043366632070494836
19,2,0.0
19,3,0.0
19,4,-0.0
19,5,-4.2820392980855085e-05
19,6,0.0
19,7,-0.0004772279488488364
19,8,0.0
19,9,0.0
19,10,-0.0
19,11,-4.454910837793702e-05
20,0,0.0
20,1,-0.0004772279488488364
20,2,0.0
20,3,0.0
20,4,-0.0
20,5,-4.454910837793702e-05
20,6,0.0
20,7,-0.0005224957928399354
20,8,0.0
20,9,0.0
20,10,-0.0
20,11,-4.622532482531952e-05
21,0,0.0
21,1,-0.0005224957928399354
21,2,0.0
21,3,0.0
21,4,-0.0
21,5,-4.622532482531952e-05
21,6,0.0
21,7,-0.0005694173537285427
21,8,0.0
21,9,0.0
21,10,-0.0
21,11,-4.784904232299524e-05
22,0,0.0
22,1,-0.0005694173537285427
22,2,0.0
22,3,0.0
22,4,-0.0
22,5,-4.784904232299524e-05
22,6,0.0
22,7,-0.0006179401325649418
22,8,0.0
22,9,0.0
22,10,-0.0
22,11,-4.9420260870941864e-05
23,0,0.0
23,1,-0.0006179401325649418
23,2,0.0
23,3,0.0
23,4,-0.0
23,5,-4.9420260870941864e-05
23,6,0.0
23,7,-0.0006680116303994011
23,8,0.0
23,9,0.0
23,10,-0.0
23,11,-5.0938980469153355e-05
24,0,0.0
24,1,-0.0006680116303994011
24,2,0.0
24,3,0.0
24,4,-0.0
24,5,-5.0938980469153355e-05
24,6,0.0
24,7,-0.0007195793482821808
24,8,0.0
24,9,0.0
24,10,-0.0
24,11,-5.240520111761841e-05
25,0,0.0
25,1,-0.0007195793482821808
25,2,0.0
25,3,0.0
25,4,-0.0
25,5,-5.240520111761841e-05
25,6,0.0
25,7,-0.0007725907872635265
25,8,0.0
25,9,0.0
25,10,-0.0
25,11,-5.381892281631944e-05
26,0,0.0
26,1,-0.0007725907872635265
26,2,0.0
26,3,0.0
26,4,-0.0
26,5,-5.381892281631944e-05
26,6,0.0
26,7,-0.0008269934483936832
26,8,0.0
26,9,0.0
26,10,-0.0
26,11,-5.518014556527752e-05
27,0,0.0
27,1,-0.0008269934483936832
27,2,0.0
27,3,0.0
27,4,-0.0
27,5,-5.518014556527752e-05
27,6,0.0
27,7,-0.000882734832722909
27,8,0.0
27,9,0.0
27,10,-0.0
27,11,-5.6488869364494516e-05
28,0,0.0
28,1,-0.000882734832722909
28,2,0.0
28,3,0.0
28,4,-0.0
28,5,-5.6488869364494516e-05
28,6,0.0
28,7,-0.0009397624413014767
28,8,0.0
28,9,0.0
28,10,-0.0
28,11,-5.774509421400345e-05
29,0,0.0
29,1,-0.0009397624413014767
29,2,0.0
29,3,0.0
29,4,-0.0
29,5,-5.774509421400345e-05
29,6,0.0
