Row,Col,K Value
0,0,1.00000000000000004e+36
1,1,1.00000000000000004e+36
2,2,1.00000000000000004e+36
3,3,1.00000000000000004e+36
4,4,1.00000000000000004e+36
5,5,1.00000000000000004e+36
6,6,2.74585911600000040e+16
6,12,-1.37292955800000020e+16
7,7,1.47307406400000031e+14
7,11,1.05219575999999961e+13
7,13,-7.36537032000000156e+13
7,17,3.15658728000000117e+13
8,8,2.28191040000000039e+13
8,10,-1.62993600000000098e+12
8,14,-1.14095520000000020e+13
8,16,-4.88980800000000098e+12
9,9,2.11145130000000034e+05
9,15,-1.05572565000000017e+05
10,8,-1.62993600000000098e+12
10,10,5.97643200000000000e+12
10,14,6.51974400000000195e+12
10,16,2.71656000000000049e+12
11,7,1.05219575999999961e+13
11,11,3.85805112000000078e+13
11,13,-4.20878304000000078e+13
11,17,1.75365960000000020e+13
12,6,-1.37292955800000020e+16
12,12,2.74585911600000080e+16
12,18,-1.37292955800000040e+16
13,7,-7.36537032000000156e+13
13,11,-4.20878304000000078e+13
13,13,1.47307406400000062e+14
13,17,1.05219576000000273e+13
13,19,-7.36537032000000625e+13
13,23,3.15658728000000234e+13
14,8,-1.14095520000000020e+13
14,10,6.51974400000000195e+12
14,14,2.28191040000000117e+13
14,16,-1.62993600000000391e+12
14,20,-1.14095520000000098e+13
14,22,-4.88980800000000293e+12
15,9,-1.05572565000000017e+05
15,15,2.11145130000000034e+05
15,21,-1.05572565000000017e+05
16,8,-4.88980800000000098e+12
16,10,2.71656000000000049e+12
16,14,-1.62993600000000391e+12
16,16,5.97643200000000293e+12
16,20,6.51974400000000488e+12
16,22,2.71656000000000244e+12
17,7,3.15658728000000117e+13
17,11,1.75365960000000000e+13
17,13,1.05219576000000195e+13
17,17,3.85805112000000156e+13
17,19,-4.20878304000000312e+13
17,23,1.75365960000000117e+13
18,12,-1.37292955800000040e+16
18,18,2.74585911600000040e+16
18,24,-1.37292955800000000e+16
19,13,-7.36537032000000625e+13
19,17,-4.20878304000000391e+13
19,19,1.47307406400000031e+14
19,23,1.05219575999999609e+13
19,25,-7.36537031999999688e+13
19,29,3.15658727999999961e+13
20,14,-1.14095520000000098e+13
20,16,6.51974400000000488e+12
20,20,2.28191040000000039e+13
20,22,-1.62993599999999512e+12
20,26,-1.14095519999999941e+13
20,28,-4.88980799999999805e+12
21,15,-1.05572565000000017e+05
21,21,2.11145130000000034e+05
21,27,-1.05572565000000017e+05
22,14,-4.88980800000000293e+12
22,16,2.71656000000000244e+12
22,20,-1.62993599999999512e+12
22,22,5.97643200000000000e+12
22,26,6.51974399999999805e+12
22,28,2.71655999999999902e+12
23,13,3.15658728000000312e+13
23,17,1.75365960000000137e+13
23,19,1.05219575999999609e+13
23,23,3.85805112000000078e+13
23,25,-4.20878303999999922e+13
23,29,1.75365959999999980e+13
24,18,-1.37292955800000000e+16
24,24,2.74585911600000000e+16
24,30,-1.37292955800000000e+16
25,19,-7.36537031999999688e+13
25,23,-4.20878303999999844e+13
25,25,1.47307406399999938e+14
25,29,1.05219575999999883e+13
25,31,-7.36537031999999688e+13
25,35,3.15658727999999961e+13
26,20,-1.14095519999999941e+13
26,22,6.51974399999999805e+12
26,26,2.28191039999999883e+13
26,28,-1.62993600000000000e+12
26,32,-1.14095519999999941e+13
26,34,-4.88980799999999805e+12
27,21,-1.05572565000000017e+05
27,27,2.11145130000000034e+05
27,33,-1.05572565000000017e+05
28,20,-4.88980799999999805e+12
28,22,2.71655999999999902e+12
28,26,-1.62993600000000000e+12
28,28,5.97643199999999805e+12
28,32,6.51974399999999805e+12
28,34,2.71655999999999902e+12
29,19,3.15658728000000000e+13
29,23,1.75365959999999980e+13
29,25,1.05219575999999922e+13
29,29,3.85805111999999922e+13
29,31,-4.20878303999999922e+13
29,35,1.75365959999999980e+13
30,24,-1.37292955800000000e+16
30,30,2.74585911600000080e+16
30,36,-1.37292955800000100e+16
31,25,-7.36537031999999688e+13
31,29,-4.20878303999999844e+13
31,31,1.47307406400000125e+14
31,35,1.05219576000000742e+13
31,37,-7.36537032000001406e+13
31,41,3.15658728000000586e+13
32,26,-1.14095519999999941e+13
32,28,6.51974399999999805e+12
32,32,2.28191040000000156e+13
32,34,-1.62993600000001367e+12
32,38,-1.14095520000000215e+13
32,40,-4.88980800000000977e+12
33,27,-1.05572565000000017e+05
33,33,2.11145130000000121e+05
33,39,-1.05572565000000090e+05
34,26,-4.88980799999999805e+12
34,28,2.71655999999999902e+12
34,32,-1.62993600000001367e+12
34,34,5.97643200000000586e+12
34,38,6.51974400000001172e+12
34,40,2.71656000000000537e+12
35,25,3.15658728000000000e+13
