Condensed DOF,U Value
0,0.00000000000000000e+00
1,-4.44308941399919627e-08
2,0.00000000000000000e+00
3,0.00000000000000000e+00
4,0.00000000000000000e+00
5,-1.03640406544514453e-07
6,0.00000000000000000e+00
7,-1.91646840706893276e-07
8,-0.00000000000000000e+00
9,0.00000000000000000e+00
10,0.00000000000000000e+00
11,-2.05284986814616921e-07
12,0.00000000000000000e+00
13,-4.39652013426288223e-07
14,-0.00000000000000000e+00
15,0.00000000000000000e+00
16,-0.00000000000000000e+00
17,-3.04933740810299014e-07
18,0.00000000000000000e+00
19,-7.86450586023961834e-07
20,0.00000000000000000e+00
21,0.00000000000000000e+00
22,-0.00000000000000000e+00
23,-4.02586668532052619e-07
24,0.00000000000000000e+00
25,-1.23004673222614253e-06
26,0.00000000000000000e+00
27,0.00000000000000000e+00
28,-0.00000000000000000e+00
29,-4.98243769980231320e-07
30,0.00000000000000000e+00
31,-1.76844462575924949e-06
32,0.00000000000000000e+00
33,0.00000000000000000e+00
34,-0.00000000000000000e+00
35,-5.91905045154820983e-07
36,0.00000000000000000e+00
37,-2.39964844034966772e-06
38,0.00000000000000000e+00
39,0.00000000000000000e+00
40,-0.00000000000000000e+00
41,-6.83570494055759032e-07
42,0.00000000000000000e+00
43,-3.12166234972371915e-06
44,0.00000000000000000e+00
45,0.00000000000000000e+00
46,-0.00000000000000000e+00
47,-7.73240116682985328e-07
48,0.00000000000000000e+00
49,-3.93249052760767593e-06
50,0.00000000000000000e+00
51,0.00000000000000000e+00
52,-0.00000000000000000e+00
53,-8.60913913036463449e-07
54,0.00000000000000000e+00
55,-4.83013714772775451e-06
56,0.00000000000000000e+00
57,0.00000000000000000e+00
58,-0.00000000000000000e+00
59,-9.46591883116107421e-07
60,0.00000000000000000e+00
61,-5.81260638381009724e-06
62,0.00000000000000000e+00
63,0.00000000000000000e+00
64,-0.00000000000000000e+00
65,-1.03027402692186187e-06
66,0.00000000000000000e+00
67,-6.87790240958071265e-06
68,0.00000000000000000e+00
69,0.00000000000000000e+00
70,0.00000000000000000e+00
71,-1.11196034445349344e-06
72,0.00000000000000000e+00
73,-8.02402939876542289e-06
74,-0.00000000000000000e+00
75,0.00000000000000000e+00
76,-0.00000000000000000e+00
77,-1.19165083571086416e-06
78,0.00000000000000000e+00
79,-9.24899152509008063e-06
80,0.00000000000000000e+00
81,0.00000000000000000e+00
82,-0.00000000000000000e+00
83,-1.26934550069426479e-06
84,0.00000000000000000e+00
85,-1.05507929622809383e-05
86,0.00000000000000000e+00
87,0.00000000000000000e+00
88,-0.00000000000000000e+00
89,-1.34504433940419464e-06
90,0.00000000000000000e+00
91,-1.19274378840647024e-05
92,0.00000000000000000e+00
93,0.00000000000000000e+00
94,-0.00000000000000000e+00
95,-1.41874735184108656e-06
96,0.00000000000000000e+00
97,-1.33769304641683014e-05
98,0.00000000000000000e+00
99,0.00000000000000000e+00
100,-0.00000000000000000e+00
101,-1.49045453800483635e-06
102,0.00000000000000000e+00
103,-1.48972748763188295e-05
104,0.00000000000000000e+00
105,0.00000000000000000e+00
106,-0.00000000000000000e+00
107,-1.56016589789601662e-06
108,0.00000000000000000e+00
109,-1.64864752942437659e-05
110,0.00000000000000000e+00
111,0.00000000000000000e+00
112,-0.00000000000000000e+00
113,-1.62788143151472476e-06
114,0.00000000000000000e+00
115,-1.81425358916707063e-05
116,0.00000000000000000e+00
117,0.00000000000000000e+00
118,-0.00000000000000000e+00
119,-1.69360113886113888e-06
120,0.00000000000000000e+00
121,-1.98634608423278904e-05
122,0.00000000000000000e+00
123,0.00000000000000000e+00
124,-0.00000000000000000e+00
125,-1.75732501993649584e-06
126,0.00000000000000000e+00
127,-2.16472543199442150e-05
128,0.00000000000000000e+00
129,0.00000000000000000e+00
130,-0.00000000000000000e+00
131,-1.81905307474067791e-06
132,0.00000000000000000e+00
133,-2.34919204982487396e-05
134,0.00000000000000000e+00
135,0.00000000000000000e+00
136,-0.00000000000000000e+00
137,-1.87878530327425620e-06
138,0.00000000000000000e+00
139,-2.53954635509709000e-05
140,0.00000000000000000e+00
141,0.00000000000000000e+00
142,-0.00000000000000000e+00
143,-1.93652170553730759e-06
144,0.00000000000000000e+00
145,-2.73558876518408465e-05
146,0.00000000000000000e+00
147,0.00000000000000000e+00
148,-0.00000000000000000e+00
149,-1.99226228153142110e-06
150,0.00000000000000000e+00
151,-2.93711969745895971e-05
152,0.00000000000000000e+00
153,0.00000000000000000e+00
154,-0.00000000000000000e+00
155,-2.04600703125647117e-06
156,0.00000000000000000e+00
157,-3.14393956929481493e-05
158,0.00000000000000000e+00
159,0.00000000000000000e+00
