Row,Col,K Value
0,0,1.3729295580000004e+16
0,6,-1.3729295580000004e+16
1,1,73653703200000.06
1,5,42087830400000.04
1,7,-73653703200000.06
1,11,31565872800000.023
2,2,11409552000000.01
2,4,-6519744000000.005
2,8,-11409552000000.01
2,10,-4889808000000.003
3,3,105572.56500000002
3,9,-105572.56500000002
4,2,-6519744000000.005
4,4,3803184000000.0024
4,8,6519744000000.005
4,10,2716560000000.0024
5,1,42087830400000.03
5,5,24551234400000.016
5,7,-42087830400000.03
5,11,17536596000000.012
6,0,-1.3729295580000004e+16
6,6,1.3729295580000004e+16
7,1,-73653703200000.06
7,5,-42087830400000.04
7,7,73653703200000.06
7,11,-31565872800000.023
8,2,-11409552000000.01
8,4,6519744000000.005
8,8,11409552000000.01
8,10,4889808000000.003
9,3,-105572.56500000002
9,9,105572.56500000002
10,2,-4889808000000.003
10,4,2716560000000.0024
10,8,4889808000000.003
10,10,2173248000000.0015
11,1,31565872800000.03
11,5,17536596000000.014
11,7,-31565872800000.03
11,11,14029276800000.014
