Element ID,Local DOF,U Value
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,-4.443089413999196e-08
0,8,0.0
0,9,0.0
0,10,0.0
0,11,-1.0364040654451445e-07
1,0,0.0
1,1,-4.443089413999196e-08
1,2,0.0
1,3,0.0
1,4,0.0
1,5,-1.0364040654451445e-07
1,6,0.0
1,7,-1.9164684070689328e-07
1,8,-0.0
1,9,0.0
1,10,0.0
1,11,-2.0528498681461692e-07
2,0,0.0
2,1,-1.9164684070689328e-07
2,2,-0.0
2,3,0.0
2,4,0.0
2,5,-2.0528498681461692e-07
2,6,0.0
2,7,-4.396520134262882e-07
2,8,-0.0
2,9,0.0
2,10,-0.0
2,11,-3.04933740810299e-07
3,0,0.0
3,1,-4.396520134262882e-07
3,2,-0.0
3,3,0.0
3,4,-0.0
3,5,-3.04933740810299e-07
3,6,0.0
3,7,-7.864505860239618e-07
3,8,0.0
3,9,0.0
3,10,-0.0
3,11,-4.025866685320526e-07
4,0,0.0
4,1,-7.864505860239618e-07
4,2,0.0
4,3,0.0
4,4,-0.0
4,5,-4.025866685320526e-07
4,6,0.0
4,7,-1.2300467322261425e-06
4,8,0.0
4,9,0.0
4,10,-0.0
4,11,-4.982437699802313e-07
5,0,0.0
5,1,-1.2300467322261425e-06
5,2,0.0
5,3,0.0
5,4,-0.0
5,5,-4.982437699802313e-07
5,6,0.0
5,7,-1.7684446257592495e-06
5,8,0.0
5,9,0.0
5,10,-0.0
5,11,-5.91905045154821e-07
6,0,0.0
6,1,-1.7684446257592495e-06
6,2,0.0
6,3,0.0
6,4,-0.0
6,5,-5.91905045154821e-07
6,6,0.0
6,7,-2.3996484403496677e-06
6,8,0.0
6,9,0.0
6,10,-0.0
6,11,-6.83570494055759e-07
7,0,0.0
7,1,-2.3996484403496677e-06
7,2,0.0
7,3,0.0
7,4,-0.0
7,5,-6.83570494055759e-07
7,6,0.0
7,7,-3.121662349723719e-06
7,8,0.0
7,9,0.0
7,10,-0.0
7,11,-7.732401166829853e-07
8,0,0.0
8,1,-3.121662349723719e-06
8,2,0.0
8,3,0.0
8,4,-0.0
8,5,-7.732401166829853e-07
8,6,0.0
8,7,-3.932490527607676e-06
8,8,0.0
8,9,0.0
8,10,-0.0
8,11,-8.609139130364634e-07
9,0,0.0
9,1,-3.932490527607676e-06
9,2,0.0
9,3,0.0
9,4,-0.0
9,5,-8.609139130364634e-07
9,6,0.0
9,7,-4.8301371477277545e-06
9,8,0.0
9,9,0.0
9,10,-0.0
9,11,-9.465918831161074e-07
10,0,0.0
10,1,-4.8301371477277545e-06
10,2,0.0
10,3,0.0
10,4,-0.0
10,5,-9.465918831161074e-07
10,6,0.0
10,7,-5.812606383810097e-06
10,8,0.0
10,9,0.0
10,10,-0.0
10,11,-1.0302740269218619e-06
11,0,0.0
11,1,-5.812606383810097e-06
11,2,0.0
11,3,0.0
11,4,-0.0
11,5,-1.0302740269218619e-06
11,6,0.0
11,7,-6.877902409580713e-06
11,8,0.0
11,9,0.0
11,10,0.0
11,11,-1.1119603444534934e-06
12,0,0.0
12,1,-6.877902409580713e-06
12,2,0.0
12,3,0.0
12,4,0.0
12,5,-1.1119603444534934e-06
12,6,0.0
12,7,-8.024029398765423e-06
12,8,-0.0
12,9,0.0
12,10,-0.0
12,11,-1.1916508357108642e-06
13,0,0.0
13,1,-8.024029398765423e-06
13,2,-0.0
13,3,0.0
13,4,-0.0
13,5,-1.1916508357108642e-06
13,6,0.0
13,7,-9.24899152509008e-06
13,8,0.0
13,9,0.0
13,10,-0.0
13,11,-1.2693455006942648e-06
14,0,0.0
14,1,-9.24899152509008e-06
14,2,0.0
14,3,0.0
14,4,-0.0
14,5,-1.2693455006942648e-06
14,6,0.0
14,7,-1.0550792962280938e-05
14,8,0.0
14,9,0.0
14,10,-0.0
14,11,-1.3450443394041946e-06
15,0,0.0
15,1,-1.0550792962280938e-05
15,2,0.0
15,3,0.0
15,4,-0.0
15,5,-1.3450443394041946e-06
15,6,0.0
15,7,-1.1927437884064702e-05
15,8,0.0
15,9,0.0
15,10,-0.0
15,11,-1.4187473518410866e-06
16,0,0.0
16,1,-1.1927437884064702e-05
16,2,0.0
16,3,0.0
16,4,-0.0
16,5,-1.4187473518410866e-06
16,6,0.0
16,7,-1.3376930464168301e-05
16,8,0.0
16,9,0.0
16,10,-0.0
16,11,-1.4904545380048364e-06
17,0,0.0
17,1,-1.3376930464168301e-05
17,2,0.0
17,3,0.0
17,4,-0.0
17,5,-1.4904545380048364e-06
17,6,0.0
17,7,-1.489727487631883e-05
17,8,0.0
17,9,0.0
17,10,-0.0
17,11,-1.5601658978960166e-06
18,0,0.0
18,1,-1.489727487631883e-05
18,2,0.0
18,3,0.0
18,4,-0.0
18,5,-1.5601658978960166e-06
18,6,0.0
18,7,-1.6486475294243766e-05
18,8,0.0
18,9,0.0
18,10,-0.0
18,11,-1.6278814315147248e-06
19,0,0.0
19,1,-1.6486475294243766e-05
19,2,0.0
19,3,0.0
19,4,-0.0
19,5,-1.6278814315147248e-06
19,6,0.0
19,7,-1.8142535891670706e-05
19,8,0.0
19,9,0.0
19,10,-0.0
19,11,-1.6936011388611389e-06
20,0,0.0
20,1,-1.8142535891670706e-05
20,2,0.0
20,3,0.0
20,4,-0.0
20,5,-1.6936011388611389e-06
20,6,0.0
20,7,-1.986346084232789e-05
20,8,0.0
20,9,0.0
20,10,-0.0
20,11,-1.7573250199364958e-06
21,0,0.0
21,1,-1.986346084232789e-05
21,2,0.0
21,3,0.0
21,4,-0.0
21,5,-1.7573250199364958e-06
21,6,0.0
21,7,-2.1647254319944215e-05
21,8,0.0
21,9,0.0
21,10,-0.0
21,11,-1.819053074740678e-06
22,0,0.0
22,1,-2.1647254319944215e-05
22,2,0.0
22,3,0.0
22,4,-0.0
22,5,-1.819053074740678e-06
22,6,0.0
22,7,-2.349192049824874e-05
22,8,0.0
22,9,0.0
22,10,-0.0
22,11,-1.8787853032742562e-06
23,0,0.0
23,1,-2.349192049824874e-05
23,2,0.0
23,3,0.0
23,4,-0.0
23,5,-1.8787853032742562e-06
23,6,0.0
23,7,-2.53954635509709e-05
23,8,0.0
23,9,0.0
23,10,-0.0
23,11,-1.9365217055373076e-06
24,0,0.0
24,1,-2.53954635509709e-05
24,2,0.0
24,3,0.0
24,4,-0.0
24,5,-1.9365217055373076e-06
24,6,0.0
24,7,-2.7355887651840847e-05
24,8,0.0
24,9,0.0
24,10,-0.0
24,11,-1.992262281531421e-06
25,0,0.0
25,1,-2.7355887651840847e-05
25,2,0.0
25,3,0.0
25,4,-0.0
25,5,-1.992262281531421e-06
25,6,0.0
25,7,-2.9371196974589597e-05
25,8,0.0
25,9,0.0
25,10,-0.0
25,11,-2.046007031256471e-06
26,0,0.0
26,1,-2.9371196974589597e-05
26,2,0.0
26,3,0.0
26,4,-0.0
26,5,-2.046007031256471e-06
26,6,0.0
26,7,-3.143939569294815e-05
26,8,0.0
26,9,0.0
26,10,-0.0
26,11,-2.0977559547126035e-06
27,0,0.0
27,1,-3.143939569294815e-05
27,2,0.0
27,3,0.0
27,4,-0.0
27,5,-2.0977559547126035e-06
27,6,0.0
27,7,-3.355848798064756e-05
27,8,0.0
27,9,0.0
27,10,-0.0
27,11,-2.147509051899778e-06
28,0,0.0
28,1,-3.355848798064756e-05
28,2,0.0
28,3,0.0
28,4,-0.0
28,5,-2.147509051899778e-06
28,6,0.0
28,7,-3.572647801141835e-05
28,8,0.0
28,9,0.0
28,10,-0.0
28,11,-2.1952663228167303e-06
29,0,0.0
