Global DOF,Value
0,0.000000000000e+00
1,-9.999999731560e+02
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,-5.249999823743e+04
6,0.000000000000e+00
7,-9.313225746155e-10
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,0.000000000000e+00
12,0.000000000000e+00
13,3.725290298462e-09
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,7.450580596924e-09
18,0.000000000000e+00
19,4.153698682785e-07
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,-2.793967723846e-09
24,0.000000000000e+00
25,1.490116119385e-08
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,-5.587935447693e-09
30,0.000000000000e+00
31,1.490116119385e-08
32,0.000000000000e+00
33,0.000000000000e+00
34,0.000000000000e+00
35,1.303851604462e-08
36,0.000000000000e+00
37,-8.568167686462e-08
38,0.000000000000e+00
39,0.000000000000e+00
40,0.000000000000e+00
41,1.117587089539e-08
42,0.000000000000e+00
43,-7.450580596924e-09
44,0.000000000000e+00
45,0.000000000000e+00
46,0.000000000000e+00
47,-9.313225746155e-09
48,0.000000000000e+00
49,3.725290298462e-08
50,0.000000000000e+00
51,0.000000000000e+00
52,0.000000000000e+00
53,3.725290298462e-09
54,0.000000000000e+00
55,-4.470348358154e-08
56,0.000000000000e+00
57,0.000000000000e+00
58,0.000000000000e+00
59,2.421438694000e-08
60,0.000000000000e+00
61,-9.685754776001e-08
62,0.000000000000e+00
63,0.000000000000e+00
64,0.000000000000e+00
65,-3.725290298462e-08
66,0.000000000000e+00
67,5.215406417847e-08
68,0.000000000000e+00
69,0.000000000000e+00
70,0.000000000000e+00
71,5.960464477539e-08
72,0.000000000000e+00
73,-2.235174179077e-07
74,0.000000000000e+00
75,0.000000000000e+00
76,0.000000000000e+00
77,-3.725290298462e-09
78,0.000000000000e+00
79,4.023313522339e-07
80,0.000000000000e+00
81,0.000000000000e+00
82,0.000000000000e+00
83,4.470348358154e-08
84,0.000000000000e+00
85,-2.309679985046e-07
86,0.000000000000e+00
87,0.000000000000e+00
88,0.000000000000e+00
89,1.490116119385e-08
90,0.000000000000e+00
91,3.352761268616e-07
92,0.000000000000e+00
93,0.000000000000e+00
94,0.000000000000e+00
95,3.725290298462e-08
96,0.000000000000e+00
97,-3.427267074585e-07
98,0.000000000000e+00
99,0.000000000000e+00
100,0.000000000000e+00
101,2.011656761169e-07
102,0.000000000000e+00
103,1.266598701477e-07
104,0.000000000000e+00
105,0.000000000000e+00
106,0.000000000000e+00
107,2.980232238770e-08
108,0.000000000000e+00
109,-3.799796104431e-07
110,0.000000000000e+00
111,0.000000000000e+00
112,0.000000000000e+00
113,-6.332993507385e-08
114,0.000000000000e+00
115,4.991888999939e-07
116,0.000000000000e+00
117,0.000000000000e+00
118,0.000000000000e+00
119,2.272427082062e-07
120,0.000000000000e+00
121,-9.685754776001e-08
122,0.000000000000e+00
123,0.000000000000e+00
124,0.000000000000e+00
125,-3.837049007416e-07
126,0.000000000000e+00
127,-4.097819328308e-07
128,0.000000000000e+00
129,0.000000000000e+00
130,0.000000000000e+00
131,1.117587089539e-08
132,0.000000000000e+00
133,6.705522537231e-07
134,0.000000000000e+00
135,0.000000000000e+00
136,0.000000000000e+00
137,6.705522537231e-08
138,0.000000000000e+00
139,-1.192092895508e-07
140,0.000000000000e+00
141,0.000000000000e+00
142,0.000000000000e+00
143,3.203749656677e-07
144,0.000000000000e+00
145,4.470348358154e-08
146,0.000000000000e+00
147,0.000000000000e+00
148,0.000000000000e+00
149,1.043081283569e-07
150,0.000000000000e+00
151,-7.525086402893e-07
152,0.000000000000e+00
153,0.000000000000e+00
154,0.000000000000e+00
155,7.450580596924e-09
156,0.000000000000e+00
157,6.034970283508e-07
158,0.000000000000e+00
159,0.000000000000e+00
160,0.000000000000e+00
161,-2.160668373108e-07
162,0.000000000000e+00
163,2.384185791016e-07
164,0.000000000000e+00
165,0.000000000000e+00
166,0.000000000000e+00
167,-8.195638656616e-08
168,0.000000000000e+00
169,-8.940696716309e-08
170,0.000000000000e+00
171,0.000000000000e+00
172,0.000000000000e+00
173,1.043081283569e-07
174,0.000000000000e+00
175,8.940696716309e-08
176,0.000000000000e+00
177,0.000000000000e+00
178,0.000000000000e+00
179,-2.905726432800e-07
180,0.000000000000e+00
181,1.341104507446e-07
182,0.000000000000e+00
183,0.000000000000e+00
184,0.000000000000e+00
185,4.470348358154e-07
186,0.000000000000e+00
187,-1.043081283569e-07
188,0.000000000000e+00
189,0.000000000000e+00
190,0.000000000000e+00
191,-5.960464477539e-08
192,0.000000000000e+00
193,7.450580596924e-08
194,0.000000000000e+00
195,0.000000000000e+00
196,0.000000000000e+00
197,-2.756714820862e-07
198,0.000000000000e+00
199,9.238719940186e-07
200,0.000000000000e+00
201,0.000000000000e+00
202,0.000000000000e+00
203,2.011656761169e-07
204,0.000000000000e+00
205,-9.238719940186e-07
206,0.000000000000e+00
207,0.000000000000e+00
208,0.000000000000e+00
209,3.650784492493e-07
210,0.000000000000e+00
211,-4.917383193970e-07
212,0.000000000000e+00
213,0.000000000000e+00
214,0.000000000000e+00
215,-4.768371582031e-07
216,0.000000000000e+00
217,-8.344650268555e-07
218,0.000000000000e+00
219,0.000000000000e+00
220,0.000000000000e+00
221,-2.533197402954e-07
222,0.000000000000e+00
223,9.983777999878e-07
224,0.000000000000e+00
225,0.000000000000e+00
226,0.000000000000e+00
227,-3.501772880554e-07
228,0.000000000000e+00
229,-1.594424247742e-06
230,0.000000000000e+00
231,0.000000000000e+00
232,0.000000000000e+00
233,3.352761268616e-07
234,0.000000000000e+00
235,8.344650268555e-07
236,0.000000000000e+00
237,0.000000000000e+00
238,0.000000000000e+00
239,6.258487701416e-07
240,0.000000000000e+00
241,-2.726912498474e-06
242,0.000000000000e+00
243,0.000000000000e+00
244,0.000000000000e+00
245,1.341104507446e-07
246,0.000000000000e+00
247,-1.907348632812e-06
248,0.000000000000e+00
249,0.000000000000e+00
250,0.000000000000e+00
251,-8.940696716309e-07
252,0.000000000000e+00
253,7.003545761108e-07
254,0.000000000000e+00
255,0.000000000000e+00
256,0.000000000000e+00
257,-7.227063179016e-07
258,0.000000000000e+00
259,1.490116119385e-07
260,0.000000000000e+00
261,0.000000000000e+00
262,0.000000000000e+00
263,5.066394805908e-07
264,0.000000000000e+00
265,-4.023313522339e-07
266,0.000000000000e+00
267,0.000000000000e+00
268,0.000000000000e+00
269,-7.525086402893e-07
270,0.000000000000e+00
271,2.548098564148e-06
272,0.000000000000e+00
273,0.000000000000e+00
274,0.000000000000e+00
275,-1.266598701477e-07
276,0.000000000000e+00
277,-8.493661880493e-07
278,0.000000000000e+00
279,0.000000000000e+00
280,0.000000000000e+00
281,4.842877388000e-07
282,0.000000000000e+00
283,-6.258487701416e-07
284,0.000000000000e+00
285,0.000000000000e+00
286,0.000000000000e+00
287,-9.834766387939e-07
288,0.000000000000e+00
289,4.619359970093e-07
290,0.000000000000e+00
291,0.000000000000e+00
292,0.000000000000e+00
293,-3.799796104431e-07
294,0.000000000000e+00
295,6.556510925293e-07
296,0.000000000000e+00
297,0.000000000000e+00
298,0.000000000000e+00
299,-1.639127731323e-07
300,0.000000000000e+00
301,-1.654028892517e-06
302,0.000000000000e+00
303,0.000000000000e+00
304,0.000000000000e+00
305,-6.556510925293e-07
306,0.000000000000e+00
307,1.624226570129e-06
308,0.000000000000e+00
309,0.000000000000e+00
310,0.000000000000e+00
311,-1.564621925354e-07
312,0.000000000000e+00
313,4.023313522339e-07
314,0.000000000000e+00
315,0.000000000000e+00
316,0.000000000000e+00
317,-4.693865776062e-07
318,0.000000000000e+00
319,-3.278255462646e-07
