Condensed DOF,Value
0,0.000000000000e+00
1,-4.443089413999e-08
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,-1.036404065445e-07
6,0.000000000000e+00
7,-1.916468407069e-07
8,-0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,-2.052849868146e-07
12,0.000000000000e+00
13,-4.396520134263e-07
14,-0.000000000000e+00
15,0.000000000000e+00
16,-0.000000000000e+00
17,-3.049337408103e-07
18,0.000000000000e+00
19,-7.864505860240e-07
20,0.000000000000e+00
21,0.000000000000e+00
22,-0.000000000000e+00
23,-4.025866685321e-07
24,0.000000000000e+00
25,-1.230046732226e-06
26,0.000000000000e+00
27,0.000000000000e+00
28,-0.000000000000e+00
29,-4.982437699802e-07
30,0.000000000000e+00
31,-1.768444625759e-06
32,0.000000000000e+00
33,0.000000000000e+00
34,-0.000000000000e+00
35,-5.919050451548e-07
36,0.000000000000e+00
37,-2.399648440350e-06
38,0.000000000000e+00
39,0.000000000000e+00
40,-0.000000000000e+00
41,-6.835704940558e-07
42,0.000000000000e+00
43,-3.121662349724e-06
44,0.000000000000e+00
45,0.000000000000e+00
46,-0.000000000000e+00
47,-7.732401166830e-07
48,0.000000000000e+00
49,-3.932490527608e-06
50,0.000000000000e+00
51,0.000000000000e+00
52,-0.000000000000e+00
53,-8.609139130365e-07
54,0.000000000000e+00
55,-4.830137147728e-06
56,0.000000000000e+00
57,0.000000000000e+00
58,-0.000000000000e+00
59,-9.465918831161e-07
60,0.000000000000e+00
61,-5.812606383810e-06
62,0.000000000000e+00
63,0.000000000000e+00
64,-0.000000000000e+00
65,-1.030274026922e-06
66,0.000000000000e+00
67,-6.877902409581e-06
68,0.000000000000e+00
69,0.000000000000e+00
70,0.000000000000e+00
71,-1.111960344453e-06
72,0.000000000000e+00
73,-8.024029398765e-06
74,-0.000000000000e+00
75,0.000000000000e+00
76,-0.000000000000e+00
77,-1.191650835711e-06
78,0.000000000000e+00
79,-9.248991525090e-06
80,0.000000000000e+00
81,0.000000000000e+00
82,-0.000000000000e+00
83,-1.269345500694e-06
84,0.000000000000e+00
85,-1.055079296228e-05
86,0.000000000000e+00
87,0.000000000000e+00
88,-0.000000000000e+00
89,-1.345044339404e-06
90,0.000000000000e+00
91,-1.192743788406e-05
92,0.000000000000e+00
93,0.000000000000e+00
94,-0.000000000000e+00
95,-1.418747351841e-06
96,0.000000000000e+00
97,-1.337693046417e-05
98,0.000000000000e+00
99,0.000000000000e+00
100,-0.000000000000e+00
101,-1.490454538005e-06
102,0.000000000000e+00
103,-1.489727487632e-05
104,0.000000000000e+00
105,0.000000000000e+00
106,-0.000000000000e+00
107,-1.560165897896e-06
108,0.000000000000e+00
109,-1.648647529424e-05
110,0.000000000000e+00
111,0.000000000000e+00
112,-0.000000000000e+00
113,-1.627881431515e-06
114,0.000000000000e+00
115,-1.814253589167e-05
116,0.000000000000e+00
117,0.000000000000e+00
118,-0.000000000000e+00
119,-1.693601138861e-06
120,0.000000000000e+00
121,-1.986346084233e-05
122,0.000000000000e+00
123,0.000000000000e+00
124,-0.000000000000e+00
125,-1.757325019936e-06
126,0.000000000000e+00
127,-2.164725431994e-05
128,0.000000000000e+00
129,0.000000000000e+00
130,-0.000000000000e+00
131,-1.819053074741e-06
132,0.000000000000e+00
133,-2.349192049825e-05
134,0.000000000000e+00
135,0.000000000000e+00
136,-0.000000000000e+00
137,-1.878785303274e-06
138,0.000000000000e+00
139,-2.539546355097e-05
140,0.000000000000e+00
141,0.000000000000e+00
142,-0.000000000000e+00
143,-1.936521705537e-06
144,0.000000000000e+00
145,-2.735588765184e-05
146,0.000000000000e+00
147,0.000000000000e+00
148,-0.000000000000e+00
149,-1.992262281531e-06
150,0.000000000000e+00
151,-2.937119697459e-05
152,0.000000000000e+00
153,0.000000000000e+00
154,-0.000000000000e+00
155,-2.046007031256e-06
156,0.000000000000e+00
157,-3.143939569295e-05
158,0.000000000000e+00
159,0.000000000000e+00
160,-0.000000000000e+00
161,-2.097755954713e-06
162,0.000000000000e+00
163,-3.355848798065e-05
164,0.000000000000e+00
165,0.000000000000e+00
166,-0.000000000000e+00
167,-2.147509051900e-06
168,0.000000000000e+00
169,-3.572647801142e-05
170,0.000000000000e+00
171,0.000000000000e+00
172,-0.000000000000e+00
173,-2.195266322817e-06
174,0.000000000000e+00
175,-3.794136995899e-05
176,0.000000000000e+00
177,0.000000000000e+00
178,-0.000000000000e+00
179,-2.241027767464e-06
180,0.000000000000e+00
181,-4.020116799709e-05
182,0.000000000000e+00
183,0.000000000000e+00
184,-0.000000000000e+00
185,-2.284793385840e-06
186,0.000000000000e+00
187,-4.250387629946e-05
188,0.000000000000e+00
189,0.000000000000e+00
190,-0.000000000000e+00
191,-2.326563177946e-06
192,0.000000000000e+00
193,-4.484749903981e-05
194,0.000000000000e+00
195,0.000000000000e+00
196,-0.000000000000e+00
197,-2.366337143783e-06
198,0.000000000000e+00
199,-4.723004039189e-05
200,0.000000000000e+00
201,0.000000000000e+00
202,-0.000000000000e+00
203,-2.404115283351e-06
204,0.000000000000e+00
205,-4.964950452941e-05
206,0.000000000000e+00
207,0.000000000000e+00
208,-0.000000000000e+00
209,-2.439897596648e-06
210,0.000000000000e+00
211,-5.210389562612e-05
212,0.000000000000e+00
213,0.000000000000e+00
214,-0.000000000000e+00
215,-2.473684083673e-06
216,0.000000000000e+00
217,-5.459121785574e-05
218,0.000000000000e+00
219,0.000000000000e+00
220,-0.000000000000e+00
221,-2.505474744426e-06
222,0.000000000000e+00
223,-5.710947539199e-05
224,0.000000000000e+00
225,0.000000000000e+00
226,-0.000000000000e+00
227,-2.535269578907e-06
228,0.000000000000e+00
229,-5.965667240861e-05
230,0.000000000000e+00
231,0.000000000000e+00
232,-0.000000000000e+00
233,-2.563068587113e-06
234,0.000000000000e+00
235,-6.223081307931e-05
236,0.000000000000e+00
237,0.000000000000e+00
238,-0.000000000000e+00
239,-2.588871769043e-06
240,0.000000000000e+00
241,-6.482990157783e-05
242,0.000000000000e+00
243,0.000000000000e+00
244,-0.000000000000e+00
245,-2.612679124695e-06
246,0.000000000000e+00
247,-6.745194207787e-05
248,0.000000000000e+00
249,0.000000000000e+00
250,-0.000000000000e+00
251,-2.634490654063e-06
252,0.000000000000e+00
253,-7.009493875316e-05
254,0.000000000000e+00
255,0.000000000000e+00
256,-0.000000000000e+00
257,-2.654306357149e-06
258,0.000000000000e+00
259,-7.275689577742e-05
260,0.000000000000e+00
261,0.000000000000e+00
262,-0.000000000000e+00
263,-2.672126233952e-06
264,0.000000000000e+00
265,-7.543581732436e-05
266,0.000000000000e+00
267,0.000000000000e+00
268,-0.000000000000e+00
269,-2.687950284473e-06
270,0.000000000000e+00
271,-7.812970756770e-05
272,0.000000000000e+00
273,0.000000000000e+00
274,-0.000000000000e+00
275,-2.701778508715e-06
276,0.000000000000e+00
277,-8.083657068116e-05
278,0.000000000000e+00
279,0.000000000000e+00
280,-0.000000000000e+00
281,-2.713610906673e-06
282,0.000000000000e+00
283,-8.355441083846e-05
284,0.000000000000e+00
285,0.000000000000e+00
286,-0.000000000000e+00
287,-2.723447478347e-06
288,0.000000000000e+00
289,-8.628123221331e-05
290,0.000000000000e+00
291,0.000000000000e+00
292,-0.000000000000e+00
293,-2.731288223734e-06
294,0.000000000000e+00
295,-8.901503897942e-05
296,0.000000000000e+00
297,0.000000000000e+00
298,-0.000000000000e+00
299,-2.737133142835e-06
300,0.000000000000e+00
301,-9.175312251539e-05
302,0.000000000000e+00
303,0.000000000000e+00
304,-0.000000000000e+00
305,-2.739271527371e-06
306,0.000000000000e+00
307,-9.449239404243e-05
308,0.000000000000e+00
309,0.000000000000e+00
310,-0.000000000000e+00
311,-2.739271526600e-06
312,0.000000000000e+00
313,-9.723166556872e-05
314,0.000000000000e+00
315,0.000000000000e+00
316,-0.000000000000e+00
317,-2.739271525873e-06
318,0.000000000000e+00
319,-9.997093709430e-05
320,0.000000000000e+00
321,0.000000000000e+00
322,-0.000000000000e+00
323,-2.739271525191e-06
324,0.000000000000e+00
325,-1.027102086192e-04
326,0.000000000000e+00
327,0.000000000000e+00
328,-0.000000000000e+00
329,-2.739271524557e-06
330,0.000000000000e+00
331,-1.054494801435e-04
332,0.000000000000e+00
333,0.000000000000e+00
334,-0.000000000000e+00
335,-2.739271523973e-06
336,0.000000000000e+00
337,-1.081887516673e-04
338,0.000000000000e+00
339,0.000000000000e+00
340,-0.000000000000e+00
341,-2.739271523436e-06
342,0.000000000000e+00
343,-1.109280231905e-04
344,0.000000000000e+00
345,0.000000000000e+00
346,-0.000000000000e+00
347,-2.739271522944e-06
348,0.000000000000e+00
349,-1.136672947132e-04
350,0.000000000000e+00
351,0.000000000000e+00
352,-0.000000000000e+00
353,-2.739271522498e-06
354,0.000000000000e+00
355,-1.164065662356e-04
356,0.000000000000e+00
357,0.000000000000e+00
358,-0.000000000000e+00
359,-2.739271522095e-06
360,0.000000000000e+00
361,-1.191458377575e-04
362,0.000000000000e+00
363,0.000000000000e+00
364,-0.000000000000e+00
365,-2.739271521732e-06
366,0.000000000000e+00
367,-1.218851092791e-04
368,0.000000000000e+00
369,0.000000000000e+00
370,-0.000000000000e+00
371,-2.739271521403e-06
372,0.000000000000e+00
373,-1.246243808004e-04
374,0.000000000000e+00
375,0.000000000000e+00
376,-0.000000000000e+00
377,-2.739271521105e-06
378,0.000000000000e+00
379,-1.273636523214e-04
380,0.000000000000e+00
381,0.000000000000e+00
382,-0.000000000000e+00
