Row,Col,K Value
0,0,199999999999.99985
0,6,-199999999999.99985
1,1,560011199999998.75
1,5,320006399999999.25
1,7,-560011199999998.75
1,11,240004799999999.44
2,2,2240011199999994.5
2,4,-1280006399999997.0
2,8,-2240011199999994.5
2,10,-960004799999997.6
3,3,65653780.49999996
3,9,-65653780.49999996
4,2,-1280006399999997.0
4,4,746670399999998.1
4,8,1280006399999997.0
4,10,533335999999998.6
5,1,320006399999999.3
5,5,186670399999999.6
5,7,-320006399999999.3
5,11,133335999999999.7
6,0,-199999999999.99985
6,6,199999999999.99985
7,1,-560011199999998.75
7,5,-320006399999999.25
7,7,560011199999998.75
7,11,-240004799999999.44
8,2,-2240011199999994.5
8,4,1280006399999997.0
8,8,2240011199999994.5
8,10,960004799999997.6
9,3,-65653780.49999996
9,9,65653780.49999996
10,2,-960004799999997.6
10,4,533335999999998.7
10,8,960004799999997.6
10,10,426668799999998.94
11,1,240004799999999.44
11,5,133335999999999.67
11,7,-240004799999999.44
11,11,106668799999999.73
