Condensed DOF,U Value
0,0.00000000000000000e+00
1,-6.06237870928440182e-07
2,0.00000000000000000e+00
3,0.00000000000000000e+00
4,0.00000000000000000e+00
5,-1.41372171550024094e-06
6,0.00000000000000000e+00
7,-2.60369790737190409e-06
8,-0.00000000000000000e+00
9,0.00000000000000000e+00
10,0.00000000000000000e+00
11,-2.77494448103497589e-06
12,0.00000000000000000e+00
13,-5.93988115936487768e-06
14,-0.00000000000000000e+00
15,0.00000000000000000e+00
16,-0.00000000000000000e+00
17,-4.08366829660418579e-06
18,0.00000000000000000e+00
19,-1.05622886769411515e-05
20,0.00000000000000000e+00
21,0.00000000000000000e+00
22,-0.00000000000000000e+00
23,-5.33989316220622359e-06
24,0.00000000000000000e+00
25,-1.64184215101329339e-05
26,0.00000000000000000e+00
27,0.00000000000000000e+00
28,-0.00000000000000000e+00
29,-6.54361907783968576e-06
30,0.00000000000000000e+00
31,-2.34557807089711765e-05
32,0.00000000000000000e+00
33,0.00000000000000000e+00
34,-0.00000000000000000e+00
35,-7.69484604350345674e-06
36,0.00000000000000000e+00
37,-3.16218673234858528e-05
38,0.00000000000000000e+00
39,0.00000000000000000e+00
40,-0.00000000000000000e+00
41,-8.79357405919677337e-06
42,0.00000000000000000e+00
43,-4.08641824037066616e-05
44,0.00000000000000000e+00
45,0.00000000000000000e+00
46,-0.00000000000000000e+00
47,-9.83980312491998716e-06
48,0.00000000000000000e+00
49,-5.11302269996637899e-05
50,0.00000000000000000e+00
51,0.00000000000000000e+00
52,-0.00000000000000000e+00
53,-1.08335332406738130e-05
54,0.00000000000000000e+00
55,-6.23675021613884884e-05
56,0.00000000000000000e+00
57,0.00000000000000000e+00
58,-0.00000000000000000e+00
59,-1.17747644064597688e-05
60,0.00000000000000000e+00
61,-7.45235089389126244e-05
62,0.00000000000000000e+00
63,0.00000000000000000e+00
64,-0.00000000000000000e+00
65,-1.26634966222771261e-05
66,0.00000000000000000e+00
67,-8.75457483822687023e-05
68,0.00000000000000000e+00
69,0.00000000000000000e+00
70,0.00000000000000000e+00
71,-1.34997298881285784e-05
72,0.00000000000000000e+00
73,-1.01381721541490805e-04
74,-0.00000000000000000e+00
75,0.00000000000000000e+00
76,-0.00000000000000000e+00
77,-1.42834642040140073e-05
78,0.00000000000000000e+00
79,-1.15978929466626677e-04
80,0.00000000000000000e+00
81,0.00000000000000000e+00
82,-0.00000000000000000e+00
83,-1.50146995699665841e-05
84,0.00000000000000000e+00
85,-1.31284873207756603e-04
86,0.00000000000000000e+00
87,0.00000000000000000e+00
88,-0.00000000000000000e+00
89,-1.56934359860158889e-05
90,0.00000000000000000e+00
91,-1.47247053814976409e-04
92,0.00000000000000000e+00
93,0.00000000000000000e+00
94,-0.00000000000000000e+00
95,-1.63196734521597992e-05
96,0.00000000000000000e+00
97,-1.63812972338376125e-04
98,0.00000000000000000e+00
99,0.00000000000000000e+00
100,-0.00000000000000000e+00
101,-1.68934119683875846e-05
102,0.00000000000000000e+00
103,-1.80930129828039857e-04
104,0.00000000000000000e+00
105,0.00000000000000000e+00
106,-0.00000000000000000e+00
107,-1.74146515346999872e-05
108,0.00000000000000000e+00
109,-1.98546027334050272e-04
110,0.00000000000000000e+00
111,0.00000000000000000e+00
112,-0.00000000000000000e+00
113,-1.78833921510922230e-05
114,0.00000000000000000e+00
115,-2.16608165906484863e-04
116,0.00000000000000000e+00
117,0.00000000000000000e+00
118,-0.00000000000000000e+00
119,-1.82996338175588641e-05
120,0.00000000000000000e+00
121,-2.35064046595415864e-04
122,0.00000000000000000e+00
123,0.00000000000000000e+00
124,-0.00000000000000000e+00
125,-1.86633765340948521e-05
126,0.00000000000000000e+00
127,-2.53861170450909654e-04
128,0.00000000000000000e+00
129,0.00000000000000000e+00
130,-0.00000000000000000e+00
131,-1.89746203006933227e-05
132,0.00000000000000000e+00
133,-2.72947038523025374e-04
134,0.00000000000000000e+00
135,0.00000000000000000e+00
136,-0.00000000000000000e+00
137,-1.92333651173463339e-05
138,0.00000000000000000e+00
139,-2.92269151861815064e-04
140,0.00000000000000000e+00
141,0.00000000000000000e+00
142,-0.00000000000000000e+00
143,-1.94396109840481871e-05
144,0.00000000000000000e+00
145,-3.11775011517326456e-04
146,0.00000000000000000e+00
147,0.00000000000000000e+00
148,-0.00000000000000000e+00
149,-1.95933579007963072e-05
150,0.00000000000000000e+00
151,-3.31393368914595138e-04
152,0.00000000000000000e+00
153,0.00000000000000000e+00
154,-0.00000000000000000e+00
155,-1.96496067675653585e-05
156,0.00000000000000000e+00
157,-3.51042975678650426e-04
158,0.00000000000000000e+00
159,0.00000000000000000e+00
160,-0.00000000000000000e+00
161,-1.96496067593763761e-05
162,0.00000000000000000e+00
163,-3.70692582434550616e-04
164,0.00000000000000000e+00
165,0.00000000000000000e+00
166,-0.00000000000000000e+00
167,-1.96496067512665946e-05
168,0.00000000000000000e+00
169,-3.90342189182374692e-04
170,0.00000000000000000e+00
171,0.00000000000000000e+00
172,-0.00000000000000000e+00
173,-1.96496067432352959e-05
174,0.00000000000000000e+00
175,-4.09991795922210692e-04
176,0.00000000000000000e+00
177,0.00000000000000000e+00
178,-0.00000000000000000e+00
179,-1.96496067353055225e-05
180,0.00000000000000000e+00
181,-4.29641402654166006e-04
182,0.00000000000000000e+00
183,0.00000000000000000e+00
184,-0.00000000000000000e+00
185,-1.96496067274900647e-05
186,0.00000000000000000e+00
187,-4.49291009378345477e-04
188,0.00000000000000000e+00
189,0.00000000000000000e+00
190,-0.00000000000000000e+00
191,-1.96496067197668928e-05
192,0.00000000000000000e+00
193,-4.68940616094846573e-04
194,0.00000000000000000e+00
195,0.00000000000000000e+00
196,-0.00000000000000000e+00
197,-1.96496067121482143e-05
198,0.00000000000000000e+00
199,-4.88590222803773596e-04
200,0.00000000000000000e+00
201,0.00000000000000000e+00
202,-0.00000000000000000e+00
203,-1.96496067046337548e-05
204,0.00000000000000000e+00
205,-5.08239829505235290e-04
206,0.00000000000000000e+00
207,0.00000000000000000e+00
208,-0.00000000000000000e+00
209,-1.96496066972345527e-05
210,0.00000000000000000e+00
211,-5.27889436199354876e-04
212,0.00000000000000000e+00
213,0.00000000000000000e+00
214,-0.00000000000000000e+00
215,-1.96496066899686092e-05
216,0.00000000000000000e+00
217,-5.47539042886273082e-04
218,0.00000000000000000e+00
219,0.00000000000000000e+00
220,-0.00000000000000000e+00
221,-1.96496066828533732e-05
222,0.00000000000000000e+00
223,-5.67188649566141914e-04
224,0.00000000000000000e+00
225,0.00000000000000000e+00
226,-0.00000000000000000e+00
227,-1.96496066758917652e-05
228,0.00000000000000000e+00
229,-5.86838256239113811e-04
230,0.00000000000000000e+00
231,0.00000000000000000e+00
232,-0.00000000000000000e+00
233,-1.96496066690809156e-05
234,0.00000000000000000e+00
235,-6.06487862905333297e-04
236,0.00000000000000000e+00
237,0.00000000000000000e+00
238,-0.00000000000000000e+00
239,-1.96496066624064891e-05
240,0.00000000000000000e+00
241,-6.26137469564929392e-04
242,0.00000000000000000e+00
243,0.00000000000000000e+00
244,-0.00000000000000000e+00
245,-1.96496066558506913e-05
246,0.00000000000000000e+00
247,-6.45787076218040982e-04
248,0.00000000000000000e+00
249,0.00000000000000000e+00
250,-0.00000000000000000e+00
251,-1.96496066494623552e-05
252,0.00000000000000000e+00
253,-6.65436682864841431e-04
254,0.00000000000000000e+00
255,0.00000000000000000e+00
256,-0.00000000000000000e+00
257,-1.96496066432540103e-05
258,0.00000000000000000e+00
259,-6.85086289505513102e-04
260,0.00000000000000000e+00
261,0.00000000000000000e+00
262,-0.00000000000000000e+00
263,-1.96496066372314163e-05
264,0.00000000000000000e+00
265,-7.04735896140229142e-04
266,0.00000000000000000e+00
267,0.00000000000000000e+00
268,-0.00000000000000000e+00
269,-1.96496066313644595e-05
