Row,Col,K Value
0,0,200000000000.00037
0,6,-200000000000.00037
1,1,560011200000003.4
1,5,320006400000001.94
1,7,-560011200000003.4
1,11,240004800000001.5
2,2,2240011200000013.2
2,4,-1280006400000007.5
2,8,-2240011200000013.2
2,10,-960004800000005.6
3,3,65653780.500000134
3,9,-65653780.500000134
4,2,-1280006400000007.5
4,4,746670400000004.5
4,8,1280006400000007.5
4,10,533336000000003.25
5,1,320006400000001.94
5,5,186670400000001.16
5,7,-320006400000001.94
5,11,133336000000000.83
6,0,-200000000000.00037
6,6,200000000000.00037
7,1,-560011200000003.4
7,5,-320006400000001.94
7,7,560011200000003.4
7,11,-240004800000001.5
8,2,-2240011200000013.2
8,4,1280006400000007.5
8,8,2240011200000013.2
8,10,960004800000005.6
9,3,-65653780.500000134
9,9,65653780.500000134
10,2,-960004800000005.6
10,4,533336000000003.2
10,8,960004800000005.6
10,10,426668800000002.56
11,1,240004800000001.5
11,5,133336000000000.84
11,7,-240004800000001.5
11,11,106668800000000.69
