Element ID,Local DOF,U Value
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,-6.062378709284402e-07
0,8,0.0
0,9,0.0
0,10,0.0
0,11,-1.413721715500241e-06
1,0,0.0
1,1,-6.062378709284402e-07
1,2,0.0
1,3,0.0
1,4,0.0
1,5,-1.413721715500241e-06
1,6,0.0
1,7,-2.603697907371904e-06
1,8,-0.0
1,9,0.0
1,10,0.0
1,11,-2.774944481034976e-06
2,0,0.0
2,1,-2.603697907371904e-06
2,2,-0.0
2,3,0.0
2,4,0.0
2,5,-2.774944481034976e-06
2,6,0.0
2,7,-5.939881159364878e-06
2,8,-0.0
2,9,0.0
2,10,-0.0
2,11,-4.083668296604186e-06
3,0,0.0
3,1,-5.939881159364878e-06
3,2,-0.0
3,3,0.0
3,4,-0.0
3,5,-4.083668296604186e-06
3,6,0.0
3,7,-1.0562288676941152e-05
3,8,0.0
3,9,0.0
3,10,-0.0
3,11,-5.339893162206224e-06
4,0,0.0
4,1,-1.0562288676941152e-05
4,2,0.0
4,3,0.0
4,4,-0.0
4,5,-5.339893162206224e-06
4,6,0.0
4,7,-1.6418421510132934e-05
4,8,0.0
4,9,0.0
4,10,-0.0
4,11,-6.543619077839686e-06
5,0,0.0
5,1,-1.6418421510132934e-05
5,2,0.0
5,3,0.0
5,4,-0.0
5,5,-6.543619077839686e-06
5,6,0.0
5,7,-2.3455780708971176e-05
5,8,0.0
5,9,0.0
5,10,-0.0
5,11,-7.694846043503457e-06
6,0,0.0
6,1,-2.3455780708971176e-05
6,2,0.0
6,3,0.0
6,4,-0.0
6,5,-7.694846043503457e-06
6,6,0.0
6,7,-3.162186732348585e-05
6,8,0.0
6,9,0.0
6,10,-0.0
6,11,-8.793574059196773e-06
7,0,0.0
7,1,-3.162186732348585e-05
7,2,0.0
7,3,0.0
7,4,-0.0
7,5,-8.793574059196773e-06
7,6,0.0
7,7,-4.086418240370666e-05
7,8,0.0
7,9,0.0
7,10,-0.0
7,11,-9.839803124919987e-06
8,0,0.0
8,1,-4.086418240370666e-05
8,2,0.0
8,3,0.0
8,4,-0.0
8,5,-9.839803124919987e-06
8,6,0.0
8,7,-5.113022699966379e-05
8,8,0.0
8,9,0.0
8,10,-0.0
8,11,-1.0833533240673813e-05
9,0,0.0
9,1,-5.113022699966379e-05
9,2,0.0
9,3,0.0
9,4,-0.0
9,5,-1.0833533240673813e-05
9,6,0.0
9,7,-6.236750216138849e-05
9,8,0.0
9,9,0.0
9,10,-0.0
9,11,-1.1774764406459769e-05
10,0,0.0
10,1,-6.236750216138849e-05
10,2,0.0
10,3,0.0
10,4,-0.0
10,5,-1.1774764406459769e-05
10,6,0.0
10,7,-7.452350893891262e-05
10,8,0.0
10,9,0.0
10,10,-0.0
10,11,-1.2663496622277126e-05
11,0,0.0
11,1,-7.452350893891262e-05
11,2,0.0
11,3,0.0
11,4,-0.0
11,5,-1.2663496622277126e-05
11,6,0.0
11,7,-8.75457483822687e-05
11,8,0.0
11,9,0.0
11,10,0.0
11,11,-1.3499729888128578e-05
12,0,0.0
12,1,-8.75457483822687e-05
12,2,0.0
12,3,0.0
12,4,0.0
12,5,-1.3499729888128578e-05
12,6,0.0
12,7,-0.0001013817215414908
12,8,-0.0
12,9,0.0
12,10,-0.0
12,11,-1.4283464204014007e-05
13,0,0.0
13,1,-0.0001013817215414908
13,2,-0.0
13,3,0.0
13,4,-0.0
13,5,-1.4283464204014007e-05
13,6,0.0
13,7,-0.00011597892946662668
13,8,0.0
13,9,0.0
13,10,-0.0
13,11,-1.5014699569966584e-05
14,0,0.0
14,1,-0.00011597892946662668
14,2,0.0
14,3,0.0
14,4,-0.0
14,5,-1.5014699569966584e-05
14,6,0.0
14,7,-0.0001312848732077566
14,8,0.0
14,9,0.0
14,10,-0.0
14,11,-1.569343598601589e-05
15,0,0.0
15,1,-0.0001312848732077566
15,2,0.0
15,3,0.0
15,4,-0.0
15,5,-1.569343598601589e-05
15,6,0.0
15,7,-0.0001472470538149764
15,8,0.0
15,9,0.0
15,10,-0.0
15,11,-1.63196734521598e-05
16,0,0.0
16,1,-0.0001472470538149764
16,2,0.0
16,3,0.0
16,4,-0.0
16,5,-1.63196734521598e-05
16,6,0.0
16,7,-0.00016381297233837613
16,8,0.0
16,9,0.0
16,10,-0.0
16,11,-1.6893411968387585e-05
17,0,0.0
17,1,-0.00016381297233837613
17,2,0.0
17,3,0.0
17,4,-0.0
17,5,-1.6893411968387585e-05
17,6,0.0
17,7,-0.00018093012982803986
17,8,0.0
17,9,0.0
17,10,-0.0
17,11,-1.7414651534699987e-05
18,0,0.0
18,1,-0.00018093012982803986
18,2,0.0
18,3,0.0
18,4,-0.0
18,5,-1.7414651534699987e-05
18,6,0.0
18,7,-0.00019854602733405027
18,8,0.0
18,9,0.0
18,10,-0.0
18,11,-1.7883392151092223e-05
19,0,0.0
19,1,-0.00019854602733405027
19,2,0.0
19,3,0.0
19,4,-0.0
19,5,-1.7883392151092223e-05
19,6,0.0
19,7,-0.00021660816590648486
19,8,0.0
19,9,0.0
19,10,-0.0
19,11,-1.8299633817558864e-05
20,0,0.0
20,1,-0.00021660816590648486
20,2,0.0
20,3,0.0
20,4,-0.0
20,5,-1.8299633817558864e-05
20,6,0.0
20,7,-0.00023506404659541586
20,8,0.0
20,9,0.0
20,10,-0.0
20,11,-1.8663376534094852e-05
21,0,0.0
21,1,-0.00023506404659541586
21,2,0.0
21,3,0.0
21,4,-0.0
21,5,-1.8663376534094852e-05
21,6,0.0
21,7,-0.00025386117045090965
21,8,0.0
21,9,0.0
21,10,-0.0
21,11,-1.8974620300693323e-05
22,0,0.0
22,1,-0.00025386117045090965
22,2,0.0
22,3,0.0
22,4,-0.0
22,5,-1.8974620300693323e-05
22,6,0.0
22,7,-0.0002729470385230254
22,8,0.0
22,9,0.0
22,10,-0.0
22,11,-1.9233365117346334e-05
23,0,0.0
23,1,-0.0002729470385230254
23,2,0.0
23,3,0.0
23,4,-0.0
23,5,-1.9233365117346334e-05
23,6,0.0
23,7,-0.00029226915186181506
23,8,0.0
23,9,0.0
23,10,-0.0
23,11,-1.9439610984048187e-05
24,0,0.0
24,1,-0.00029226915186181506
24,2,0.0
24,3,0.0
24,4,-0.0
24,5,-1.9439610984048187e-05
24,6,0.0
24,7,-0.00031177501151732646
24,8,0.0
24,9,0.0
24,10,-0.0
24,11,-1.9593357900796307e-05
25,0,0.0
25,1,-0.00031177501151732646
25,2,0.0
25,3,0.0
25,4,-0.0
25,5,-1.9593357900796307e-05
25,6,0.0
25,7,-0.00033139336891459514
25,8,0.0
25,9,0.0
25,10,-0.0
25,11,-1.964960676756536e-05
26,0,0.0
26,1,-0.00033139336891459514
26,2,0.0
26,3,0.0
26,4,-0.0
26,5,-1.964960676756536e-05
26,6,0.0
26,7,-0.0003510429756786504
26,8,0.0
26,9,0.0
26,10,-0.0
26,11,-1.9649606759376376e-05
27,0,0.0
27,1,-0.0003510429756786504
27,2,0.0
27,3,0.0
27,4,-0.0
27,5,-1.9649606759376376e-05
27,6,0.0
27,7,-0.0003706925824345506
27,8,0.0
27,9,0.0
27,10,-0.0
27,11,-1.9649606751266595e-05
28,0,0.0
28,1,-0.0003706925824345506
28,2,0.0
28,3,0.0
28,4,-0.0
28,5,-1.9649606751266595e-05
28,6,0.0
28,7,-0.0003903421891823747
28,8,0.0
28,9,0.0
28,10,-0.0
28,11,-1.9649606743235296e-05
29,0,0.0
29,1,-0.0003903421891823747
29,2,0.0
29,3,0.0
29,4,-0.0
