Global DOF,U Value
0,0.00000000000000000e+00
1,0.00000000000000000e+00
2,0.00000000000000000e+00
3,0.00000000000000000e+00
4,0.00000000000000000e+00
5,0.00000000000000000e+00
6,0.00000000000000000e+00
7,-2.30470416364949517e-08
8,0.00000000000000000e+00
9,0.00000000000000000e+00
10,0.00000000000000000e+00
11,-5.37447507024475157e-08
12,0.00000000000000000e+00
13,-9.89834798423383441e-08
14,-0.00000000000000000e+00
15,0.00000000000000000e+00
16,0.00000000000000000e+00
17,-1.05493675094330516e-07
18,0.00000000000000000e+00
19,-2.25813488306963743e-07
20,-0.00000000000000000e+00
21,0.00000000000000000e+00
22,-0.00000000000000000e+00
23,-1.55246773175644548e-07
24,0.00000000000000000e+00
25,-4.01541240719912498e-07
26,0.00000000000000000e+00
27,0.00000000000000000e+00
28,-0.00000000000000000e+00
29,-2.03004044946654249e-07
30,0.00000000000000000e+00
31,-6.24170910770957453e-07
32,0.00000000000000000e+00
33,0.00000000000000000e+00
34,-0.00000000000000000e+00
35,-2.48765490407531978e-07
36,0.00000000000000000e+00
37,-8.91706672149950699e-07
38,0.00000000000000000e+00
39,0.00000000000000000e+00
40,-0.00000000000000000e+00
41,-2.92531109558240650e-07
42,0.00000000000000000e+00
43,-1.20215269854670920e-06
44,0.00000000000000000e+00
45,0.00000000000000000e+00
46,-0.00000000000000000e+00
47,-3.34300902398747072e-07
48,0.00000000000000000e+00
49,-1.55351316365102426e-06
50,0.00000000000000000e+00
51,0.00000000000000000e+00
52,-0.00000000000000000e+00
53,-3.74074868929036844e-07
54,0.00000000000000000e+00
55,-1.94379224115267646e-06
56,0.00000000000000000e+00
57,0.00000000000000000e+00
58,-0.00000000000000000e+00
59,-4.11853009149104991e-07
60,0.00000000000000000e+00
61,-2.37099410474144313e-06
62,0.00000000000000000e+00
63,0.00000000000000000e+00
64,-0.00000000000000000e+00
65,-4.47635323058946748e-07
66,0.00000000000000000e+00
67,-2.83312292810706812e-06
68,0.00000000000000000e+00
69,0.00000000000000000e+00
70,-0.00000000000000000e+00
71,-4.81421810658492076e-07
72,0.00000000000000000e+00
73,-3.32818288493919428e-06
74,0.00000000000000000e+00
75,0.00000000000000000e+00
76,0.00000000000000000e+00
77,-5.13212471947601213e-07
78,0.00000000000000000e+00
79,-3.85417814892736493e-06
80,-0.00000000000000000e+00
81,0.00000000000000000e+00
82,-0.00000000000000000e+00
83,-5.43007306926222122e-07
84,0.00000000000000000e+00
85,-4.40911289376109799e-06
86,0.00000000000000000e+00
87,0.00000000000000000e+00
88,-0.00000000000000000e+00
89,-5.70806315594375553e-07
90,0.00000000000000000e+00
91,-4.99099129312996685e-06
92,0.00000000000000000e+00
93,0.00000000000000000e+00
94,-0.00000000000000000e+00
95,-5.96609497952154258e-07
96,0.00000000000000000e+00
97,-5.59781752072365331e-06
98,0.00000000000000000e+00
99,0.00000000000000000e+00
100,-0.00000000000000000e+00
101,-6.20416853999695666e-07
102,0.00000000000000000e+00
103,-6.22759575023200861e-06
104,0.00000000000000000e+00
105,0.00000000000000000e+00
106,-0.00000000000000000e+00
107,-6.42228383737202432e-07
108,0.00000000000000000e+00
109,-6.87833015534500846e-06
110,0.00000000000000000e+00
111,0.00000000000000000e+00
112,-0.00000000000000000e+00
113,-6.62044087164698589e-07
114,0.00000000000000000e+00
115,-7.54802490975272433e-06
116,0.00000000000000000e+00
117,0.00000000000000000e+00
118,-0.00000000000000000e+00
119,-6.79863964282376202e-07
120,0.00000000000000000e+00
121,-8.23468418714536063e-06
122,0.00000000000000000e+00
123,0.00000000000000000e+00
124,-0.00000000000000000e+00
125,-6.95688015090293822e-07
126,0.00000000000000000e+00
127,-8.93631216121333188e-06
128,0.00000000000000000e+00
129,0.00000000000000000e+00
130,-0.00000000000000000e+00
131,-7.09516239588850931e-07
132,0.00000000000000000e+00
133,-9.65091300564730582e-06
134,0.00000000000000000e+00
135,0.00000000000000000e+00
136,-0.00000000000000000e+00
137,-7.21348637778114975e-07
138,0.00000000000000000e+00
139,-1.03764908941379036e-05
140,0.00000000000000000e+00
141,0.00000000000000000e+00
142,-0.00000000000000000e+00
143,-7.31185209657884994e-07
144,0.00000000000000000e+00
145,-1.11110500003759498e-05
146,0.00000000000000000e+00
147,0.00000000000000000e+00
148,-0.00000000000000000e+00
149,-7.39025955228919930e-07
150,0.00000000000000000e+00
151,-1.18525944980529514e-05
152,0.00000000000000000e+00
153,0.00000000000000000e+00
154,-0.00000000000000000e+00
155,-7.44870874491771414e-07
156,0.00000000000000000e+00
157,-1.25984157657434466e-05
158,0.00000000000000000e+00
159,0.00000000000000000e+00
160,-0.00000000000000000e+00
161,-7.47009259164975577e-07
162,0.00000000000000000e+00
163,-1.33454250246262135e-05
164,0.00000000000000000e+00
165,0.00000000000000000e+00
166,-0.00000000000000000e+00
167,-7.47009258506803554e-07
168,0.00000000000000000e+00
169,-1.40924342828592112e-05
170,0.00000000000000000e+00
171,0.00000000000000000e+00
172,-0.00000000000000000e+00
173,-7.47009257868237803e-07
174,0.00000000000000000e+00
