Row,Col,K Value
0,0,1.372929557999999e+16
0,6,-1.372929557999999e+16
1,1,73653703199999.83
1,5,42087830399999.9
1,7,-73653703199999.83
1,11,31565872799999.92
2,2,11409551999999.973
2,4,-6519743999999.985
2,8,-11409551999999.973
2,10,-4889807999999.988
3,3,105572.56499999996
3,9,-105572.56499999996
4,2,-6519743999999.984
4,4,3803183999999.9907
4,8,6519743999999.984
4,10,2716559999999.993
5,1,42087830399999.9
5,5,24551234399999.94
5,7,-42087830399999.9
5,11,17536595999999.957
6,0,-1.372929557999999e+16
6,6,1.372929557999999e+16
7,1,-73653703199999.83
7,5,-42087830399999.9
7,7,73653703199999.83
7,11,-31565872799999.92
8,2,-11409551999999.973
8,4,6519743999999.985
8,8,11409551999999.973
8,10,4889807999999.988
9,3,-105572.56499999996
9,9,105572.56499999996
10,2,-4889807999999.988
10,4,2716559999999.993
10,8,4889807999999.988
10,10,2173247999999.9946
11,1,31565872799999.92
11,5,17536595999999.957
11,7,-31565872799999.92
11,11,14029276799999.967
