Element ID,Local DOF,U Value
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,-2.3047041636494952e-08
0,8,0.0
0,9,0.0
0,10,0.0
0,11,-5.3744750702447516e-08
1,0,0.0
1,1,-2.3047041636494952e-08
1,2,0.0
1,3,0.0
1,4,0.0
1,5,-5.3744750702447516e-08
1,6,0.0
1,7,-9.898347984233834e-08
1,8,-0.0
1,9,0.0
1,10,0.0
1,11,-1.0549367509433052e-07
2,0,0.0
2,1,-9.898347984233834e-08
2,2,-0.0
2,3,0.0
2,4,0.0
2,5,-1.0549367509433052e-07
2,6,0.0
2,7,-2.2581348830696374e-07
2,8,-0.0
2,9,0.0
2,10,-0.0
2,11,-1.5524677317564455e-07
3,0,0.0
3,1,-2.2581348830696374e-07
3,2,-0.0
3,3,0.0
3,4,-0.0
3,5,-1.5524677317564455e-07
3,6,0.0
3,7,-4.015412407199125e-07
3,8,0.0
3,9,0.0
3,10,-0.0
3,11,-2.0300404494665425e-07
4,0,0.0
4,1,-4.015412407199125e-07
4,2,0.0
4,3,0.0
4,4,-0.0
4,5,-2.0300404494665425e-07
4,6,0.0
4,7,-6.241709107709575e-07
4,8,0.0
4,9,0.0
4,10,-0.0
4,11,-2.48765490407532e-07
5,0,0.0
5,1,-6.241709107709575e-07
5,2,0.0
5,3,0.0
5,4,-0.0
5,5,-2.48765490407532e-07
5,6,0.0
5,7,-8.917066721499507e-07
5,8,0.0
5,9,0.0
5,10,-0.0
5,11,-2.9253110955824065e-07
6,0,0.0
6,1,-8.917066721499507e-07
6,2,0.0
6,3,0.0
6,4,-0.0
6,5,-2.9253110955824065e-07
6,6,0.0
6,7,-1.2021526985467092e-06
6,8,0.0
6,9,0.0
6,10,-0.0
6,11,-3.3430090239874707e-07
7,0,0.0
7,1,-1.2021526985467092e-06
7,2,0.0
7,3,0.0
7,4,-0.0
7,5,-3.3430090239874707e-07
7,6,0.0
7,7,-1.5535131636510243e-06
7,8,0.0
7,9,0.0
7,10,-0.0
7,11,-3.7407486892903684e-07
8,0,0.0
8,1,-1.5535131636510243e-06
8,2,0.0
8,3,0.0
8,4,-0.0
8,5,-3.7407486892903684e-07
8,6,0.0
8,7,-1.9437922411526765e-06
8,8,0.0
8,9,0.0
8,10,-0.0
8,11,-4.11853009149105e-07
9,0,0.0
9,1,-1.9437922411526765e-06
9,2,0.0
9,3,0.0
9,4,-0.0
9,5,-4.11853009149105e-07
9,6,0.0
9,7,-2.370994104741443e-06
9,8,0.0
9,9,0.0
9,10,-0.0
9,11,-4.4763532305894675e-07
10,0,0.0
10,1,-2.370994104741443e-06
10,2,0.0
10,3,0.0
10,4,-0.0
10,5,-4.4763532305894675e-07
10,6,0.0
10,7,-2.833122928107068e-06
10,8,0.0
10,9,0.0
10,10,-0.0
10,11,-4.814218106584921e-07
11,0,0.0
11,1,-2.833122928107068e-06
11,2,0.0
11,3,0.0
11,4,-0.0
11,5,-4.814218106584921e-07
11,6,0.0
11,7,-3.3281828849391943e-06
11,8,0.0
11,9,0.0
11,10,0.0
11,11,-5.132124719476012e-07
12,0,0.0
12,1,-3.3281828849391943e-06
12,2,0.0
12,3,0.0
12,4,0.0
12,5,-5.132124719476012e-07
12,6,0.0
12,7,-3.854178148927365e-06
12,8,-0.0
12,9,0.0
12,10,-0.0
12,11,-5.430073069262221e-07
13,0,0.0
13,1,-3.854178148927365e-06
13,2,-0.0
13,3,0.0
13,4,-0.0
13,5,-5.430073069262221e-07
13,6,0.0
13,7,-4.409112893761098e-06
13,8,0.0
13,9,0.0
13,10,-0.0
13,11,-5.708063155943756e-07
14,0,0.0
14,1,-4.409112893761098e-06
14,2,0.0
14,3,0.0
14,4,-0.0
14,5,-5.708063155943756e-07
14,6,0.0
14,7,-4.990991293129967e-06
14,8,0.0
14,9,0.0
14,10,-0.0
14,11,-5.966094979521543e-07
15,0,0.0
15,1,-4.990991293129967e-06
15,2,0.0
15,3,0.0
15,4,-0.0
15,5,-5.966094979521543e-07
15,6,0.0
15,7,-5.597817520723653e-06
15,8,0.0
15,9,0.0
15,10,-0.0
15,11,-6.204168539996957e-07
16,0,0.0
16,1,-5.597817520723653e-06
16,2,0.0
16,3,0.0
16,4,-0.0
16,5,-6.204168539996957e-07
16,6,0.0
16,7,-6.227595750232009e-06
16,8,0.0
16,9,0.0
16,10,-0.0
16,11,-6.422283837372024e-07
17,0,0.0
17,1,-6.227595750232009e-06
17,2,0.0
17,3,0.0
17,4,-0.0
17,5,-6.422283837372024e-07
17,6,0.0
17,7,-6.8783301553450085e-06
17,8,0.0
17,9,0.0
17,10,-0.0
17,11,-6.620440871646986e-07
18,0,0.0
18,1,-6.8783301553450085e-06
18,2,0.0
18,3,0.0
18,4,-0.0
18,5,-6.620440871646986e-07
18,6,0.0
18,7,-7.548024909752724e-06
18,8,0.0
18,9,0.0
18,10,-0.0
18,11,-6.798639642823762e-07
19,0,0.0
19,1,-7.548024909752724e-06
19,2,0.0
19,3,0.0
19,4,-0.0
19,5,-6.798639642823762e-07
19,6,0.0
19,7,-8.23468418714536e-06
19,8,0.0
19,9,0.0
19,10,-0.0
19,11,-6.956880150902938e-07
20,0,0.0
20,1,-8.23468418714536e-06
20,2,0.0
20,3,0.0
20,4,-0.0
20,5,-6.956880150902938e-07
20,6,0.0
20,7,-8.936312161213332e-06
20,8,0.0
20,9,0.0
20,10,-0.0
20,11,-7.095162395888509e-07
21,0,0.0
21,1,-8.936312161213332e-06
21,2,0.0
21,3,0.0
21,4,-0.0
21,5,-7.095162395888509e-07
21,6,0.0
21,7,-9.650913005647306e-06
21,8,0.0
21,9,0.0
21,10,-0.0
21,11,-7.21348637778115e-07
22,0,0.0
22,1,-9.650913005647306e-06
22,2,0.0
22,3,0.0
22,4,-0.0
22,5,-7.21348637778115e-07
22,6,0.0
22,7,-1.0376490894137904e-05
22,8,0.0
22,9,0.0
22,10,-0.0
22,11,-7.31185209657885e-07
23,0,0.0
23,1,-1.0376490894137904e-05
23,2,0.0
23,3,0.0
23,4,-0.0
23,5,-7.31185209657885e-07
23,6,0.0
23,7,-1.111105000037595e-05
23,8,0.0
23,9,0.0
23,10,-0.0
23,11,-7.390259552289199e-07
24,0,0.0
24,1,-1.111105000037595e-05
24,2,0.0
24,3,0.0
24,4,-0.0
24,5,-7.390259552289199e-07
24,6,0.0
24,7,-1.1852594498052951e-05
24,8,0.0
24,9,0.0
24,10,-0.0
24,11,-7.448708744917714e-07
25,0,0.0
25,1,-1.1852594498052951e-05
25,2,0.0
25,3,0.0
25,4,-0.0
25,5,-7.448708744917714e-07
25,6,0.0
25,7,-1.2598415765743447e-05
25,8,0.0
25,9,0.0
25,10,-0.0
25,11,-7.470092591649756e-07
26,0,0.0
26,1,-1.2598415765743447e-05
26,2,0.0
26,3,0.0
26,4,-0.0
26,5,-7.470092591649756e-07
26,6,0.0
26,7,-1.3345425024626213e-05
26,8,0.0
26,9,0.0
26,10,-0.0
26,11,-7.470092585068036e-07
27,0,0.0
27,1,-1.3345425024626213e-05
27,2,0.0
27,3,0.0
27,4,-0.0
27,5,-7.470092585068036e-07
27,6,0.0
27,7,-1.4092434282859211e-05
27,8,0.0
27,9,0.0
27,10,-0.0
27,11,-7.470092578682378e-07
28,0,0.0
28,1,-1.4092434282859211e-05
28,2,0.0
28,3,0.0
28,4,-0.0
28,5,-7.470092578682378e-07
28,6,0.0
28,7,-1.4839443540461896e-05
28,8,0.0
28,9,0.0
28,10,-0.0
28,11,-7.470092572489166e-07
29,0,0.0
29,1,-1.4839443540461896e-05
