Global DOF,Value
0,0.000000000000e+00
1,-9.999999912723e+02
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,-2.749999942900e+04
6,0.000000000000e+00
7,0.000000000000e+00
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,-2.328306436539e-10
12,0.000000000000e+00
13,-9.313225746155e-10
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,4.656612873077e-10
18,0.000000000000e+00
19,2.318993210793e-07
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,1.862645149231e-09
24,0.000000000000e+00
25,-2.514570951462e-08
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,3.725290298462e-09
30,0.000000000000e+00
31,0.000000000000e+00
32,0.000000000000e+00
33,0.000000000000e+00
34,0.000000000000e+00
35,7.450580596924e-09
36,0.000000000000e+00
37,-3.352761268616e-08
38,0.000000000000e+00
39,0.000000000000e+00
40,0.000000000000e+00
41,1.117587089539e-08
42,0.000000000000e+00
43,-2.421438694000e-08
44,0.000000000000e+00
45,0.000000000000e+00
46,0.000000000000e+00
47,-7.450580596924e-09
48,0.000000000000e+00
49,5.215406417847e-08
50,0.000000000000e+00
51,0.000000000000e+00
52,0.000000000000e+00
53,1.490116119385e-08
54,0.000000000000e+00
55,-5.960464477539e-08
56,0.000000000000e+00
57,0.000000000000e+00
58,0.000000000000e+00
59,-1.303851604462e-08
60,0.000000000000e+00
61,-5.960464477539e-08
62,0.000000000000e+00
63,0.000000000000e+00
64,0.000000000000e+00
65,-7.450580596924e-09
66,0.000000000000e+00
67,-3.166496753693e-08
68,0.000000000000e+00
69,0.000000000000e+00
70,0.000000000000e+00
71,5.401670932770e-08
72,0.000000000000e+00
73,-1.378357410431e-07
74,0.000000000000e+00
75,0.000000000000e+00
76,0.000000000000e+00
77,9.313225746155e-09
78,0.000000000000e+00
79,9.313225746155e-08
80,0.000000000000e+00
81,0.000000000000e+00
82,0.000000000000e+00
83,-5.587935447693e-09
84,0.000000000000e+00
85,-4.842877388000e-08
86,0.000000000000e+00
87,0.000000000000e+00
88,0.000000000000e+00
89,-4.284083843231e-08
90,0.000000000000e+00
91,1.490116119385e-08
92,0.000000000000e+00
93,0.000000000000e+00
94,0.000000000000e+00
95,-2.048909664154e-08
96,0.000000000000e+00
97,1.490116119385e-08
98,0.000000000000e+00
99,0.000000000000e+00
100,0.000000000000e+00
101,1.303851604462e-08
102,0.000000000000e+00
103,-5.215406417847e-08
104,0.000000000000e+00
105,0.000000000000e+00
106,0.000000000000e+00
107,3.911554813385e-08
108,0.000000000000e+00
109,-1.378357410431e-07
110,0.000000000000e+00
111,0.000000000000e+00
112,0.000000000000e+00
113,-8.940696716309e-08
114,0.000000000000e+00
115,3.501772880554e-07
116,0.000000000000e+00
117,0.000000000000e+00
118,0.000000000000e+00
119,8.754432201385e-08
120,0.000000000000e+00
121,-1.527369022369e-07
122,0.000000000000e+00
123,0.000000000000e+00
124,0.000000000000e+00
125,-4.470348358154e-08
126,0.000000000000e+00
127,-2.086162567139e-07
128,0.000000000000e+00
129,0.000000000000e+00
130,0.000000000000e+00
131,-4.284083843231e-08
132,0.000000000000e+00
133,1.490116119385e-08
134,0.000000000000e+00
135,0.000000000000e+00
136,0.000000000000e+00
137,-1.117587089539e-08
138,0.000000000000e+00
139,4.060566425323e-07
140,0.000000000000e+00
141,0.000000000000e+00
142,0.000000000000e+00
143,-4.656612873077e-08
144,0.000000000000e+00
145,-2.272427082062e-07
146,0.000000000000e+00
147,0.000000000000e+00
148,0.000000000000e+00
149,-1.061707735062e-07
150,0.000000000000e+00
151,-1.937150955200e-07
152,0.000000000000e+00
153,0.000000000000e+00
154,0.000000000000e+00
155,3.725290298462e-08
156,0.000000000000e+00
157,1.825392246246e-07
158,0.000000000000e+00
159,0.000000000000e+00
160,0.000000000000e+00
161,-3.352761268616e-07
162,0.000000000000e+00
163,1.601874828339e-07
164,0.000000000000e+00
165,0.000000000000e+00
166,0.000000000000e+00
167,1.545995473862e-07
168,0.000000000000e+00
169,-2.048909664154e-07
170,0.000000000000e+00
171,0.000000000000e+00
172,0.000000000000e+00
173,3.166496753693e-08
174,0.000000000000e+00
175,3.278255462646e-07
176,0.000000000000e+00
177,0.000000000000e+00
178,0.000000000000e+00
179,-4.284083843231e-08
180,0.000000000000e+00
181,9.685754776001e-08
182,0.000000000000e+00
183,0.000000000000e+00
184,0.000000000000e+00
185,-1.173466444016e-07
186,0.000000000000e+00
187,3.166496753693e-07
188,0.000000000000e+00
189,0.000000000000e+00
190,0.000000000000e+00
191,-2.086162567139e-07
192,0.000000000000e+00
193,-8.195638656616e-08
194,0.000000000000e+00
195,0.000000000000e+00
196,0.000000000000e+00
197,-1.247972249985e-07
198,0.000000000000e+00
199,5.029141902924e-07
200,0.000000000000e+00
201,0.000000000000e+00
202,0.000000000000e+00
203,-1.043081283569e-07
204,0.000000000000e+00
205,-3.986060619354e-07
206,0.000000000000e+00
207,0.000000000000e+00
208,0.000000000000e+00
209,2.812594175339e-07
210,0.000000000000e+00
211,-5.736947059631e-07
212,0.000000000000e+00
213,0.000000000000e+00
214,0.000000000000e+00
215,-1.322478055954e-07
216,0.000000000000e+00
217,-1.043081283569e-07
218,0.000000000000e+00
219,0.000000000000e+00
220,0.000000000000e+00
221,-1.750886440277e-07
222,0.000000000000e+00
223,4.731118679047e-07
224,0.000000000000e+00
225,0.000000000000e+00
226,0.000000000000e+00
227,-8.195638656616e-08
228,0.000000000000e+00
229,-5.960464477539e-08
230,0.000000000000e+00
231,0.000000000000e+00
232,0.000000000000e+00
233,2.458691596985e-07
234,0.000000000000e+00
235,-9.313225746155e-08
236,0.000000000000e+00
237,0.000000000000e+00
238,0.000000000000e+00
239,2.123415470123e-07
240,0.000000000000e+00
241,-4.582107067108e-07
242,0.000000000000e+00
243,0.000000000000e+00
244,0.000000000000e+00
245,3.725290298462e-08
246,0.000000000000e+00
247,-4.880130290985e-07
248,0.000000000000e+00
249,0.000000000000e+00
250,0.000000000000e+00
251,-2.179294824600e-07
252,0.000000000000e+00
253,-2.980232238770e-08
254,0.000000000000e+00
255,0.000000000000e+00
256,0.000000000000e+00
257,-1.490116119385e-07
258,0.000000000000e+00
259,5.848705768585e-07
260,0.000000000000e+00
261,0.000000000000e+00
262,0.000000000000e+00
263,-1.247972249985e-07
264,0.000000000000e+00
265,2.421438694000e-07
266,0.000000000000e+00
267,0.000000000000e+00
268,0.000000000000e+00
269,-1.024454832077e-07
270,0.000000000000e+00
271,-4.023313522339e-07
272,0.000000000000e+00
273,0.000000000000e+00
274,0.000000000000e+00
275,-9.126961231232e-08
276,0.000000000000e+00
277,2.644956111908e-07
278,0.000000000000e+00
279,0.000000000000e+00
280,0.000000000000e+00
281,2.272427082062e-07
282,0.000000000000e+00
283,3.725290298462e-09
284,0.000000000000e+00
285,0.000000000000e+00
286,0.000000000000e+00
287,-4.488974809647e-07
288,0.000000000000e+00
289,3.501772880554e-07
290,0.000000000000e+00
291,0.000000000000e+00
292,0.000000000000e+00
293,-7.078051567078e-08
294,0.000000000000e+00
295,-5.960464477539e-08
296,0.000000000000e+00
297,0.000000000000e+00
298,0.000000000000e+00
299,1.005828380585e-07
300,0.000000000000e+00
301,9.685754776001e-08
302,0.000000000000e+00
303,0.000000000000e+00
304,0.000000000000e+00
305,-5.029141902924e-08
306,0.000000000000e+00
307,5.215406417847e-08
308,0.000000000000e+00
309,0.000000000000e+00
310,0.000000000000e+00
311,-2.421438694000e-08
312,0.000000000000e+00
313,-6.444752216339e-07
314,0.000000000000e+00
315,0.000000000000e+00
316,0.000000000000e+00
317,3.054738044739e-07
318,0.000000000000e+00
319,5.066394805908e-07
320,0.000000000000e+00
321,0.000000000000e+00
322,0.000000000000e+00
323,-9.313225746155e-09
324,0.000000000000e+00
325,2.756714820862e-07
326,0.000000000000e+00
327,0.000000000000e+00
