Condensed DOF,Value
0,0.000000000000e+00
1,-2.304704163649e-08
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,-5.374475070245e-08
6,0.000000000000e+00
7,-9.898347984234e-08
8,-0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,-1.054936750943e-07
12,0.000000000000e+00
13,-2.258134883070e-07
14,-0.000000000000e+00
15,0.000000000000e+00
16,-0.000000000000e+00
17,-1.552467731756e-07
18,0.000000000000e+00
19,-4.015412407199e-07
20,0.000000000000e+00
21,0.000000000000e+00
22,-0.000000000000e+00
23,-2.030040449467e-07
24,0.000000000000e+00
25,-6.241709107710e-07
26,0.000000000000e+00
27,0.000000000000e+00
28,-0.000000000000e+00
29,-2.487654904075e-07
30,0.000000000000e+00
31,-8.917066721500e-07
32,0.000000000000e+00
33,0.000000000000e+00
34,-0.000000000000e+00
35,-2.925311095582e-07
36,0.000000000000e+00
37,-1.202152698547e-06
38,0.000000000000e+00
39,0.000000000000e+00
40,-0.000000000000e+00
41,-3.343009023987e-07
42,0.000000000000e+00
43,-1.553513163651e-06
44,0.000000000000e+00
45,0.000000000000e+00
46,-0.000000000000e+00
47,-3.740748689290e-07
48,0.000000000000e+00
49,-1.943792241153e-06
50,0.000000000000e+00
51,0.000000000000e+00
52,-0.000000000000e+00
53,-4.118530091491e-07
54,0.000000000000e+00
55,-2.370994104741e-06
56,0.000000000000e+00
57,0.000000000000e+00
58,-0.000000000000e+00
59,-4.476353230589e-07
60,0.000000000000e+00
61,-2.833122928107e-06
62,0.000000000000e+00
63,0.000000000000e+00
64,-0.000000000000e+00
65,-4.814218106585e-07
66,0.000000000000e+00
67,-3.328182884939e-06
68,0.000000000000e+00
69,0.000000000000e+00
70,0.000000000000e+00
71,-5.132124719476e-07
72,0.000000000000e+00
73,-3.854178148927e-06
74,-0.000000000000e+00
75,0.000000000000e+00
76,-0.000000000000e+00
77,-5.430073069262e-07
78,0.000000000000e+00
79,-4.409112893761e-06
80,0.000000000000e+00
81,0.000000000000e+00
82,-0.000000000000e+00
83,-5.708063155944e-07
84,0.000000000000e+00
85,-4.990991293130e-06
86,0.000000000000e+00
87,0.000000000000e+00
88,-0.000000000000e+00
89,-5.966094979522e-07
90,0.000000000000e+00
91,-5.597817520724e-06
92,0.000000000000e+00
93,0.000000000000e+00
94,-0.000000000000e+00
95,-6.204168539997e-07
96,0.000000000000e+00
97,-6.227595750232e-06
98,0.000000000000e+00
99,0.000000000000e+00
100,-0.000000000000e+00
101,-6.422283837372e-07
102,0.000000000000e+00
103,-6.878330155345e-06
104,0.000000000000e+00
105,0.000000000000e+00
106,-0.000000000000e+00
107,-6.620440871647e-07
108,0.000000000000e+00
109,-7.548024909753e-06
110,0.000000000000e+00
111,0.000000000000e+00
112,-0.000000000000e+00
113,-6.798639642824e-07
114,0.000000000000e+00
115,-8.234684187145e-06
116,0.000000000000e+00
117,0.000000000000e+00
118,-0.000000000000e+00
119,-6.956880150903e-07
120,0.000000000000e+00
121,-8.936312161213e-06
122,0.000000000000e+00
123,0.000000000000e+00
124,-0.000000000000e+00
125,-7.095162395889e-07
126,0.000000000000e+00
127,-9.650913005647e-06
128,0.000000000000e+00
129,0.000000000000e+00
130,-0.000000000000e+00
131,-7.213486377781e-07
132,0.000000000000e+00
133,-1.037649089414e-05
134,0.000000000000e+00
135,0.000000000000e+00
136,-0.000000000000e+00
137,-7.311852096579e-07
138,0.000000000000e+00
139,-1.111105000038e-05
140,0.000000000000e+00
141,0.000000000000e+00
142,-0.000000000000e+00
143,-7.390259552289e-07
144,0.000000000000e+00
145,-1.185259449805e-05
146,0.000000000000e+00
147,0.000000000000e+00
148,-0.000000000000e+00
149,-7.448708744918e-07
150,0.000000000000e+00
151,-1.259841576574e-05
152,0.000000000000e+00
153,0.000000000000e+00
154,-0.000000000000e+00
155,-7.470092591650e-07
156,0.000000000000e+00
157,-1.334542502463e-05
158,0.000000000000e+00
159,0.000000000000e+00
160,-0.000000000000e+00
161,-7.470092585068e-07
162,0.000000000000e+00
163,-1.409243428286e-05
164,0.000000000000e+00
165,0.000000000000e+00
166,-0.000000000000e+00
167,-7.470092578682e-07
168,0.000000000000e+00
169,-1.483944354046e-05
170,0.000000000000e+00
171,0.000000000000e+00
172,-0.000000000000e+00
173,-7.470092572489e-07
174,0.000000000000e+00
175,-1.558645279745e-05
176,0.000000000000e+00
177,0.000000000000e+00
178,-0.000000000000e+00
179,-7.470092566486e-07
180,0.000000000000e+00
181,-1.633346205385e-05
182,0.000000000000e+00
183,0.000000000000e+00
184,-0.000000000000e+00
185,-7.470092560676e-07
186,0.000000000000e+00
187,-1.708047130968e-05
188,0.000000000000e+00
189,0.000000000000e+00
190,-0.000000000000e+00
191,-7.470092555057e-07
192,0.000000000000e+00
193,-1.782748056495e-05
194,0.000000000000e+00
195,0.000000000000e+00
196,-0.000000000000e+00
197,-7.470092549631e-07
198,0.000000000000e+00
199,-1.857448981969e-05
200,0.000000000000e+00
201,0.000000000000e+00
202,-0.000000000000e+00
203,-7.470092544401e-07
204,0.000000000000e+00
205,-1.932149907392e-05
206,0.000000000000e+00
207,0.000000000000e+00
208,-0.000000000000e+00
209,-7.470092539362e-07
210,0.000000000000e+00
211,-2.006850832764e-05
212,0.000000000000e+00
213,0.000000000000e+00
214,-0.000000000000e+00
215,-7.470092534509e-07
216,0.000000000000e+00
217,-2.081551758089e-05
218,0.000000000000e+00
219,0.000000000000e+00
220,-0.000000000000e+00
221,-7.470092529832e-07
222,0.000000000000e+00
223,-2.156252683368e-05
224,0.000000000000e+00
225,0.000000000000e+00
226,-0.000000000000e+00
227,-7.470092525332e-07
228,0.000000000000e+00
229,-2.230953608603e-05
230,0.000000000000e+00
231,0.000000000000e+00
232,-0.000000000000e+00
233,-7.470092521008e-07
234,0.000000000000e+00
235,-2.305654533795e-05
236,0.000000000000e+00
237,0.000000000000e+00
238,-0.000000000000e+00
239,-7.470092516851e-07
240,0.000000000000e+00
241,-2.380355458947e-05
242,0.000000000000e+00
243,0.000000000000e+00
244,-0.000000000000e+00
245,-7.470092512854e-07
246,0.000000000000e+00
247,-2.455056384059e-05
248,0.000000000000e+00
249,0.000000000000e+00
250,-0.000000000000e+00
251,-7.470092509007e-07
252,0.000000000000e+00
