Condensed DOF,U Value
0,0.00000000000000000e+00
1,-1.12372750986530142e-06
2,0.00000000000000000e+00
3,0.00000000000000000e+00
4,0.00000000000000000e+00
5,-2.62119753968690482e-06
6,0.00000000000000000e+00
7,-4.84627800695003695e-06
8,-0.00000000000000000e+00
9,0.00000000000000000e+00
10,0.00000000000000000e+00
11,-5.19019612344971637e-06
12,0.00000000000000000e+00
13,-1.11156775308301877e-05
14,-0.00000000000000000e+00
15,0.00000000000000000e+00
16,-0.00000000000000000e+00
17,-7.70752074078860860e-06
18,0.00000000000000000e+00
19,-1.98804771105818225e-05
20,0.00000000000000000e+00
21,0.00000000000000000e+00
22,-0.00000000000000000e+00
23,-1.01736963812035319e-05
24,0.00000000000000000e+00
25,-3.10897527647809832e-05
26,0.00000000000000000e+00
27,0.00000000000000000e+00
28,-0.00000000000000000e+00
29,-1.25892480341945347e-05
30,0.00000000000000000e+00
31,-4.46931055015027982e-05
32,0.00000000000000000e+00
33,0.00000000000000000e+00
34,-0.00000000000000000e+00
35,-1.49547006892593501e-05
36,0.00000000000000000e+00
37,-6.06406613183213821e-05
38,0.00000000000000000e+00
39,0.00000000000000000e+00
40,-0.00000000000000000e+00
41,-1.72705793358987616e-05
42,0.00000000000000000e+00
43,-7.88830712023106729e-05
44,0.00000000000000000e+00
45,0.00000000000000000e+00
46,-0.00000000000000000e+00
47,-1.95374089636111715e-05
48,0.00000000000000000e+00
49,-9.93715111300444795e-05
50,0.00000000000000000e+00
51,0.00000000000000000e+00
52,-0.00000000000000000e+00
53,-2.17557145618984933e-05
54,0.00000000000000000e+00
55,-1.22057682067596319e-04
56,0.00000000000000000e+00
57,0.00000000000000000e+00
58,-0.00000000000000000e+00
59,-2.39260211202574706e-05
60,0.00000000000000000e+00
61,-1.46893809970540228e-04
62,0.00000000000000000e+00
63,0.00000000000000000e+00
64,-0.00000000000000000e+00
65,-2.60488536281938288e-05
66,0.00000000000000000e+00
67,-1.73832645783955972e-04
68,0.00000000000000000e+00
69,0.00000000000000000e+00
70,0.00000000000000000e+00
71,-2.81247370752129612e-05
72,0.00000000000000000e+00
73,-2.02827465442425420e-04
74,-0.00000000000000000e+00
75,0.00000000000000000e+00
76,-0.00000000000000000e+00
77,-3.01541964508126685e-05
78,0.00000000000000000e+00
79,-2.33832069870110464e-04
80,0.00000000000000000e+00
81,0.00000000000000000e+00
82,-0.00000000000000000e+00
83,-3.21377567446883843e-05
84,0.00000000000000000e+00
85,-2.66800784980853140e-04
86,0.00000000000000000e+00
87,0.00000000000000000e+00
88,-0.00000000000000000e+00
89,-3.40759429464884778e-05
90,0.00000000000000000e+00
91,-3.01688461678079165e-04
92,0.00000000000000000e+00
93,0.00000000000000000e+00
94,-0.00000000000000000e+00
95,-3.59692800457160486e-05
96,0.00000000000000000e+00
97,-3.38450475854710630e-04
98,0.00000000000000000e+00
99,0.00000000000000000e+00
100,-0.00000000000000000e+00
101,-3.78182930318585872e-05
102,0.00000000000000000e+00
103,-3.77042728393159712e-04
104,0.00000000000000000e+00
105,0.00000000000000000e+00
106,-0.00000000000000000e+00
107,-3.96235068944095608e-05
108,0.00000000000000000e+00
109,-4.17421645165330245e-04
110,0.00000000000000000e+00
111,0.00000000000000000e+00
112,-0.00000000000000000e+00
113,-4.13854466228580115e-05
114,0.00000000000000000e+00
115,-4.59544177032614523e-04
116,0.00000000000000000e+00
117,0.00000000000000000e+00
118,-0.00000000000000000e+00
119,-4.31046372066918568e-05
120,0.00000000000000000e+00
121,-5.03367799845894060e-04
122,0.00000000000000000e+00
123,0.00000000000000000e+00
124,-0.00000000000000000e+00
125,-4.47816036354023209e-05
126,0.00000000000000000e+00
127,-5.48850514445544031e-04
128,0.00000000000000000e+00
129,0.00000000000000000e+00
130,-0.00000000000000000e+00
131,-4.64168708984858118e-05
132,0.00000000000000000e+00
133,-5.95950846661435661e-04
134,0.00000000000000000e+00
135,0.00000000000000000e+00
136,-0.00000000000000000e+00
137,-4.80109639854385141e-05
138,0.00000000000000000e+00
139,-6.44627847312922780e-04
140,0.00000000000000000e+00
141,0.00000000000000000e+00
142,-0.00000000000000000e+00
143,-4.95644078857236455e-05
144,0.00000000000000000e+00
145,-6.94841092208837974e-04
146,0.00000000000000000e+00
147,0.00000000000000000e+00
148,-0.00000000000000000e+00
149,-5.10777275888423982e-05
150,0.00000000000000000e+00
151,-7.46550682147504728e-04
152,0.00000000000000000e+00
153,0.00000000000000000e+00
154,-0.00000000000000000e+00
155,-5.25514480842709667e-05
156,0.00000000000000000e+00
157,-7.99717242916737317e-04
158,0.00000000000000000e+00
159,0.00000000000000000e+00
160,-0.00000000000000000e+00
161,-5.39860943615201857e-05
162,0.00000000000000000e+00
163,-8.54301925293864226e-04
164,0.00000000000000000e+00
165,0.00000000000000000e+00
166,-0.00000000000000000e+00
167,-5.53821914101081946e-05
168,0.00000000000000000e+00
169,-9.10266405045743435e-04
170,0.00000000000000000e+00
171,0.00000000000000000e+00
172,-0.00000000000000000e+00
173,-5.67402642195800688e-05
174,0.00000000000000000e+00
175,-9.67572882928777601e-04
176,0.00000000000000000e+00
177,0.00000000000000000e+00
178,-0.00000000000000000e+00
179,-5.80608377794800159e-05
180,0.00000000000000000e+00
181,-1.02618408468889357e-03
182,0.00000000000000000e+00
183,0.00000000000000000e+00
184,-0.00000000000000000e+00
185,-5.93444370793039832e-05
186,0.00000000000000000e+00
187,-1.08606326106150874e-03
188,0.00000000000000000e+00
189,0.00000000000000000e+00
190,-0.00000000000000000e+00
191,-6.05915871085367915e-05
192,0.00000000000000000e+00
193,-1.14717418777153762e-03
194,0.00000000000000000e+00
195,0.00000000000000000e+00
196,-0.00000000000000000e+00
197,-6.18028128566913150e-05
198,0.00000000000000000e+00
199,-1.20948116553339265e-03
200,0.00000000000000000e+00
201,0.00000000000000000e+00
202,-0.00000000000000000e+00
203,-6.29786393132461336e-05
204,0.00000000000000000e+00
205,-1.27294902005100448e-03
206,0.00000000000000000e+00
207,0.00000000000000000e+00
208,-0.00000000000000000e+00
209,-6.41195914677742404e-05
210,0.00000000000000000e+00
211,-1.33754310201784649e-03
212,0.00000000000000000e+00
213,0.00000000000000000e+00
214,-0.00000000000000000e+00
215,-6.52261943097731347e-05
216,0.00000000000000000e+00
217,-1.40322928711691421e-03
218,0.00000000000000000e+00
219,0.00000000000000000e+00
220,-0.00000000000000000e+00
221,-6.62989728288031991e-05
222,0.00000000000000000e+00
223,-1.46997397602073978e-03
