Element ID,Local DOF,U Value
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,-1.1237275098653014e-06
0,8,0.0
0,9,0.0
0,10,0.0
0,11,-2.621197539686905e-06
1,0,0.0
1,1,-1.1237275098653014e-06
1,2,0.0
1,3,0.0
1,4,0.0
1,5,-2.621197539686905e-06
1,6,0.0
1,7,-4.846278006950037e-06
1,8,-0.0
1,9,0.0
1,10,0.0
1,11,-5.190196123449716e-06
2,0,0.0
2,1,-4.846278006950037e-06
2,2,-0.0
2,3,0.0
2,4,0.0
2,5,-5.190196123449716e-06
2,6,0.0
2,7,-1.1115677530830188e-05
2,8,-0.0
2,9,0.0
2,10,-0.0
2,11,-7.707520740788609e-06
3,0,0.0
3,1,-1.1115677530830188e-05
3,2,-0.0
3,3,0.0
3,4,-0.0
3,5,-7.707520740788609e-06
3,6,0.0
3,7,-1.9880477110581823e-05
3,8,0.0
3,9,0.0
3,10,-0.0
3,11,-1.0173696381203532e-05
4,0,0.0
4,1,-1.9880477110581823e-05
4,2,0.0
4,3,0.0
4,4,-0.0
4,5,-1.0173696381203532e-05
4,6,0.0
4,7,-3.108975276478098e-05
4,8,0.0
4,9,0.0
4,10,-0.0
4,11,-1.2589248034194535e-05
5,0,0.0
5,1,-3.108975276478098e-05
5,2,0.0
5,3,0.0
5,4,-0.0
5,5,-1.2589248034194535e-05
5,6,0.0
5,7,-4.46931055015028e-05
5,8,0.0
5,9,0.0
5,10,-0.0
5,11,-1.495470068925935e-05
6,0,0.0
6,1,-4.46931055015028e-05
6,2,0.0
6,3,0.0
6,4,-0.0
6,5,-1.495470068925935e-05
6,6,0.0
6,7,-6.064066131832138e-05
6,8,0.0
6,9,0.0
6,10,-0.0
6,11,-1.727057933589876e-05
7,0,0.0
7,1,-6.064066131832138e-05
7,2,0.0
7,3,0.0
7,4,-0.0
7,5,-1.727057933589876e-05
7,6,0.0
7,7,-7.888307120231067e-05
7,8,0.0
7,9,0.0
7,10,-0.0
7,11,-1.953740896361117e-05
8,0,0.0
8,1,-7.888307120231067e-05
8,2,0.0
8,3,0.0
8,4,-0.0
8,5,-1.953740896361117e-05
8,6,0.0
8,7,-9.937151113004448e-05
8,8,0.0
8,9,0.0
8,10,-0.0
8,11,-2.1755714561898493e-05
9,0,0.0
9,1,-9.937151113004448e-05
9,2,0.0
9,3,0.0
9,4,-0.0
9,5,-2.1755714561898493e-05
9,6,0.0
9,7,-0.00012205768206759632
9,8,0.0
9,9,0.0
9,10,-0.0
9,11,-2.392602112025747e-05
10,0,0.0
10,1,-0.00012205768206759632
10,2,0.0
10,3,0.0
10,4,-0.0
10,5,-2.392602112025747e-05
10,6,0.0
10,7,-0.00014689380997054023
10,8,0.0
10,9,0.0
10,10,-0.0
10,11,-2.604885362819383e-05
11,0,0.0
11,1,-0.00014689380997054023
11,2,0.0
11,3,0.0
11,4,-0.0
11,5,-2.604885362819383e-05
11,6,0.0
11,7,-0.00017383264578395597
11,8,0.0
11,9,0.0
11,10,0.0
11,11,-2.812473707521296e-05
12,0,0.0
12,1,-0.00017383264578395597
12,2,0.0
12,3,0.0
12,4,0.0
12,5,-2.812473707521296e-05
12,6,0.0
12,7,-0.00020282746544242542
12,8,-0.0
12,9,0.0
12,10,-0.0
12,11,-3.015419645081267e-05
13,0,0.0
13,1,-0.00020282746544242542
13,2,-0.0
13,3,0.0
13,4,-0.0
13,5,-3.015419645081267e-05
13,6,0.0
13,7,-0.00023383206987011046
13,8,0.0
13,9,0.0
13,10,-0.0
13,11,-3.2137756744688384e-05
14,0,0.0
14,1,-0.00023383206987011046
14,2,0.0
14,3,0.0
14,4,-0.0
14,5,-3.2137756744688384e-05
14,6,0.0
14,7,-0.00026680078498085314
14,8,0.0
14,9,0.0
14,10,-0.0
14,11,-3.407594294648848e-05
15,0,0.0
15,1,-0.00026680078498085314
15,2,0.0
15,3,0.0
15,4,-0.0
15,5,-3.407594294648848e-05
15,6,0.0
15,7,-0.00030168846167807916
15,8,0.0
15,9,0.0
15,10,-0.0
15,11,-3.596928004571605e-05
16,0,0.0
16,1,-0.00030168846167807916
16,2,0.0
16,3,0.0
16,4,-0.0
16,5,-3.596928004571605e-05
16,6,0.0
16,7,-0.00033845047585471063
16,8,0.0
16,9,0.0
16,10,-0.0
16,11,-3.781829303185859e-05
17,0,0.0
17,1,-0.00033845047585471063
17,2,0.0
17,3,0.0
17,4,-0.0
17,5,-3.781829303185859e-05
17,6,0.0
17,7,-0.0003770427283931597
17,8,0.0
17,9,0.0
17,10,-0.0
17,11,-3.962350689440956e-05
18,0,0.0
18,1,-0.0003770427283931597
18,2,0.0
18,3,0.0
18,4,-0.0
18,5,-3.962350689440956e-05
18,6,0.0
18,7,-0.00041742164516533024
18,8,0.0
18,9,0.0
18,10,-0.0
18,11,-4.138544662285801e-05
19,0,0.0
19,1,-0.00041742164516533024
19,2,0.0
19,3,0.0
19,4,-0.0
19,5,-4.138544662285801e-05
19,6,0.0
19,7,-0.0004595441770326145
19,8,0.0
19,9,0.0
19,10,-0.0
19,11,-4.310463720669186e-05
20,0,0.0
20,1,-0.0004595441770326145
20,2,0.0
20,3,0.0
20,4,-0.0
20,5,-4.310463720669186e-05
20,6,0.0
20,7,-0.0005033677998458941
20,8,0.0
20,9,0.0
20,10,-0.0
20,11,-4.478160363540232e-05
21,0,0.0
21,1,-0.0005033677998458941
21,2,0.0
21,3,0.0
21,4,-0.0
21,5,-4.478160363540232e-05
21,6,0.0
21,7,-0.000548850514445544
21,8,0.0
21,9,0.0
21,10,-0.0
21,11,-4.641687089848581e-05
22,0,0.0
22,1,-0.000548850514445544
22,2,0.0
22,3,0.0
22,4,-0.0
22,5,-4.641687089848581e-05
22,6,0.0
22,7,-0.0005959508466614357
22,8,0.0
22,9,0.0
22,10,-0.0
22,11,-4.8010963985438514e-05
23,0,0.0
23,1,-0.0005959508466614357
23,2,0.0
23,3,0.0
23,4,-0.0
23,5,-4.8010963985438514e-05
23,6,0.0
23,7,-0.0006446278473129228
23,8,0.0
23,9,0.0
23,10,-0.0
23,11,-4.9564407885723646e-05
24,0,0.0
24,1,-0.0006446278473129228
24,2,0.0
24,3,0.0
24,4,-0.0
24,5,-4.9564407885723646e-05
24,6,0.0
24,7,-0.000694841092208838
24,8,0.0
24,9,0.0
24,10,-0.0
24,11,-5.10777275888424e-05
25,0,0.0
25,1,-0.000694841092208838
25,2,0.0
25,3,0.0
25,4,-0.0
25,5,-5.10777275888424e-05
25,6,0.0
25,7,-0.0007465506821475047
25,8,0.0
25,9,0.0
25,10,-0.0
25,11,-5.255144808427097e-05
26,0,0.0
26,1,-0.0007465506821475047
26,2,0.0
26,3,0.0
26,4,-0.0
26,5,-5.255144808427097e-05
26,6,0.0
26,7,-0.0007997172429167373
26,8,0.0
26,9,0.0
26,10,-0.0
26,11,-5.3986094361520186e-05
27,0,0.0
27,1,-0.0007997172429167373
27,2,0.0
27,3,0.0
27,4,-0.0
27,5,-5.3986094361520186e-05
27,6,0.0
27,7,-0.0008543019252938642
27,8,0.0
27,9,0.0
27,10,-0.0
27,11,-5.5382191410108195e-05
28,0,0.0
28,1,-0.0008543019252938642
28,2,0.0
28,3,0.0
28,4,-0.0
28,5,-5.5382191410108195e-05
28,6,0.0
28,7,-0.0009102664050457434
28,8,0.0
28,9,0.0
28,10,-0.0
28,11,-5.674026421958007e-05
29,0,0.0
29,1,-0.0009102664050457434
29,2,0.0
29,3,0.0
29,4,-0.0
29,5,-5.674026421958007e-05
29,6,0.0
29,7,-0.0009675728829287776
