Condensed DOF,U Value
0,0.00000000000000000e+00
1,-4.27201858491768910e-08
2,0.00000000000000000e+00
3,0.00000000000000000e+00
4,0.00000000000000000e+00
5,-9.96487538657675278e-08
6,0.00000000000000000e+00
7,-1.84238523409147436e-07
8,-0.00000000000000000e+00
9,0.00000000000000000e+00
10,0.00000000000000000e+00
11,-1.97313086167759146e-07
12,0.00000000000000000e+00
13,-4.22579144657537788e-07
14,-0.00000000000000000e+00
15,0.00000000000000000e+00
16,-0.00000000000000000e+00
17,-2.93012955169246527e-07
18,0.00000000000000000e+00
19,-7.55786139835298302e-07
20,0.00000000000000000e+00
21,0.00000000000000000e+00
22,-0.00000000000000000e+00
23,-3.86768319133626547e-07
24,0.00000000000000000e+00
25,-1.18192355744676866e-06
26,0.00000000000000000e+00
27,0.00000000000000000e+00
28,-0.00000000000000000e+00
29,-4.78599136324272905e-07
30,0.00000000000000000e+00
31,-1.69907540425959071e-06
32,0.00000000000000000e+00
33,0.00000000000000000e+00
34,-0.00000000000000000e+00
35,-5.68525365004393710e-07
36,0.00000000000000000e+00
37,-2.30534564530460666e-06
38,0.00000000000000000e+00
39,0.00000000000000000e+00
40,-0.00000000000000000e+00
41,-6.56566963437178801e-07
42,0.00000000000000000e+00
43,-2.99885820387584339e-06
44,0.00000000000000000e+00
45,0.00000000000000000e+00
46,-0.00000000000000000e+00
47,-7.42743889885811139e-07
48,0.00000000000000000e+00
49,-3.77775696153056842e-06
50,0.00000000000000000e+00
51,0.00000000000000000e+00
52,-0.00000000000000000e+00
53,-8.27076102613604339e-07
54,0.00000000000000000e+00
55,-4.64020575808934163e-06
56,0.00000000000000000e+00
57,0.00000000000000000e+00
58,-0.00000000000000000e+00
59,-9.09583559883820133e-07
60,0.00000000000000000e+00
61,-5.58438839163599149e-06
62,0.00000000000000000e+00
63,0.00000000000000000e+00
64,-0.00000000000000000e+00
65,-9.90286219959740585e-07
66,0.00000000000000000e+00
67,-6.60850861851755073e-06
68,0.00000000000000000e+00
69,0.00000000000000000e+00
70,0.00000000000000000e+00
71,-1.06920404110446734e-06
72,0.00000000000000000e+00
73,-7.71079015334421227e-06
74,-0.00000000000000000e+00
75,0.00000000000000000e+00
76,-0.00000000000000000e+00
77,-1.14635698158122666e-06
78,0.00000000000000000e+00
79,-8.88947666899305702e-06
80,0.00000000000000000e+00
81,0.00000000000000000e+00
82,-0.00000000000000000e+00
83,-1.22176499966205544e-06
84,0.00000000000000000e+00
85,-1.01428317966126897e-05
86,0.00000000000000000e+00
87,0.00000000000000000e+00
88,-0.00000000000000000e+00
89,-1.29544805361728357e-06
90,0.00000000000000000e+00
91,-1.14691391256189231e-05
92,0.00000000000000000e+00
93,0.00000000000000000e+00
94,-0.00000000000000000e+00
95,-1.36742610171022077e-06
96,0.00000000000000000e+00
97,-1.28667022036909007e-05
98,0.00000000000000000e+00
99,0.00000000000000000e+00
100,-0.00000000000000000e+00
101,-1.43771910220420150e-06
102,0.00000000000000000e+00
103,-1.43338445367713875e-05
104,0.00000000000000000e+00
105,0.00000000000000000e+00
106,-0.00000000000000000e+00
107,-1.50634701336325649e-06
108,0.00000000000000000e+00
109,-1.58689095890669840e-05
110,0.00000000000000000e+00
111,0.00000000000000000e+00
112,-0.00000000000000000e+00
113,-1.57332979345093558e-06
114,0.00000000000000000e+00
115,-1.74702607830477853e-05
116,0.00000000000000000e+00
117,0.00000000000000000e+00
118,-0.00000000000000000e+00
119,-1.63868740073069224e-06
120,0.00000000000000000e+00
121,-1.91362814994477221e-05
122,0.00000000000000000e+00
123,0.00000000000000000e+00
124,-0.00000000000000000e+00
125,-1.70243979346683208e-06
126,0.00000000000000000e+00
127,-2.08653750772646142e-05
128,0.00000000000000000e+00
129,0.00000000000000000e+00
130,-0.00000000000000000e+00
131,-1.76460692992269252e-06
132,0.00000000000000000e+00
133,-2.26559648137595816e-05
134,0.00000000000000000e+00
135,0.00000000000000000e+00
136,-0.00000000000000000e+00
137,-1.82520876836157354e-06
138,0.00000000000000000e+00
139,-2.45064939644575422e-05
140,0.00000000000000000e+00
141,0.00000000000000000e+00
142,-0.00000000000000000e+00
143,-1.88426526704788320e-06
144,0.00000000000000000e+00
145,-2.64154257431473544e-05
146,0.00000000000000000e+00
147,0.00000000000000000e+00
148,-0.00000000000000000e+00
149,-1.94179638424495875e-06
150,0.00000000000000000e+00
151,-2.83812433218815658e-05
152,0.00000000000000000e+00
153,0.00000000000000000e+00
154,-0.00000000000000000e+00
155,-1.99782207821696198e-06
156,0.00000000000000000e+00
157,-3.04024498309768105e-05
158,0.00000000000000000e+00
159,0.00000000000000000e+00
