Row,Col,K Value
0,0,1.3729295580000002e+16
0,6,-1.3729295580000002e+16
1,1,73653703200000.02
1,5,42087830400000.01
1,7,-73653703200000.02
1,11,31565872800000.01
2,2,11409552000000.002
2,4,-6519744000000.002
2,8,-11409552000000.002
2,10,-4889808000000.001
3,3,105572.56500000002
3,9,-105572.56500000002
4,2,-6519744000000.002
4,4,3803184000000.0
4,8,6519744000000.002
4,10,2716560000000.0005
5,1,42087830400000.01
5,5,24551234400000.004
5,7,-42087830400000.01
5,11,17536596000000.002
6,0,-1.3729295580000002e+16
6,6,1.3729295580000002e+16
7,1,-73653703200000.02
7,5,-42087830400000.01
7,7,73653703200000.02
7,11,-31565872800000.01
8,2,-11409552000000.002
8,4,6519744000000.002
8,8,11409552000000.002
8,10,4889808000000.001
9,3,-105572.56500000002
9,9,105572.56500000002
10,2,-4889808000000.001
10,4,2716560000000.0005
10,8,4889808000000.001
10,10,2173248000000.0005
11,1,31565872800000.01
11,5,17536596000000.0
11,7,-31565872800000.01
11,11,14029276800000.004
