Element ID,Local DOF,U Value
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,-4.272018584917689e-08
0,8,0.0
0,9,0.0
0,10,0.0
0,11,-9.964875386576753e-08
1,0,0.0
1,1,-4.272018584917689e-08
1,2,0.0
1,3,0.0
1,4,0.0
1,5,-9.964875386576753e-08
1,6,0.0
1,7,-1.8423852340914744e-07
1,8,-0.0
1,9,0.0
1,10,0.0
1,11,-1.9731308616775915e-07
2,0,0.0
2,1,-1.8423852340914744e-07
2,2,-0.0
2,3,0.0
2,4,0.0
2,5,-1.9731308616775915e-07
2,6,0.0
2,7,-4.225791446575378e-07
2,8,-0.0
2,9,0.0
2,10,-0.0
2,11,-2.9301295516924653e-07
3,0,0.0
3,1,-4.225791446575378e-07
3,2,-0.0
3,3,0.0
3,4,-0.0
3,5,-2.9301295516924653e-07
3,6,0.0
3,7,-7.557861398352983e-07
3,8,0.0
3,9,0.0
3,10,-0.0
3,11,-3.8676831913362655e-07
4,0,0.0
4,1,-7.557861398352983e-07
4,2,0.0
4,3,0.0
4,4,-0.0
4,5,-3.8676831913362655e-07
4,6,0.0
4,7,-1.1819235574467687e-06
4,8,0.0
4,9,0.0
4,10,-0.0
4,11,-4.785991363242729e-07
5,0,0.0
5,1,-1.1819235574467687e-06
5,2,0.0
5,3,0.0
5,4,-0.0
5,5,-4.785991363242729e-07
5,6,0.0
5,7,-1.6990754042595907e-06
5,8,0.0
5,9,0.0
5,10,-0.0
5,11,-5.685253650043937e-07
6,0,0.0
6,1,-1.6990754042595907e-06
6,2,0.0
6,3,0.0
6,4,-0.0
6,5,-5.685253650043937e-07
6,6,0.0
6,7,-2.3053456453046067e-06
6,8,0.0
6,9,0.0
6,10,-0.0
6,11,-6.565669634371788e-07
7,0,0.0
7,1,-2.3053456453046067e-06
7,2,0.0
7,3,0.0
7,4,-0.0
7,5,-6.565669634371788e-07
7,6,0.0
7,7,-2.9988582038758434e-06
7,8,0.0
7,9,0.0
7,10,-0.0
7,11,-7.427438898858111e-07
8,0,0.0
8,1,-2.9988582038758434e-06
8,2,0.0
8,3,0.0
8,4,-0.0
8,5,-7.427438898858111e-07
8,6,0.0
8,7,-3.7777569615305684e-06
8,8,0.0
8,9,0.0
8,10,-0.0
8,11,-8.270761026136043e-07
9,0,0.0
9,1,-3.7777569615305684e-06
9,2,0.0
9,3,0.0
9,4,-0.0
9,5,-8.270761026136043e-07
9,6,0.0
9,7,-4.640205758089342e-06
9,8,0.0
9,9,0.0
9,10,-0.0
9,11,-9.095835598838201e-07
10,0,0.0
10,1,-4.640205758089342e-06
10,2,0.0
10,3,0.0
10,4,-0.0
10,5,-9.095835598838201e-07
10,6,0.0
10,7,-5.5843883916359915e-06
10,8,0.0
10,9,0.0
10,10,-0.0
10,11,-9.902862199597406e-07
11,0,0.0
11,1,-5.5843883916359915e-06
11,2,0.0
11,3,0.0
11,4,-0.0
11,5,-9.902862199597406e-07
11,6,0.0
11,7,-6.608508618517551e-06
11,8,0.0
11,9,0.0
11,10,0.0
11,11,-1.0692040411044673e-06
12,0,0.0
12,1,-6.608508618517551e-06
12,2,0.0
12,3,0.0
12,4,0.0
12,5,-1.0692040411044673e-06
12,6,0.0
12,7,-7.710790153344212e-06
12,8,-0.0
12,9,0.0
12,10,-0.0
12,11,-1.1463569815812267e-06
13,0,0.0
13,1,-7.710790153344212e-06
13,2,-0.0
13,3,0.0
13,4,-0.0
13,5,-1.1463569815812267e-06
13,6,0.0
13,7,-8.889476668993057e-06
13,8,0.0
13,9,0.0
13,10,-0.0
13,11,-1.2217649996620554e-06
14,0,0.0
14,1,-8.889476668993057e-06
14,2,0.0
14,3,0.0
14,4,-0.0
14,5,-1.2217649996620554e-06
14,6,0.0
14,7,-1.014283179661269e-05
14,8,0.0
14,9,0.0
14,10,-0.0
14,11,-1.2954480536172836e-06
15,0,0.0
15,1,-1.014283179661269e-05
15,2,0.0
15,3,0.0
15,4,-0.0
15,5,-1.2954480536172836e-06
15,6,0.0
15,7,-1.1469139125618923e-05
15,8,0.0
15,9,0.0
15,10,-0.0
15,11,-1.3674261017102208e-06
16,0,0.0
16,1,-1.1469139125618923e-05
16,2,0.0
16,3,0.0
16,4,-0.0
16,5,-1.3674261017102208e-06
16,6,0.0
16,7,-1.28667022036909e-05
16,8,0.0
16,9,0.0
16,10,-0.0
16,11,-1.4377191022042015e-06
17,0,0.0
17,1,-1.28667022036909e-05
17,2,0.0
17,3,0.0
17,4,-0.0
17,5,-1.4377191022042015e-06
17,6,0.0
17,7,-1.4333844536771387e-05
17,8,0.0
17,9,0.0
17,10,-0.0
17,11,-1.5063470133632565e-06
18,0,0.0
18,1,-1.4333844536771387e-05
18,2,0.0
18,3,0.0
18,4,-0.0
18,5,-1.5063470133632565e-06
18,6,0.0
18,7,-1.5868909589066984e-05
18,8,0.0
18,9,0.0
18,10,-0.0
18,11,-1.5733297934509356e-06
19,0,0.0
19,1,-1.5868909589066984e-05
19,2,0.0
19,3,0.0
19,4,-0.0
19,5,-1.5733297934509356e-06
19,6,0.0
19,7,-1.7470260783047785e-05
19,8,0.0
19,9,0.0
19,10,-0.0
19,11,-1.6386874007306922e-06
20,0,0.0
20,1,-1.7470260783047785e-05
20,2,0.0
20,3,0.0
20,4,-0.0
20,5,-1.6386874007306922e-06
20,6,0.0
20,7,-1.9136281499447722e-05
20,8,0.0
20,9,0.0
20,10,-0.0
20,11,-1.702439793466832e-06
21,0,0.0
21,1,-1.9136281499447722e-05
21,2,0.0
21,3,0.0
21,4,-0.0
21,5,-1.702439793466832e-06
21,6,0.0
21,7,-2.0865375077264614e-05
21,8,0.0
21,9,0.0
21,10,-0.0
21,11,-1.7646069299226925e-06
22,0,0.0
22,1,-2.0865375077264614e-05
22,2,0.0
22,3,0.0
22,4,-0.0
22,5,-1.7646069299226925e-06
22,6,0.0
22,7,-2.265596481375958e-05
22,8,0.0
22,9,0.0
22,10,-0.0
22,11,-1.8252087683615735e-06
23,0,0.0
23,1,-2.265596481375958e-05
23,2,0.0
23,3,0.0
23,4,-0.0
23,5,-1.8252087683615735e-06
23,6,0.0
23,7,-2.4506493964457542e-05
23,8,0.0
23,9,0.0
23,10,-0.0
23,11,-1.8842652670478832e-06
24,0,0.0
24,1,-2.4506493964457542e-05
24,2,0.0
24,3,0.0
24,4,-0.0
24,5,-1.8842652670478832e-06
24,6,0.0
24,7,-2.6415425743147354e-05
24,8,0.0
24,9,0.0
24,10,-0.0
24,11,-1.9417963842449587e-06
25,0,0.0
25,1,-2.6415425743147354e-05
25,2,0.0
25,3,0.0
25,4,-0.0
25,5,-1.9417963842449587e-06
25,6,0.0
25,7,-2.8381243321881566e-05
25,8,0.0
25,9,0.0
25,10,-0.0
25,11,-1.997822078216962e-06
26,0,0.0
26,1,-2.8381243321881566e-05
26,2,0.0
26,3,0.0
26,4,-0.0
26,5,-1.997822078216962e-06
26,6,0.0
26,7,-3.040244983097681e-05
26,8,0.0
26,9,0.0
26,10,-0.0
26,11,-2.052362307227869e-06
27,0,0.0
27,1,-3.040244983097681e-05
27,2,0.0
27,3,0.0
27,4,-0.0
27,5,-2.052362307227869e-06
27,6,0.0
27,7,-3.247756835901303e-05
27,8,0.0
27,9,0.0
27,10,-0.0
27,11,-2.1054370295401103e-06
28,0,0.0
28,1,-3.247756835901303e-05
28,2,0.0
28,3,0.0
28,4,-0.0
28,5,-2.1054370295401103e-06
28,6,0.0
28,7,-3.4605141952832415e-05
28,8,0.0
28,9,0.0
28,10,-0.0
28,11,-2.1570662034156335e-06
