Global DOF,Value
0,0.000000000000e+00
1,-9.999999787882e+02
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,-5.049999822923e+04
6,0.000000000000e+00
7,-9.313243509723e-10
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,-4.656612873077e-10
12,0.000000000000e+00
13,0.000000000000e+00
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,2.793967723846e-09
18,0.000000000000e+00
19,1.061707752825e-07
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,2.793967723846e-09
24,0.000000000000e+00
25,1.117586911903e-08
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,-1.862645149231e-09
30,0.000000000000e+00
31,-2.235174179077e-08
32,0.000000000000e+00
33,0.000000000000e+00
34,0.000000000000e+00
35,1.676380634308e-08
36,0.000000000000e+00
37,-7.450580241652e-08
38,0.000000000000e+00
39,0.000000000000e+00
40,0.000000000000e+00
41,-9.313225746155e-09
42,0.000000000000e+00
43,-2.980232949312e-08
44,0.000000000000e+00
45,0.000000000000e+00
46,0.000000000000e+00
47,1.676380634308e-08
48,0.000000000000e+00
49,5.960464832810e-08
50,0.000000000000e+00
51,0.000000000000e+00
52,0.000000000000e+00
53,3.539025783539e-08
54,0.000000000000e+00
55,-1.154839974760e-07
56,0.000000000000e+00
57,0.000000000000e+00
58,0.000000000000e+00
59,7.450580596924e-09
60,0.000000000000e+00
61,-7.450582018009e-08
62,0.000000000000e+00
63,0.000000000000e+00
64,0.000000000000e+00
65,-4.097819328308e-08
66,0.000000000000e+00
67,4.470348713426e-08
68,0.000000000000e+00
69,0.000000000000e+00
70,0.000000000000e+00
71,1.043081283569e-07
72,0.000000000000e+00
73,-1.564621872063e-07
74,0.000000000000e+00
75,0.000000000000e+00
76,0.000000000000e+00
77,1.862645149231e-08
78,0.000000000000e+00
79,7.994472968065e-06
80,0.000000000000e+00
81,0.000000000000e+00
82,0.000000000000e+00
83,4.842877388000e-08
84,0.000000000000e+00
85,-3.501773004899e-07
86,0.000000000000e+00
87,0.000000000000e+00
88,0.000000000000e+00
89,-6.332993507385e-08
90,0.000000000000e+00
91,9.685756197086e-08
92,0.000000000000e+00
93,0.000000000000e+00
94,0.000000000000e+00
95,4.097819328308e-08
96,0.000000000000e+00
97,-5.215407661296e-08
98,0.000000000000e+00
99,0.000000000000e+00
100,0.000000000000e+00
101,5.215406417847e-08
102,0.000000000000e+00
103,1.937150813092e-07
104,0.000000000000e+00
105,0.000000000000e+00
106,0.000000000000e+00
107,-1.825392246246e-07
108,0.000000000000e+00
109,-2.011656601297e-07
110,0.000000000000e+00
111,0.000000000000e+00
112,0.000000000000e+00
113,-1.750886440277e-07
114,0.000000000000e+00
115,3.352761162034e-07
116,0.000000000000e+00
117,0.000000000000e+00
118,0.000000000000e+00
119,2.123415470123e-07
120,0.000000000000e+00
121,-1.043081407914e-07
122,0.000000000000e+00
123,0.000000000000e+00
124,0.000000000000e+00
125,-7.078051567078e-08
126,0.000000000000e+00
127,-5.960464299903e-07
128,0.000000000000e+00
129,0.000000000000e+00
130,0.000000000000e+00
131,-1.862645149231e-07
132,0.000000000000e+00
133,6.332993418567e-07
134,0.000000000000e+00
135,0.000000000000e+00
136,0.000000000000e+00
137,1.527369022369e-07
138,0.000000000000e+00
139,1.415610189071e-07
140,0.000000000000e+00
141,0.000000000000e+00
142,0.000000000000e+00
143,-2.235174179077e-07
144,0.000000000000e+00
145,-3.352761073216e-07
146,0.000000000000e+00
147,0.000000000000e+00
148,0.000000000000e+00
149,-8.195638656616e-08
150,0.000000000000e+00
151,4.097819239490e-07
152,0.000000000000e+00
153,0.000000000000e+00
154,0.000000000000e+00
155,-2.756714820862e-07
156,0.000000000000e+00
157,2.607703102342e-07
158,0.000000000000e+00
159,0.000000000000e+00
160,0.000000000000e+00
161,-4.395842552185e-07
162,0.000000000000e+00
163,2.980232167715e-07
164,0.000000000000e+00
165,0.000000000000e+00
166,0.000000000000e+00
167,2.682209014893e-07
168,0.000000000000e+00
169,1.341104400865e-07
170,0.000000000000e+00
171,0.000000000000e+00
172,0.000000000000e+00
173,5.736947059631e-07
174,0.000000000000e+00
175,3.725290778078e-07
176,0.000000000000e+00
177,0.000000000000e+00
178,0.000000000000e+00
179,-2.458691596985e-07
180,0.000000000000e+00
181,9.387731410015e-07
182,0.000000000000e+00
183,0.000000000000e+00
184,0.000000000000e+00
185,-7.152557373047e-07
186,0.000000000000e+00
187,6.854534060352e-07
188,0.000000000000e+00
189,0.000000000000e+00
190,0.000000000000e+00
191,-1.490116119385e-07
192,0.000000000000e+00
193,-1.102685940779e-06
194,0.000000000000e+00
195,0.000000000000e+00
196,0.000000000000e+00
197,-2.682209014893e-07
198,0.000000000000e+00
199,1.773238169633e-06
200,0.000000000000e+00
201,0.000000000000e+00
202,0.000000000000e+00
203,5.066394805908e-07
204,0.000000000000e+00
205,-3.874302016982e-07
206,0.000000000000e+00
207,0.000000000000e+00
208,0.000000000000e+00
209,4.172325134277e-07
210,0.000000000000e+00
211,-3.427266594969e-07
212,0.000000000000e+00
213,0.000000000000e+00
214,0.000000000000e+00
215,-5.885958671570e-07
216,0.000000000000e+00
217,6.556510836475e-07
218,0.000000000000e+00
219,0.000000000000e+00
220,0.000000000000e+00
221,-5.885958671570e-07
222,0.000000000000e+00
223,-8.046627169023e-07
224,0.000000000000e+00
225,0.000000000000e+00
226,0.000000000000e+00
227,2.458691596985e-07
228,0.000000000000e+00
229,-8.791685193188e-07
230,0.000000000000e+00
231,0.000000000000e+00
232,0.000000000000e+00
233,2.011656761169e-07
234,0.000000000000e+00
235,8.344650161973e-07
236,0.000000000000e+00
237,0.000000000000e+00
238,0.000000000000e+00
239,1.490116119385e-07
240,0.000000000000e+00
241,-2.741813670326e-06
242,0.000000000000e+00
243,0.000000000000e+00
244,0.000000000000e+00
245,2.756714820862e-07
246,0.000000000000e+00
247,-1.698732328137e-06
248,0.000000000000e+00
249,0.000000000000e+00
250,0.000000000000e+00
251,-6.780028343201e-07
252,0.000000000000e+00
253,1.177191725432e-06
254,0.000000000000e+00
255,0.000000000000e+00
256,0.000000000000e+00
257,-5.140900611877e-07
258,0.000000000000e+00
259,1.341104495012e-06
260,0.000000000000e+00
261,0.000000000000e+00
262,0.000000000000e+00
263,-4.768371582031e-07
264,0.000000000000e+00
265,5.960464388721e-07
266,0.000000000000e+00
267,0.000000000000e+00
268,0.000000000000e+00
269,-4.470348358154e-08
270,0.000000000000e+00
271,1.341104418628e-07
272,0.000000000000e+00
273,0.000000000000e+00
274,0.000000000000e+00
275,-4.544854164124e-07
276,0.000000000000e+00
277,-3.725290405043e-07
278,0.000000000000e+00
279,0.000000000000e+00
280,0.000000000000e+00
281,1.274049282074e-06
282,0.000000000000e+00
283,-6.556510463440e-07
284,0.000000000000e+00
285,0.000000000000e+00
286,0.000000000000e+00
287,-4.693865776062e-07
288,0.000000000000e+00
289,2.086162478321e-07
290,0.000000000000e+00
291,0.000000000000e+00
292,0.000000000000e+00
293,1.117587089539e-07
294,0.000000000000e+00
295,1.534819594085e-06
296,0.000000000000e+00
297,0.000000000000e+00
298,0.000000000000e+00
299,4.321336746216e-07
300,0.000000000000e+00
301,-1.713633544398e-06
302,0.000000000000e+00
303,0.000000000000e+00
304,0.000000000000e+00
305,6.407499313354e-07
306,0.000000000000e+00
307,1.624226555919e-06
308,0.000000000000e+00
309,0.000000000000e+00
310,0.000000000000e+00
311,-1.162290573120e-06
312,0.000000000000e+00
313,8.493661809439e-07
314,0.000000000000e+00
315,0.000000000000e+00
316,0.000000000000e+00
317,-5.215406417847e-08
318,0.000000000000e+00
319,-1.236796387971e-06
320,0.000000000000e+00
321,0.000000000000e+00
322,0.000000000000e+00
323,1.698732376099e-06
324,0.000000000000e+00
325,2.369284620940e-06
326,0.000000000000e+00
327,0.000000000000e+00
328,0.000000000000e+00
329,-1.117587089539e-06
330,0.000000000000e+00
331,9.089708221666e-07
332,0.000000000000e+00
333,0.000000000000e+00
334,0.000000000000e+00
335,1.884996891022e-06
336,0.000000000000e+00
337,-1.862645156336e-06
338,0.000000000000e+00
339,0.000000000000e+00
340,0.000000000000e+00
341,9.685754776001e-07
342,0.000000000000e+00
343,-2.652406591253e-06
344,0.000000000000e+00
345,0.000000000000e+00
346,0.000000000000e+00
347,7.525086402893e-07
348,0.000000000000e+00
349,-8.195638763198e-07
350,0.000000000000e+00
351,0.000000000000e+00
352,0.000000000000e+00
353,-1.937150955200e-06
354,0.000000000000e+00
355,7.450579886381e-08
356,0.000000000000e+00
357,0.000000000000e+00
358,0.000000000000e+00
359,1.311302185059e-06
360,0.000000000000e+00
361,-1.683831227339e-06
362,0.000000000000e+00
363,0.000000000000e+00
364,0.000000000000e+00
365,-9.387731552124e-07
366,0.000000000000e+00
367,-3.546476373018e-06
368,0.000000000000e+00
369,0.000000000000e+00
370,0.000000000000e+00
371,-1.639127731323e-07
372,0.000000000000e+00
373,-3.054738057173e-06
374,0.000000000000e+00
375,0.000000000000e+00
376,0.000000000000e+00
377,-5.289912223816e-07
378,0.000000000000e+00
379,4.142522799455e-06
380,0.000000000000e+00
381,0.000000000000e+00
382,0.000000000000e+00
383,-1.832842826843e-06
384,0.000000000000e+00
385,-3.874301999218e-07
386,0.000000000000e+00
387,0.000000000000e+00
388,0.000000000000e+00
389,3.203749656677e-07
390,0.000000000000e+00
391,-8.642673563486e-07
392,0.000000000000e+00
393,0.000000000000e+00
394,0.000000000000e+00
395,1.564621925354e-07
396,0.000000000000e+00
397,-1.683831222010e-06
398,0.000000000000e+00
399,0.000000000000e+00
400,0.000000000000e+00
401,-1.564621925354e-06
402,0.000000000000e+00
403,3.755092610191e-06
404,0.000000000000e+00
405,0.000000000000e+00
406,0.000000000000e+00
407,-1.937150955200e-06
408,0.000000000000e+00
409,-4.917383202852e-06
410,0.000000000000e+00
411,0.000000000000e+00
412,0.000000000000e+00
413,4.395842552185e-07
414,0.000000000000e+00
415,-2.175569433049e-06
416,0.000000000000e+00
417,0.000000000000e+00
418,0.000000000000e+00
419,-9.909272193909e-07
420,0.000000000000e+00
421,1.758337011992e-06
422,0.000000000000e+00
423,0.000000000000e+00
424,0.000000000000e+00
425,-1.460313796997e-06
426,0.000000000000e+00
427,3.695487967192e-06
