Global DOF,Value
0,0.000000000000e+00
1,0.000000000000e+00
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,0.000000000000e+00
6,0.000000000000e+00
7,-4.272018584918e-08
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,-9.964875386577e-08
12,0.000000000000e+00
13,-1.842385234091e-07
14,-0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,-1.973130861678e-07
18,0.000000000000e+00
19,-4.225791446575e-07
20,-0.000000000000e+00
21,0.000000000000e+00
22,-0.000000000000e+00
23,-2.930129551692e-07
24,0.000000000000e+00
25,-7.557861398353e-07
26,0.000000000000e+00
27,0.000000000000e+00
28,-0.000000000000e+00
29,-3.867683191336e-07
30,0.000000000000e+00
31,-1.181923557447e-06
32,0.000000000000e+00
33,0.000000000000e+00
34,-0.000000000000e+00
35,-4.785991363243e-07
36,0.000000000000e+00
37,-1.699075404260e-06
38,0.000000000000e+00
39,0.000000000000e+00
40,-0.000000000000e+00
41,-5.685253650044e-07
42,0.000000000000e+00
43,-2.305345645305e-06
44,0.000000000000e+00
45,0.000000000000e+00
46,-0.000000000000e+00
47,-6.565669634372e-07
48,0.000000000000e+00
49,-2.998858203876e-06
50,0.000000000000e+00
51,0.000000000000e+00
52,-0.000000000000e+00
53,-7.427438898858e-07
54,0.000000000000e+00
55,-3.777756961531e-06
56,0.000000000000e+00
57,0.000000000000e+00
58,-0.000000000000e+00
59,-8.270761026136e-07
60,0.000000000000e+00
61,-4.640205758089e-06
62,0.000000000000e+00
63,0.000000000000e+00
64,-0.000000000000e+00
65,-9.095835598838e-07
66,0.000000000000e+00
67,-5.584388391636e-06
68,0.000000000000e+00
69,0.000000000000e+00
70,-0.000000000000e+00
71,-9.902862199597e-07
72,0.000000000000e+00
73,-6.608508618518e-06
74,0.000000000000e+00
75,0.000000000000e+00
76,0.000000000000e+00
77,-1.069204041104e-06
78,0.000000000000e+00
79,-7.710790153344e-06
80,-0.000000000000e+00
81,0.000000000000e+00
82,-0.000000000000e+00
83,-1.146356981581e-06
84,0.000000000000e+00
85,-8.889476668993e-06
86,0.000000000000e+00
87,0.000000000000e+00
88,-0.000000000000e+00
89,-1.221764999662e-06
90,0.000000000000e+00
91,-1.014283179661e-05
92,0.000000000000e+00
93,0.000000000000e+00
94,-0.000000000000e+00
95,-1.295448053617e-06
96,0.000000000000e+00
97,-1.146913912562e-05
98,0.000000000000e+00
99,0.000000000000e+00
100,-0.000000000000e+00
101,-1.367426101710e-06
102,0.000000000000e+00
103,-1.286670220369e-05
104,0.000000000000e+00
105,0.000000000000e+00
106,-0.000000000000e+00
107,-1.437719102204e-06
108,0.000000000000e+00
109,-1.433384453677e-05
110,0.000000000000e+00
111,0.000000000000e+00
112,-0.000000000000e+00
113,-1.506347013363e-06
114,0.000000000000e+00
115,-1.586890958907e-05
116,0.000000000000e+00
117,0.000000000000e+00
118,-0.000000000000e+00
119,-1.573329793451e-06
120,0.000000000000e+00
121,-1.747026078305e-05
122,0.000000000000e+00
123,0.000000000000e+00
124,-0.000000000000e+00
125,-1.638687400731e-06
126,0.000000000000e+00
127,-1.913628149945e-05
128,0.000000000000e+00
129,0.000000000000e+00
130,-0.000000000000e+00
131,-1.702439793467e-06
132,0.000000000000e+00
133,-2.086537507726e-05
134,0.000000000000e+00
135,0.000000000000e+00
136,-0.000000000000e+00
137,-1.764606929923e-06
138,0.000000000000e+00
139,-2.265596481376e-05
140,0.000000000000e+00
141,0.000000000000e+00
142,-0.000000000000e+00
143,-1.825208768362e-06
144,0.000000000000e+00
145,-2.450649396446e-05
146,0.000000000000e+00
147,0.000000000000e+00
148,-0.000000000000e+00
149,-1.884265267048e-06
150,0.000000000000e+00
151,-2.641542574315e-05
152,0.000000000000e+00
153,0.000000000000e+00
154,-0.000000000000e+00
155,-1.941796384245e-06
156,0.000000000000e+00
157,-2.838124332188e-05
158,0.000000000000e+00
159,0.000000000000e+00
160,-0.000000000000e+00
161,-1.997822078217e-06
162,0.000000000000e+00
163,-3.040244983098e-05
164,0.000000000000e+00
165,0.000000000000e+00
166,-0.000000000000e+00
167,-2.052362307228e-06
168,0.000000000000e+00
169,-3.247756835901e-05
170,0.000000000000e+00
171,0.000000000000e+00
172,-0.000000000000e+00
173,-2.105437029540e-06
174,0.000000000000e+00
175,-3.460514195283e-05
176,0.000000000000e+00
177,0.000000000000e+00
178,-0.000000000000e+00
179,-2.157066203416e-06
180,0.000000000000e+00
181,-3.678373361754e-05
182,0.000000000000e+00
183,0.000000000000e+00
184,-0.000000000000e+00
185,-2.207269787117e-06
186,0.000000000000e+00
187,-3.901192631650e-05
188,0.000000000000e+00
189,0.000000000000e+00
190,-0.000000000000e+00
191,-2.256067738910e-06
192,0.000000000000e+00
193,-4.128832297135e-05
194,0.000000000000e+00
195,0.000000000000e+00
196,-0.000000000000e+00
197,-2.303480017056e-06
198,0.000000000000e+00
199,-4.361154646199e-05
200,0.000000000000e+00
201,0.000000000000e+00
202,-0.000000000000e+00
203,-2.349526579819e-06
204,0.000000000000e+00
205,-4.598023962656e-05
206,0.000000000000e+00
207,0.000000000000e+00
208,-0.000000000000e+00
209,-2.394227385462e-06
210,0.000000000000e+00
211,-4.839306526150e-05
212,0.000000000000e+00
213,0.000000000000e+00
214,-0.000000000000e+00
215,-2.437602392246e-06
216,0.000000000000e+00
217,-5.084870612148e-05
218,0.000000000000e+00
219,0.000000000000e+00
220,-0.000000000000e+00
221,-2.479671558435e-06
222,0.000000000000e+00
223,-5.334586491945e-05
224,0.000000000000e+00
225,0.000000000000e+00
226,-0.000000000000e+00
227,-2.520454842291e-06
228,0.000000000000e+00
229,-5.588326432662e-05
230,0.000000000000e+00
231,0.000000000000e+00
232,-0.000000000000e+00
233,-2.559972202075e-06
234,0.000000000000e+00
235,-5.845964697245e-05
236,0.000000000000e+00
237,0.000000000000e+00
238,-0.000000000000e+00
239,-2.598243596050e-06
240,0.000000000000e+00
241,-6.107377544469e-05
242,0.000000000000e+00
243,0.000000000000e+00
