Condensed DOF,U Value
0,0.00000000000000000e+00
1,-7.49296555989334446e-07
2,0.00000000000000000e+00
3,0.00000000000000000e+00
4,0.00000000000000000e+00
5,-1.74794198897693464e-06
6,0.00000000000000000e+00
7,-3.23528640098040757e-06
8,-0.00000000000000000e+00
9,0.00000000000000000e+00
10,0.00000000000000000e+00
11,-3.46963705301012060e-06
12,0.00000000000000000e+00
13,-7.43172498494118609e-06
14,-0.00000000000000000e+00
15,0.00000000000000000e+00
16,-0.00000000000000000e+00
17,-5.16509081689060394e-06
18,0.00000000000000000e+00
19,-1.33123756325636051e-05
20,0.00000000000000000e+00
21,0.00000000000000000e+00
22,-0.00000000000000000e+00
23,-6.83431415525375216e-06
24,0.00000000000000000e+00
25,-2.08510147931341731e-05
26,0.00000000000000000e+00
27,0.00000000000000000e+00
28,-0.00000000000000000e+00
29,-8.47732319264083250e-06
30,0.00000000000000000e+00
31,-3.00214372904533725e-05
32,0.00000000000000000e+00
33,0.00000000000000000e+00
34,-0.00000000000000000e+00
35,-1.00941393035295222e-05
36,0.00000000000000000e+00
37,-4.07974615727750803e-05
38,0.00000000000000000e+00
39,0.00000000000000000e+00
40,-0.00000000000000000e+00
41,-1.16847891123408840e-05
42,0.00000000000000000e+00
43,-5.31529349627440754e-05
44,0.00000000000000000e+00
45,0.00000000000000000e+00
46,-0.00000000000000000e+00
47,-1.32493044934252110e-05
48,0.00000000000000000e+00
49,-6.70617389073134963e-05
50,0.00000000000000000e+00
51,0.00000000000000000e+00
52,-0.00000000000000000e+00
53,-1.47877225710344621e-05
54,0.00000000000000000e+00
55,-8.24977942276309482e-05
56,0.00000000000000000e+00
57,0.00000000000000000e+00
58,-0.00000000000000000e+00
59,-1.63000857192858562e-05
60,0.00000000000000000e+00
61,-9.94350663688999990e-05
62,0.00000000000000000e+00
63,0.00000000000000000e+00
64,-0.00000000000000000e+00
65,-1.77864415621538206e-05
66,0.00000000000000000e+00
67,-1.17847570650243881e-04
68,0.00000000000000000e+00
69,0.00000000000000000e+00
70,0.00000000000000000e+00
71,-1.92468429734853592e-05
72,0.00000000000000000e+00
73,-1.37709377514589948e-04
74,-0.00000000000000000e+00
75,0.00000000000000000e+00
76,-0.00000000000000000e+00
77,-2.06813480770279829e-05
78,0.00000000000000000e+00
79,-1.58994617778620038e-04
80,0.00000000000000000e+00
81,0.00000000000000000e+00
82,-0.00000000000000000e+00
83,-2.20900202465483143e-05
