Element ID,Local DOF,U Value
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,-7.492965559893344e-07
0,8,0.0
0,9,0.0
0,10,0.0
0,11,-1.7479419889769346e-06
1,0,0.0
1,1,-7.492965559893344e-07
1,2,0.0
1,3,0.0
1,4,0.0
1,5,-1.7479419889769346e-06
1,6,0.0
1,7,-3.2352864009804076e-06
1,8,-0.0
1,9,0.0
1,10,0.0
1,11,-3.4696370530101206e-06
2,0,0.0
2,1,-3.2352864009804076e-06
2,2,-0.0
2,3,0.0
2,4,0.0
2,5,-3.4696370530101206e-06
2,6,0.0
2,7,-7.431724984941186e-06
2,8,-0.0
2,9,0.0
2,10,-0.0
2,11,-5.165090816890604e-06
3,0,0.0
3,1,-7.431724984941186e-06
3,2,-0.0
3,3,0.0
3,4,-0.0
3,5,-5.165090816890604e-06
3,6,0.0
3,7,-1.3312375632563605e-05
3,8,0.0
3,9,0.0
3,10,-0.0
3,11,-6.834314155253752e-06
4,0,0.0
4,1,-1.3312375632563605e-05
4,2,0.0
4,3,0.0
4,4,-0.0
4,5,-6.834314155253752e-06
4,6,0.0
4,7,-2.0851014793134173e-05
4,8,0.0
4,9,0.0
4,10,-0.0
4,11,-8.477323192640832e-06
5,0,0.0
5,1,-2.0851014793134173e-05
5,2,0.0
5,3,0.0
5,4,-0.0
5,5,-8.477323192640832e-06
5,6,0.0
5,7,-3.0021437290453372e-05
5,8,0.0
5,9,0.0
5,10,-0.0
5,11,-1.0094139303529522e-05
6,0,0.0
6,1,-3.0021437290453372e-05
6,2,0.0
6,3,0.0
6,4,-0.0
6,5,-1.0094139303529522e-05
6,6,0.0
6,7,-4.079746157277508e-05
6,8,0.0
6,9,0.0
6,10,-0.0
6,11,-1.1684789112340884e-05
7,0,0.0
7,1,-4.079746157277508e-05
7,2,0.0
7,3,0.0
7,4,-0.0
7,5,-1.1684789112340884e-05
7,6,0.0
7,7,-5.3152934962744075e-05
7,8,0.0
7,9,0.0
7,10,-0.0
7,11,-1.3249304493425211e-05
8,0,0.0
8,1,-5.3152934962744075e-05
8,2,0.0
8,3,0.0
8,4,-0.0
8,5,-1.3249304493425211e-05
8,6,0.0
8,7,-6.70617389073135e-05
8,8,0.0
8,9,0.0
8,10,-0.0
8,11,-1.4787722571034462e-05
9,0,0.0
9,1,-6.70617389073135e-05
9,2,0.0
9,3,0.0
9,4,-0.0
9,5,-1.4787722571034462e-05
9,6,0.0
9,7,-8.249779422763095e-05
9,8,0.0
9,9,0.0
9,10,-0.0
9,11,-1.6300085719285856e-05
10,0,0.0
10,1,-8.249779422763095e-05
10,2,0.0
10,3,0.0
10,4,-0.0
10,5,-1.6300085719285856e-05
10,6,0.0
10,7,-9.94350663689e-05
10,8,0.0
10,9,0.0
10,10,-0.0
10,11,-1.778644156215382e-05
11,0,0.0
11,1,-9.94350663689e-05
11,2,0.0
11,3,0.0
11,4,-0.0
11,5,-1.778644156215382e-05
11,6,0.0
11,7,-0.00011784757065024388
11,8,0.0
11,9,0.0
11,10,0.0
11,11,-1.924684297348536e-05
12,0,0.0
12,1,-0.00011784757065024388
12,2,0.0
12,3,0.0
12,4,0.0
12,5,-1.924684297348536e-05
12,6,0.0
12,7,-0.00013770937751458995
12,8,-0.0
12,9,0.0
12,10,-0.0
12,11,-2.0681348077027983e-05
13,0,0.0
13,1,-0.00013770937751458995
13,2,-0.0
13,3,0.0
13,4,-0.0
13,5,-2.0681348077027983e-05
13,6,0.0
13,7,-0.00015899461777862004
13,8,0.0
13,9,0.0
13,10,-0.0
13,11,-2.2090020246548314e-05
14,0,0.0
14,1,-0.00015899461777862004
14,2,0.0
14,3,0.0
14,4,-0.0
14,5,-2.2090020246548314e-05
14,6,0.0
14,7,-0.00018167748788274805
14,8,0.0
14,9,0.0
14,10,-0.0
14,11,-2.347292810572718e-05
15,0,0.0
15,1,-0.00018167748788274805
15,2,0.0
15,3,0.0
15,4,-0.0
15,5,-2.347292810572718e-05
15,6,0.0
15,7,-0.00020573225514099595
15,8,0.0
15,9,0.0
15,10,-0.0
15,11,-2.4830145528077234e-05
16,0,0.0
16,1,-0.00020573225514099595
16,2,0.0
16,3,0.0
16,4,-0.0
16,5,-2.4830145528077234e-05
16,6,0.0
16,7,-0.00023113326299084393
16,8,0.0
16,9,0.0
16,10,-0.0
16,11,-2.6161751636984186e-05
17,0,0.0
17,1,-0.00023113326299084393
17,2,0.0
17,3,0.0
17,4,-0.0
17,5,-2.6161751636984186e-05
17,6,0.0
17,7,-0.0002578549362430971
17,8,0.0
17,9,0.0
17,10,-0.0
17,11,-2.7467830805691465e-05
18,0,0.0
18,1,-0.0002578549362430971
18,2,0.0
18,3,0.0
18,4,-0.0
18,5,-2.7467830805691465e-05
18,6,0.0
18,7,-0.00028587178633174466
18,8,0.0
18,9,0.0
18,10,-0.0
18,11,-2.874847265730442e-05
19,0,0.0
19,1,-0.00028587178633174466
19,2,0.0
19,3,0.0
19,4,-0.0
19,5,-2.874847265730442e-05
19,6,0.0
19,7,-0.0003151584165638449
19,8,0.0
19,9,0.0
19,10,-0.0
19,11,-3.0003772064845e-05
20,0,0.0
20,1,-0.0003151584165638449
20,2,0.0
20,3,0.0
20,4,-0.0
20,5,-3.0003772064845e-05
20,6,0.0
20,7,-0.0003456895273694488
20,8,0.0
20,9,0.0
20,10,-0.0
20,11,-3.1233829151266246e-05
21,0,0.0
21,1,-0.0003456895273694488
21,2,0.0
21,3,0.0
21,4,-0.0
21,5,-3.1233829151266246e-05
21,6,0.0
21,7,-0.00037743992155153097
21,8,0.0
21,9,0.0
21,10,-0.0
21,11,-3.243874928945322e-05
22,0,0.0
22,1,-0.00037743992155153097
22,2,0.0
22,3,0.0
22,4,-0.0
22,5,-3.243874928945322e-05
22,6,0.0
22,7,-0.00041038450953591093
22,8,0.0
22,9,0.0
22,10,-0.0
22,11,-3.3618643102196356e-05
23,0,0.0
23,1,-0.00041038450953591093
23,2,0.0
23,3,0.0
23,4,-0.0
23,5,-3.3618643102196356e-05
23,6,0.0
23,7,-0.00044449831462113783
23,8,0.0
23,9,0.0
23,10,-0.0
23,11,-3.477362646214336e-05
24,0,0.0
24,1,-0.00044449831462113783
24,2,0.0
24,3,0.0
24,4,-0.0
24,5,-3.477362646214336e-05
24,6,0.0
24,7,-0.0004797564782283441
24,8,0.0
24,9,0.0
24,10,-0.0
24,11,-3.5903820491791816e-05
25,0,0.0
25,1,-0.0004797564782283441
25,2,0.0
25,3,0.0
25,4,-0.0
25,5,-3.5903820491791816e-05
25,6,0.0
25,7,-0.0005161342651511175
25,8,0.0
25,9,0.0
25,10,-0.0
25,11,-3.7009351563542354e-05
26,0,0.0
26,1,-0.0005161342651511175
26,2,0.0
26,3,0.0
26,4,-0.0
26,5,-3.7009351563542354e-05
26,6,0.0
26,7,-0.0005536070688054039
26,8,0.0
26,9,0.0
26,10,-0.0
26,11,-3.809035129969477e-05
27,0,0.0
27,1,-0.0005536070688054039
27,2,0.0
27,3,0.0
27,4,-0.0
27,5,-3.809035129969477e-05
27,6,0.0
27,7,-0.0005921504164794266
27,8,0.0
27,9,0.0
27,10,-0.0
27,11,-3.914695657249916e-05
28,0,0.0
28,1,-0.0005921504164794266
28,2,0.0
28,3,0.0
28,4,-0.0
28,5,-3.914695657249916e-05
28,6,0.0
28,7,-0.0006317399745836377
28,8,0.0
28,9,0.0
28,10,-0.0
28,11,-4.017930950415445e-05
29,0,0.0
29,1,-0.0006317399745836377
29,2,0.0
29,3,0.0
29,4,-0.0
29,5,-4.017930950415445e-05
