Condensed DOF,U Value
0,0.00000000000000000e+00
1,-2.84856317596880340e-08
2,0.00000000000000000e+00
3,0.00000000000000000e+00
4,0.00000000000000000e+00
5,-6.64506348486907228e-08
6,0.00000000000000000e+00
7,-1.22994262181754550e-07
8,-0.00000000000000000e+00
9,0.00000000000000000e+00
10,0.00000000000000000e+00
11,-1.31903453513278529e-07
12,0.00000000000000000e+00
13,-2.82528165367920874e-07
14,-0.00000000000000000e+00
15,0.00000000000000000e+00
16,-0.00000000000000000e+00
17,-1.96358669828615627e-07
18,0.00000000000000000e+00
19,-5.06089914789468330e-07
20,0.00000000000000000e+00
21,0.00000000000000000e+00
22,-0.00000000000000000e+00
23,-2.59816697210580480e-07
24,0.00000000000000000e+00
25,-7.92682582869091562e-07
26,0.00000000000000000e+00
27,0.00000000000000000e+00
28,-0.00000000000000000e+00
29,-3.22278148657988908e-07
30,0.00000000000000000e+00
31,-1.14130994056430080e-06
32,0.00000000000000000e+00
33,0.00000000000000000e+00
34,-0.00000000000000000e+00
35,-3.83743836753668859e-07
36,0.00000000000000000e+00
37,-1.55097665695163143e-06
38,0.00000000000000000e+00
39,0.00000000000000000e+00
40,-0.00000000000000000e+00
41,-4.44214773664909410e-07
42,0.00000000000000000e+00
43,-2.02068849881088198e-06
44,0.00000000000000000e+00
45,0.00000000000000000e+00
46,-0.00000000000000000e+00
47,-5.03692171142926877e-07
48,0.00000000000000000e+00
49,-2.54945253020856097e-06
50,0.00000000000000000e+00
51,0.00000000000000000e+00
52,-0.00000000000000000e+00
53,-5.62177440521733861e-07
54,0.00000000000000000e+00
55,-3.13627731208017443e-06
56,0.00000000000000000e+00
57,0.00000000000000000e+00
58,-0.00000000000000000e+00
59,-6.19672192716953886e-07
60,0.00000000000000000e+00
61,-3.78017310181165235e-06
62,0.00000000000000000e+00
63,0.00000000000000000e+00
64,-0.00000000000000000e+00
65,-6.76178238225416562e-07
66,0.00000000000000000e+00
67,-4.48015205282062842e-06
68,0.00000000000000000e+00
69,0.00000000000000000e+00
70,0.00000000000000000e+00
71,-7.31697587125334885e-07
72,0.00000000000000000e+00
73,-5.23522841413864174e-06
74,-0.00000000000000000e+00
