Element ID,Local DOF,U Value
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,-2.8485631759688034e-08
0,8,0.0
0,9,0.0
0,10,0.0
0,11,-6.645063484869072e-08
1,0,0.0
1,1,-2.8485631759688034e-08
1,2,0.0
1,3,0.0
1,4,0.0
1,5,-6.645063484869072e-08
1,6,0.0
1,7,-1.2299426218175455e-07
1,8,-0.0
1,9,0.0
1,10,0.0
1,11,-1.3190345351327853e-07
2,0,0.0
2,1,-1.2299426218175455e-07
2,2,-0.0
2,3,0.0
2,4,0.0
2,5,-1.3190345351327853e-07
2,6,0.0
2,7,-2.825281653679209e-07
2,8,-0.0
2,9,0.0
2,10,-0.0
2,11,-1.9635866982861563e-07
3,0,0.0
3,1,-2.825281653679209e-07
3,2,-0.0
3,3,0.0
3,4,-0.0
3,5,-1.9635866982861563e-07
3,6,0.0
3,7,-5.060899147894683e-07
3,8,0.0
3,9,0.0
3,10,-0.0
3,11,-2.598166972105805e-07
4,0,0.0
4,1,-5.060899147894683e-07
4,2,0.0
4,3,0.0
4,4,-0.0
4,5,-2.598166972105805e-07
4,6,0.0
4,7,-7.926825828690916e-07
4,8,0.0
4,9,0.0
4,10,-0.0
4,11,-3.222781486579889e-07
5,0,0.0
5,1,-7.926825828690916e-07
5,2,0.0
5,3,0.0
5,4,-0.0
5,5,-3.222781486579889e-07
5,6,0.0
5,7,-1.1413099405643008e-06
5,8,0.0
5,9,0.0
5,10,-0.0
5,11,-3.8374383675366886e-07
6,0,0.0
6,1,-1.1413099405643008e-06
6,2,0.0
6,3,0.0
6,4,-0.0
6,5,-3.8374383675366886e-07
6,6,0.0
6,7,-1.5509766569516314e-06
6,8,0.0
6,9,0.0
6,10,-0.0
6,11,-4.442147736649094e-07
7,0,0.0
7,1,-1.5509766569516314e-06
7,2,0.0
7,3,0.0
7,4,-0.0
7,5,-4.442147736649094e-07
7,6,0.0
7,7,-2.020688498810882e-06
7,8,0.0
7,9,0.0
7,10,-0.0
7,11,-5.036921711429269e-07
8,0,0.0
8,1,-2.020688498810882e-06
8,2,0.0
8,3,0.0
8,4,-0.0
8,5,-5.036921711429269e-07
8,6,0.0
8,7,-2.549452530208561e-06
8,8,0.0
8,9,0.0
8,10,-0.0
8,11,-5.621774405217339e-07
9,0,0.0
9,1,-2.549452530208561e-06
9,2,0.0
9,3,0.0
9,4,-0.0
9,5,-5.621774405217339e-07
9,6,0.0
9,7,-3.1362773120801744e-06
9,8,0.0
9,9,0.0
9,10,-0.0
9,11,-6.196721927169539e-07
10,0,0.0
10,1,-3.1362773120801744e-06
10,2,0.0
10,3,0.0
10,4,-0.0
10,5,-6.196721927169539e-07
10,6,0.0
10,7,-3.7801731018116524e-06
10,8,0.0
10,9,0.0
10,10,-0.0
10,11,-6.761782382254166e-07
11,0,0.0
11,1,-3.7801731018116524e-06
11,2,0.0
11,3,0.0
11,4,-0.0
11,5,-6.761782382254166e-07
11,6,0.0
11,7,-4.480152052820628e-06
11,8,0.0
11,9,0.0
11,10,0.0
11,11,-7.316975871253349e-07
12,0,0.0
12,1,-4.480152052820628e-06
12,2,0.0
12,3,0.0
12,4,0.0
12,5,-7.316975871253349e-07
12,6,0.0
12,7,-5.235228414138642e-06
12,8,-0.0
12,9,0.0
12,10,-0.0
12,11,-7.862324490782341e-07
13,0,0.0
13,1,-5.235228414138642e-06
13,2,-0.0
13,3,0.0
13,4,-0.0
13,5,-7.862324490782341e-07
13,6,0.0
13,7,-6.044418729994623e-06
13,8,0.0
13,9,0.0
13,10,-0.0
13,11,-8.397852333293307e-07
14,0,0.0
14,1,-6.044418729994623e-06
14,2,0.0
14,3,0.0
14,4,-0.0
14,5,-8.397852333293307e-07
14,6,0.0
14,7,-6.906742039398922e-06
14,8,0.0
14,9,0.0
14,10,-0.0
14,11,-8.923585487083189e-07
15,0,0.0
15,1,-6.906742039398922e-06
15,2,0.0
15,3,0.0
15,4,-0.0
15,5,-8.923585487083189e-07
15,6,0.0
15,7,-7.821220075727202e-06
15,8,0.0
15,9,0.0
15,10,-0.0
15,11,-9.439552036279807e-07
16,0,0.0
16,1,-7.821220075727202e-06
16,2,0.0
16,3,0.0
16,4,-0.0
16,5,-9.439552036279807e-07
16,6,0.0
16,7,-8.786877466303041e-06
16,8,0.0
16,9,0.0
16,10,-0.0
16,11,-9.945782060830426e-07
17,0,0.0
17,1,-8.786877466303041e-06
17,2,0.0
17,3,0.0
17,4,-0.0
17,5,-9.945782060830426e-07
17,6,0.0
17,7,-9.80274193197952e-06
17,8,0.0
17,9,0.0
17,10,-0.0
17,11,-1.0442307636493814e-06
18,0,0.0
18,1,-9.80274193197952e-06
18,2,0.0
18,3,0.0
18,4,-0.0
18,5,-1.0442307636493814e-06
18,6,0.0
18,7,-1.0867844486720478e-05
18,8,0.0
18,9,0.0
18,10,-0.0
18,11,-1.0929162834842788e-06
19,0,0.0
19,1,-1.0867844486720478e-05
19,2,0.0
19,3,0.0
19,4,-0.0
19,5,-1.0929162834842788e-06
19,6,0.0
19,7,-1.1981219637182678e-05
19,8,0.0
19,9,0.0
19,10,-0.0
19,11,-1.1406383723282109e-06
20,0,0.0
20,1,-1.1981219637182678e-05
20,2,0.0
20,3,0.0
20,4,-0.0
20,5,-1.1406383723282109e-06
20,6,0.0
20,7,-1.3141905582299434e-05
20,8,0.0
20,9,0.0
20,10,-0.0
20,11,-1.1874008365058294e-06
21,0,0.0
21,1,-1.3141905582299434e-05
21,2,0.0
21,3,0.0
21,4,-0.0
21,5,-1.1874008365058294e-06
21,6,0.0
21,7,-1.4348944412864827e-05
21,8,0.0
21,9,0.0
21,10,-0.0
21,11,-1.2332076819260574e-06
22,0,0.0
22,1,-1.4348944412864827e-05
22,2,0.0
22,3,0.0
22,4,-0.0
22,5,-1.2332076819260574e-06
22,6,0.0
22,7,-1.560138231111723e-05
22,8,0.0
22,9,0.0
22,10,-0.0
22,11,-1.2780631140803224e-06
23,0,0.0
23,1,-1.560138231111723e-05
23,2,0.0
23,3,0.0
23,4,-0.0
23,5,-1.2780631140803224e-06
23,6,0.0
23,7,-1.6898269750321635e-05
23,8,0.0
23,9,0.0
23,10,-0.0
23,11,-1.321971538042121e-06
24,0,0.0
24,1,-1.6898269750321635e-05
24,2,0.0
24,3,0.0
24,4,-0.0
24,5,-1.321971538042121e-06
24,6,0.0
24,7,-1.8238661694351408e-05
24,8,0.0
24,9,0.0
24,10,-0.0
24,11,-1.3649375584663839e-06
25,0,0.0
25,1,-1.8238661694351408e-05
25,2,0.0
25,3,0.0
25,4,-0.0
25,5,-1.3649375584663839e-06
25,6,0.0
25,7,-1.9621617797269564e-05
25,8,0.0
25,9,0.0
25,10,-0.0
25,11,-1.4069659795890023e-06
26,0,0.0
26,1,-1.9621617797269564e-05
26,2,0.0
26,3,0.0
26,4,-0.0
26,5,-1.4069659795890023e-06
26,6,0.0
26,7,-2.104620260291094e-05
26,8,0.0
26,9,0.0
26,10,-0.0
26,11,-1.4480618052297865e-06
27,0,0.0
27,1,-2.104620260291094e-05
27,2,0.0
27,3,0.0
27,4,-0.0
27,5,-1.4480618052297865e-06
27,6,0.0
27,7,-2.251148574446575e-05
27,8,0.0
27,9,0.0
27,10,-0.0
27,11,-1.4882302387915023e-06
28,0,0.0
28,1,-2.251148574446575e-05
28,2,0.0
28,3,0.0
28,4,-0.0
28,5,-1.4882302387915023e-06
28,6,0.0
28,7,-2.4016542144062782e-05
28,8,0.0
28,9,0.0
28,10,-0.0
28,11,-1.5274766832604542e-06
29,0,0.0
