Global DOF,Value
0,0.000000000000e+00
1,-4.999999790355e+02
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,-3.358050105359e+04
6,0.000000000000e+00
7,3.474370097178e-10
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,-4.656612873077e-10
12,0.000000000000e+00
13,-3.066807363616e-10
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,2.328306436539e-09
18,0.000000000000e+00
19,7.093230386390e-08
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,1.862645149231e-09
24,0.000000000000e+00
25,9.183767135656e-09
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,5.587935447693e-09
30,0.000000000000e+00
31,-3.746165805341e-08
32,0.000000000000e+00
33,0.000000000000e+00
34,0.000000000000e+00
35,1.303851604462e-08
36,0.000000000000e+00
37,-2.708411261931e-08
38,0.000000000000e+00
39,0.000000000000e+00
40,0.000000000000e+00
41,-9.313225746155e-09
42,0.000000000000e+00
43,1.631310087014e-09
44,0.000000000000e+00
45,0.000000000000e+00
46,0.000000000000e+00
47,3.725290298462e-09
48,0.000000000000e+00
49,3.148881033699e-08
50,0.000000000000e+00
51,0.000000000000e+00
52,0.000000000000e+00
53,2.421438694000e-08
54,0.000000000000e+00
55,-8.521506267289e-08
56,0.000000000000e+00
57,0.000000000000e+00
58,0.000000000000e+00
59,1.117587089539e-08
60,0.000000000000e+00
61,-5.351914467155e-09
62,0.000000000000e+00
63,0.000000000000e+00
64,0.000000000000e+00
65,-2.980232238770e-08
66,0.000000000000e+00
67,2.538742993607e-08
68,0.000000000000e+00
69,0.000000000000e+00
70,0.000000000000e+00
71,3.725290298462e-08
72,0.000000000000e+00
73,-7.730613504897e-08
74,0.000000000000e+00
75,0.000000000000e+00
76,0.000000000000e+00
77,-2.235174179077e-08
78,0.000000000000e+00
79,-2.475781442079e-07
80,0.000000000000e+00
81,0.000000000000e+00
82,0.000000000000e+00
83,1.862645149231e-08
84,0.000000000000e+00
85,-1.042311614796e-08
86,0.000000000000e+00
87,0.000000000000e+00
88,0.000000000000e+00
89,-5.215406417847e-08
90,0.000000000000e+00
91,-1.222303569470e-08
92,0.000000000000e+00
93,0.000000000000e+00
94,0.000000000000e+00
95,2.048909664154e-08
96,0.000000000000e+00
97,1.191108214282e-07
98,0.000000000000e+00
99,0.000000000000e+00
100,0.000000000000e+00
101,4.470348358154e-08
102,0.000000000000e+00
103,-1.670872249449e-07
104,0.000000000000e+00
105,0.000000000000e+00
106,0.000000000000e+00
107,-1.154839992523e-07
108,0.000000000000e+00
109,-6.753696712991e-09
110,0.000000000000e+00
111,0.000000000000e+00
112,0.000000000000e+00
113,-3.352761268616e-08
114,0.000000000000e+00
115,-2.760163431148e-08
116,0.000000000000e+00
117,0.000000000000e+00
118,0.000000000000e+00
119,-5.215406417847e-08
120,0.000000000000e+00
121,-3.174544112028e-07
122,0.000000000000e+00
123,0.000000000000e+00
124,0.000000000000e+00
125,-1.378357410431e-07
126,0.000000000000e+00
127,-8.534459716714e-08
128,0.000000000000e+00
129,0.000000000000e+00
130,0.000000000000e+00
131,-2.086162567139e-07
132,0.000000000000e+00
133,3.097820981957e-07
