Global DOF,Value
0,0.000000000000e+00
1,0.000000000000e+00
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,0.000000000000e+00
6,0.000000000000e+00
7,-2.848563175969e-08
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,-6.645063484869e-08
12,0.000000000000e+00
13,-1.229942621818e-07
14,-0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,-1.319034535133e-07
18,0.000000000000e+00
19,-2.825281653679e-07
20,-0.000000000000e+00
21,0.000000000000e+00
22,-0.000000000000e+00
23,-1.963586698286e-07
24,0.000000000000e+00
25,-5.060899147895e-07
26,0.000000000000e+00
27,0.000000000000e+00
28,-0.000000000000e+00
29,-2.598166972106e-07
30,0.000000000000e+00
31,-7.926825828691e-07
32,0.000000000000e+00
33,0.000000000000e+00
34,-0.000000000000e+00
35,-3.222781486580e-07
36,0.000000000000e+00
37,-1.141309940564e-06
38,0.000000000000e+00
39,0.000000000000e+00
40,-0.000000000000e+00
41,-3.837438367537e-07
42,0.000000000000e+00
43,-1.550976656952e-06
44,0.000000000000e+00
45,0.000000000000e+00
46,-0.000000000000e+00
47,-4.442147736649e-07
48,0.000000000000e+00
49,-2.020688498811e-06
50,0.000000000000e+00
51,0.000000000000e+00
52,-0.000000000000e+00
53,-5.036921711429e-07
54,0.000000000000e+00
55,-2.549452530209e-06
56,0.000000000000e+00
57,0.000000000000e+00
58,-0.000000000000e+00
59,-5.621774405217e-07
60,0.000000000000e+00
61,-3.136277312080e-06
62,0.000000000000e+00
63,0.000000000000e+00
64,-0.000000000000e+00
65,-6.196721927170e-07
66,0.000000000000e+00
67,-3.780173101812e-06
68,0.000000000000e+00
69,0.000000000000e+00
70,-0.000000000000e+00
71,-6.761782382254e-07
72,0.000000000000e+00
73,-4.480152052821e-06
74,0.000000000000e+00
75,0.000000000000e+00
76,0.000000000000e+00
77,-7.316975871253e-07
78,0.000000000000e+00
79,-5.235228414139e-06
80,-0.000000000000e+00
81,0.000000000000e+00
82,-0.000000000000e+00
83,-7.862324490782e-07
84,0.000000000000e+00
85,-6.044418729995e-06
86,0.000000000000e+00
87,0.000000000000e+00
88,-0.000000000000e+00
89,-8.397852333293e-07
90,0.000000000000e+00
91,-6.906742039399e-06
92,0.000000000000e+00
93,0.000000000000e+00
94,-0.000000000000e+00
95,-8.923585487083e-07
96,0.000000000000e+00
97,-7.821220075727e-06
98,0.000000000000e+00
99,0.000000000000e+00
100,-0.000000000000e+00
101,-9.439552036280e-07
102,0.000000000000e+00
103,-8.786877466303e-06
104,0.000000000000e+00
105,0.000000000000e+00
106,-0.000000000000e+00
107,-9.945782060830e-07
108,0.000000000000e+00
109,-9.802741931980e-06
110,0.000000000000e+00
111,0.000000000000e+00
112,-0.000000000000e+00
113,-1.044230763649e-06
114,0.000000000000e+00
115,-1.086784448672e-05
116,0.000000000000e+00
117,0.000000000000e+00
118,-0.000000000000e+00
119,-1.092916283484e-06
120,0.000000000000e+00
121,-1.198121963718e-05
122,0.000000000000e+00
123,0.000000000000e+00
124,-0.000000000000e+00
125,-1.140638372328e-06
126,0.000000000000e+00
127,-1.314190558230e-05
128,0.000000000000e+00
129,0.000000000000e+00
130,-0.000000000000e+00
131,-1.187400836506e-06
132,0.000000000000e+00
133,-1.434894441286e-05
134,0.000000000000e+00
135,0.000000000000e+00
136,-0.000000000000e+00
137,-1.233207681926e-06
138,0.000000000000e+00
139,-1.560138231112e-05
140,0.000000000000e+00
141,0.000000000000e+00
142,-0.000000000000e+00
143,-1.278063114080e-06
144,0.000000000000e+00
145,-1.689826975032e-05
146,0.000000000000e+00
147,0.000000000000e+00
148,-0.000000000000e+00
149,-1.321971538042e-06
150,0.000000000000e+00
151,-1.823866169435e-05
152,0.000000000000e+00
153,0.000000000000e+00
154,-0.000000000000e+00
155,-1.364937558466e-06
156,0.000000000000e+00
157,-1.962161779727e-05
158,0.000000000000e+00
159,0.000000000000e+00
160,-0.000000000000e+00
161,-1.406965979589e-06
162,0.000000000000e+00
163,-2.104620260291e-05
164,0.000000000000e+00
165,0.000000000000e+00
166,-0.000000000000e+00
167,-1.448061805230e-06
168,0.000000000000e+00
169,-2.251148574447e-05
170,0.000000000000e+00
171,0.000000000000e+00
172,-0.000000000000e+00
173,-1.488230238792e-06
174,0.000000000000e+00
175,-2.401654214406e-05
176,0.000000000000e+00
177,0.000000000000e+00
178,-0.000000000000e+00
179,-1.527476683260e-06
180,0.000000000000e+00
181,-2.556045221235e-05
182,0.000000000000e+00
183,0.000000000000e+00
184,-0.000000000000e+00
185,-1.565806741207e-06
186,0.000000000000e+00
187,-2.714230204809e-05
188,0.000000000000e+00
189,0.000000000000e+00
190,-0.000000000000e+00
191,-1.603226214784e-06
192,0.000000000000e+00
193,-2.876118363773e-05
194,0.000000000000e+00
195,0.000000000000e+00
196,-0.000000000000e+00
197,-1.639741105724e-06
198,0.000000000000e+00
199,-3.041619505497e-05
200,0.000000000000e+00
201,0.000000000000e+00
202,-0.000000000000e+00
203,-1.675357615342e-06
204,0.000000000000e+00
205,-3.210644066038e-05
206,0.000000000000e+00
207,0.000000000000e+00
208,-0.000000000000e+00
209,-1.710082144535e-06
210,0.000000000000e+00
211,-3.383103130095e-05
212,0.000000000000e+00
213,0.000000000000e+00
214,-0.000000000000e+00
215,-1.743921293786e-06
216,0.000000000000e+00
217,-3.558908450970e-05
218,0.000000000000e+00
219,0.000000000000e+00
220,-0.000000000000e+00
221,-1.776881863159e-06
222,0.000000000000e+00
223,-3.737972470523e-05
224,0.000000000000e+00
225,0.000000000000e+00
226,-0.000000000000e+00
227,-1.808970852303e-06
228,0.000000000000e+00
229,-3.920208339136e-05
230,0.000000000000e+00
231,0.000000000000e+00
232,-0.000000000000e+00
233,-1.840195460447e-06
234,0.000000000000e+00
235,-4.105529935664e-05
236,0.000000000000e+00
237,0.000000000000e+00
238,-0.000000000000e+00
239,-1.870563086404e-06
240,0.000000000000e+00
241,-4.293851887397e-05
242,0.000000000000e+00
243,0.000000000000e+00
