Condensed DOF,U Value
0,0.00000000000000000e+00
1,-5.62008592394918328e-07
2,0.00000000000000000e+00
3,0.00000000000000000e+00
4,0.00000000000000000e+00
5,-1.31107561010577840e-06
6,0.00000000000000000e+00
7,-2.42759295603714591e-06
8,-0.00000000000000000e+00
9,0.00000000000000000e+00
10,0.00000000000000000e+00
11,-2.60465159681948700e-06
12,0.00000000000000000e+00
13,-5.57925350903000689e-06
14,-0.00000000000000000e+00
15,0.00000000000000000e+00
16,-0.00000000000000000e+00
17,-3.88072805863022882e-06
18,0.00000000000000000e+00
19,-9.99949083796426087e-06
20,0.00000000000000000e+00
21,0.00000000000000000e+00
22,-0.00000000000000000e+00
23,-5.13930525902336772e-06
24,0.00000000000000000e+00
25,-1.56708059079143614e-05
26,0.00000000000000000e+00
27,0.00000000000000000e+00
28,-0.00000000000000000e+00
29,-6.38038373148025529e-06
30,0.00000000000000000e+00
31,-2.25757003774337661e-05
32,0.00000000000000000e+00
33,0.00000000000000000e+00
34,-0.00000000000000000e+00
35,-7.60396438447682104e-06
36,0.00000000000000000e+00
37,-3.06966770185496327e-05
38,0.00000000000000000e+00
39,0.00000000000000000e+00
40,-0.00000000000000000e+00
41,-8.81004860648375900e-06
42,0.00000000000000000e+00
43,-4.00162402417562890e-05
44,0.00000000000000000e+00
45,0.00000000000000000e+00
46,-0.00000000000000000e+00
47,-9.99863837096342918e-06
48,0.00000000000000000e+00
49,-5.05168967260029436e-05
50,0.00000000000000000e+00
51,0.00000000000000000e+00
52,-0.00000000000000000e+00
53,-1.11697363413606619e-05
54,0.00000000000000000e+00
55,-6.21811561536738332e-05
56,0.00000000000000000e+00
57,0.00000000000000000e+00
58,-0.00000000000000000e+00
59,-1.23233459760972505e-05
60,0.00000000000000000e+00
61,-7.49915320505636142e-05
62,0.00000000000000000e+00
63,0.00000000000000000e+00
64,-0.00000000000000000e+00
65,-1.34594716335684857e-05
66,0.00000000000000000e+00
67,-8.89305427308528578e-05
68,0.00000000000000000e+00
69,0.00000000000000000e+00
70,0.00000000000000000e+00
71,-1.45781186771478616e-05
72,0.00000000000000000e+00
73,-1.03980712347086541e-04
74,-0.00000000000000000e+00
75,0.00000000000000000e+00
76,-0.00000000000000000e+00
77,-1.56792935801877414e-05
78,0.00000000000000000e+00
79,-1.20124572045189677e-04
80,0.00000000000000000e+00
81,0.00000000000000000e+00
82,-0.00000000000000000e+00
83,-1.67630040311073591e-05
84,0.00000000000000000e+00
85,-1.37344661224491873e-04
86,0.00000000000000000e+00
87,0.00000000000000000e+00
88,-0.00000000000000000e+00
89,-1.78292590382870378e-05
90,0.00000000000000000e+00
91,-1.55623528902662116e-04
92,0.00000000000000000e+00
93,0.00000000000000000e+00
94,-0.00000000000000000e+00
95,-1.88780690350135739e-05
96,0.00000000000000000e+00
97,-1.74943735185637570e-04
98,0.00000000000000000e+00
99,0.00000000000000000e+00
100,-0.00000000000000000e+00
101,-1.99094459845305546e-05
102,0.00000000000000000e+00
103,-1.95287852842581375e-04
104,0.00000000000000000e+00
105,0.00000000000000000e+00
106,-0.00000000000000000e+00
107,-2.09234034850401071e-05
108,0.00000000000000000e+00
109,-2.16638468985838102e-04
110,0.00000000000000000e+00
111,0.00000000000000000e+00
112,-0.00000000000000000e+00
113,-2.19199568746961385e-05
114,0.00000000000000000e+00
115,-2.38978186855896764e-04
116,0.00000000000000000e+00
117,0.00000000000000000e+00
118,-0.00000000000000000e+00
119,-2.28991233366312206e-05
120,0.00000000000000000e+00
121,-2.62289627711363867e-04
122,0.00000000000000000e+00
123,0.00000000000000000e+00
124,-0.00000000000000000e+00
125,-2.38609220039418041e-05
126,0.00000000000000000e+00
127,-2.86555432823930474e-04
128,0.00000000000000000e+00
129,0.00000000000000000e+00
130,-0.00000000000000000e+00
131,-2.48053740646973322e-05
132,0.00000000000000000e+00
133,-3.11758265578341578e-04
134,0.00000000000000000e+00
135,0.00000000000000000e+00
136,-0.00000000000000000e+00
137,-2.57325028669305543e-05
138,0.00000000000000000e+00
139,-3.37880813677347977e-04
140,0.00000000000000000e+00
141,0.00000000000000000e+00
142,-0.00000000000000000e+00
143,-2.66423340236107795e-05
144,0.00000000000000000e+00
145,-3.64905791451639581e-04
146,0.00000000000000000e+00
147,0.00000000000000000e+00
148,-0.00000000000000000e+00
149,-2.75348955176370392e-05
150,0.00000000000000000e+00
151,-3.92815942274783183e-04
152,0.00000000000000000e+00
153,0.00000000000000000e+00
154,-0.00000000000000000e+00
155,-2.84102178068572506e-05
156,0.00000000000000000e+00
157,-4.21594041083179680e-04
158,0.00000000000000000e+00
159,0.00000000000000000e+00
160,-0.00000000000000000e+00
161,-2.92683339290871795e-05
162,0.00000000000000000e+00
163,-4.51222897001028723e-04
164,0.00000000000000000e+00
165,0.00000000000000000e+00
166,-0.00000000000000000e+00
167,-3.01092796071026241e-05
168,0.00000000000000000e+00
169,-4.81685356070306575e-04
170,0.00000000000000000e+00
171,0.00000000000000000e+00
172,-0.00000000000000000e+00
173,-3.09330933536818237e-05
174,0.00000000000000000e+00
175,-5.12964304085726844e-04
176,0.00000000000000000e+00
177,0.00000000000000000e+00
178,-0.00000000000000000e+00
179,-3.17398165765063052e-05
180,0.00000000000000000e+00
181,-5.45042669534647481e-04
182,0.00000000000000000e+00
183,0.00000000000000000e+00
184,-0.00000000000000000e+00
185,-3.25294936831704138e-05
186,0.00000000000000000e+00
187,-5.77903426641989152e-04
188,0.00000000000000000e+00
189,0.00000000000000000e+00
190,-0.00000000000000000e+00
191,-3.33021721861957831e-05
192,0.00000000000000000e+00
193,-6.11529598520155725e-04
194,0.00000000000000000e+00
195,0.00000000000000000e+00
196,-0.00000000000000000e+00
197,-3.40579028080135039e-05
198,0.00000000000000000e+00
199,-6.45904260423962981e-04
200,0.00000000000000000e+00
201,0.00000000000000000e+00
202,-0.00000000000000000e+00
203,-3.47967395860117199e-05
204,0.00000000000000000e+00
205,-6.81010543110607933e-04
206,0.00000000000000000e+00
207,0.00000000000000000e+00
208,-0.00000000000000000e+00
209,-3.55187399775617368e-05
210,0.00000000000000000e+00
211,-7.16831636304631620e-04
212,0.00000000000000000e+00
213,0.00000000000000000e+00
214,-0.00000000000000000e+00
215,-3.62239649649706493e-05
216,0.00000000000000000e+00
217,-7.53350792267859027e-04
218,0.00000000000000000e+00
