Row,Col,K Value
0,0,200000000000.00012
0,6,-200000000000.00012
1,1,560011200000000.44
1,5,320006400000000.3
1,7,-560011200000000.44
1,11,240004800000000.22
2,2,2240011200000001.8
2,4,-1280006400000000.8
2,8,-2240011200000001.8
2,10,-960004800000000.8
3,3,65653780.50000002
3,9,-65653780.50000002
4,2,-1280006400000000.8
4,4,746670400000000.5
4,8,1280006400000000.8
4,10,533336000000000.4
5,1,320006400000000.3
5,5,186670400000000.16
5,7,-320006400000000.3
5,11,133336000000000.11
6,0,-200000000000.00012
6,6,200000000000.00012
7,1,-560011200000000.44
7,5,-320006400000000.3
7,7,560011200000000.44
7,11,-240004800000000.22
8,2,-2240011200000001.8
8,4,1280006400000000.8
8,8,2240011200000001.8
8,10,960004800000000.8
9,3,-65653780.50000002
9,9,65653780.50000002
10,2,-960004800000000.8
10,4,533336000000000.4
10,8,960004800000000.8
10,10,426668800000000.4
11,1,240004800000000.22
11,5,133336000000000.12
11,7,-240004800000000.22
11,11,106668800000000.1
