Element ID,Local DOF,U Value
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,-5.620085923949183e-07
0,8,0.0
0,9,0.0
0,10,0.0
0,11,-1.3110756101057784e-06
1,0,0.0
1,1,-5.620085923949183e-07
1,2,0.0
1,3,0.0
1,4,0.0
1,5,-1.3110756101057784e-06
1,6,0.0
1,7,-2.427592956037146e-06
1,8,-0.0
1,9,0.0
1,10,0.0
1,11,-2.604651596819487e-06
2,0,0.0
2,1,-2.427592956037146e-06
2,2,-0.0
2,3,0.0
2,4,0.0
2,5,-2.604651596819487e-06
2,6,0.0
2,7,-5.579253509030007e-06
2,8,-0.0
2,9,0.0
2,10,-0.0
2,11,-3.880728058630229e-06
3,0,0.0
3,1,-5.579253509030007e-06
3,2,-0.0
3,3,0.0
3,4,-0.0
3,5,-3.880728058630229e-06
3,6,0.0
3,7,-9.999490837964261e-06
3,8,0.0
3,9,0.0
3,10,-0.0
3,11,-5.139305259023368e-06
4,0,0.0
4,1,-9.999490837964261e-06
4,2,0.0
4,3,0.0
4,4,-0.0
4,5,-5.139305259023368e-06
4,6,0.0
4,7,-1.567080590791436e-05
4,8,0.0
4,9,0.0
4,10,-0.0
4,11,-6.380383731480255e-06
5,0,0.0
5,1,-1.567080590791436e-05
5,2,0.0
5,3,0.0
5,4,-0.0
5,5,-6.380383731480255e-06
5,6,0.0
5,7,-2.2575700377433766e-05
5,8,0.0
5,9,0.0
5,10,-0.0
5,11,-7.603964384476821e-06
6,0,0.0
6,1,-2.2575700377433766e-05
6,2,0.0
6,3,0.0
6,4,-0.0
6,5,-7.603964384476821e-06
6,6,0.0
6,7,-3.069667701854963e-05
6,8,0.0
6,9,0.0
6,10,-0.0
6,11,-8.810048606483759e-06
7,0,0.0
7,1,-3.069667701854963e-05
7,2,0.0
7,3,0.0
7,4,-0.0
7,5,-8.810048606483759e-06
7,6,0.0
7,7,-4.001624024175629e-05
7,8,0.0
7,9,0.0
7,10,-0.0
7,11,-9.99863837096343e-06
8,0,0.0
8,1,-4.001624024175629e-05
8,2,0.0
8,3,0.0
8,4,-0.0
8,5,-9.99863837096343e-06
8,6,0.0
8,7,-5.0516896726002944e-05
8,8,0.0
8,9,0.0
8,10,-0.0
8,11,-1.1169736341360662e-05
9,0,0.0
9,1,-5.0516896726002944e-05
9,2,0.0
9,3,0.0
9,4,-0.0
9,5,-1.1169736341360662e-05
9,6,0.0
9,7,-6.218115615367383e-05
9,8,0.0
9,9,0.0
9,10,-0.0
9,11,-1.232334597609725e-05
10,0,0.0
10,1,-6.218115615367383e-05
10,2,0.0
10,3,0.0
10,4,-0.0
10,5,-1.232334597609725e-05
10,6,0.0
10,7,-7.499153205056361e-05
10,8,0.0
10,9,0.0
10,10,-0.0
10,11,-1.3459471633568486e-05
11,0,0.0
11,1,-7.499153205056361e-05
11,2,0.0
11,3,0.0
11,4,-0.0
11,5,-1.3459471633568486e-05
11,6,0.0
11,7,-8.893054273085286e-05
11,8,0.0
11,9,0.0
11,10,0.0
11,11,-1.4578118677147862e-05
12,0,0.0
12,1,-8.893054273085286e-05
12,2,0.0
12,3,0.0
12,4,0.0
12,5,-1.4578118677147862e-05
12,6,0.0
12,7,-0.00010398071234708654
12,8,-0.0
12,9,0.0
12,10,-0.0
12,11,-1.567929358018774e-05
13,0,0.0
13,1,-0.00010398071234708654
13,2,-0.0
13,3,0.0
13,4,-0.0
13,5,-1.567929358018774e-05
13,6,0.0
13,7,-0.00012012457204518968
13,8,0.0
13,9,0.0
13,10,-0.0
13,11,-1.676300403110736e-05
14,0,0.0
14,1,-0.00012012457204518968
14,2,0.0
14,3,0.0
14,4,-0.0
14,5,-1.676300403110736e-05
14,6,0.0
14,7,-0.00013734466122449187
14,8,0.0
14,9,0.0
14,10,-0.0
14,11,-1.7829259038287038e-05
15,0,0.0
15,1,-0.00013734466122449187
15,2,0.0
15,3,0.0
15,4,-0.0
15,5,-1.7829259038287038e-05
15,6,0.0
15,7,-0.00015562352890266212
15,8,0.0
15,9,0.0
15,10,-0.0
15,11,-1.8878069035013574e-05
16,0,0.0
16,1,-0.00015562352890266212
16,2,0.0
16,3,0.0
16,4,-0.0
16,5,-1.8878069035013574e-05
16,6,0.0
16,7,-0.00017494373518563757
16,8,0.0
16,9,0.0
16,10,-0.0
16,11,-1.9909445984530555e-05
17,0,0.0
17,1,-0.00017494373518563757
17,2,0.0
17,3,0.0
17,4,-0.0
17,5,-1.9909445984530555e-05
17,6,0.0
17,7,-0.00019528785284258138
17,8,0.0
17,9,0.0
17,10,-0.0
17,11,-2.0923403485040107e-05
18,0,0.0
18,1,-0.00019528785284258138
18,2,0.0
18,3,0.0
18,4,-0.0
18,5,-2.0923403485040107e-05
18,6,0.0
18,7,-0.0002166384689858381
18,8,0.0
18,9,0.0
18,10,-0.0
18,11,-2.191995687469614e-05
19,0,0.0
19,1,-0.0002166384689858381
19,2,0.0
19,3,0.0
19,4,-0.0
19,5,-2.191995687469614e-05
19,6,0.0
19,7,-0.00023897818685589676
19,8,0.0
19,9,0.0
19,10,-0.0
19,11,-2.289912333663122e-05
20,0,0.0
20,1,-0.00023897818685589676
20,2,0.0
20,3,0.0
20,4,-0.0
20,5,-2.289912333663122e-05
20,6,0.0
20,7,-0.00026228962771136387
20,8,0.0
20,9,0.0
20,10,-0.0
20,11,-2.3860922003941804e-05
21,0,0.0
21,1,-0.00026228962771136387
21,2,0.0
21,3,0.0
21,4,-0.0
21,5,-2.3860922003941804e-05
21,6,0.0
21,7,-0.0002865554328239305
21,8,0.0
21,9,0.0
21,10,-0.0
21,11,-2.4805374064697332e-05
22,0,0.0
22,1,-0.0002865554328239305
22,2,0.0
22,3,0.0
22,4,-0.0
22,5,-2.4805374064697332e-05
22,6,0.0
22,7,-0.0003117582655783416
22,8,0.0
22,9,0.0
22,10,-0.0
22,11,-2.5732502866930554e-05
23,0,0.0
23,1,-0.0003117582655783416
23,2,0.0
23,3,0.0
23,4,-0.0
23,5,-2.5732502866930554e-05
23,6,0.0
23,7,-0.000337880813677348
23,8,0.0
23,9,0.0
23,10,-0.0
23,11,-2.664233402361078e-05
24,0,0.0
24,1,-0.000337880813677348
24,2,0.0
24,3,0.0
24,4,-0.0
24,5,-2.664233402361078e-05
24,6,0.0
24,7,-0.0003649057914516396
24,8,0.0
24,9,0.0
24,10,-0.0
24,11,-2.753489551763704e-05
25,0,0.0
25,1,-0.0003649057914516396
25,2,0.0
25,3,0.0
25,4,-0.0
25,5,-2.753489551763704e-05
25,6,0.0
25,7,-0.0003928159422747832
25,8,0.0
25,9,0.0
25,10,-0.0
25,11,-2.841021780685725e-05
26,0,0.0
26,1,-0.0003928159422747832
26,2,0.0
26,3,0.0
26,4,-0.0
26,5,-2.841021780685725e-05
26,6,0.0
26,7,-0.0004215940410831797
26,8,0.0
26,9,0.0
26,10,-0.0
26,11,-2.926833392908718e-05
27,0,0.0
27,1,-0.0004215940410831797
27,2,0.0
27,3,0.0
27,4,-0.0
27,5,-2.926833392908718e-05
27,6,0.0
27,7,-0.0004512228970010287
27,8,0.0
27,9,0.0
27,10,-0.0
27,11,-3.0109279607102624e-05
28,0,0.0
28,1,-0.0004512228970010287
28,2,0.0
28,3,0.0
28,4,-0.0
28,5,-3.0109279607102624e-05
28,6,0.0
28,7,-0.0004816853560703066
28,8,0.0
28,9,0.0
28,10,-0.0
28,11,-3.0933093353681824e-05
29,0,0.0
29,1,-0.0004816853560703066
29,2,0.0
29,3,0.0
29,4,-0.0
29,5,-3.0933093353681824e-05
29,6,0.0
