Row,Col,K Value
0,0,200000000000.0021
0,6,-200000000000.0021
1,1,560011200000017.1
1,5,320006400000009.9
1,7,-560011200000017.1
1,11,240004800000007.38
2,2,2240011200000068.8
2,4,-1280006400000039.5
2,8,-2240011200000068.8
2,10,-960004800000029.2
3,3,65653780.500000685
3,9,-65653780.500000685
4,2,-1280006400000039.2
4,4,746670400000022.9
4,8,1280006400000039.2
4,10,533336000000016.3
5,1,320006400000009.9
5,5,186670400000005.75
5,7,-320006400000009.9
5,11,133336000000004.11
6,0,-200000000000.0021
6,6,200000000000.0021
7,1,-560011200000017.1
7,5,-320006400000009.9
7,7,560011200000017.1
7,11,-240004800000007.38
8,2,-2240011200000068.8
8,4,1280006400000039.5
8,8,2240011200000068.8
8,10,960004800000029.2
9,3,-65653780.500000685
9,9,65653780.500000685
10,2,-960004800000029.4
10,4,533336000000016.3
10,8,960004800000029.4
10,10,426668800000013.06
11,1,240004800000007.38
11,5,133336000000004.11
11,7,-240004800000007.38
11,11,106668800000003.28
