Condensed DOF,U Value
0,0.00000000000000000e+00
1,-2.13655990556039828e-08
2,0.00000000000000000e+00
3,0.00000000000000000e+00
4,0.00000000000000000e+00
5,-4.98425045386916388e-08
6,0.00000000000000000e+00
7,-9.22885850399575784e-08
8,-0.00000000000000000e+00
9,0.00000000000000000e+00
10,0.00000000000000000e+00
11,-9.90197346774141865e-08
12,0.00000000000000000e+00
13,-2.12103685130598028e-07
14,-0.00000000000000000e+00
15,0.00000000000000000e+00
16,-0.00000000000000000e+00
17,-1.47531694160370815e-07
18,0.00000000000000000e+00
19,-3.80145632910418444e-07
20,0.00000000000000000e+00
21,0.00000000000000000e+00
22,-0.00000000000000000e+00
23,-1.95378393004491750e-07
24,0.00000000000000000e+00
25,-5.95749176351067257e-07
26,0.00000000000000000e+00
27,0.00000000000000000e+00
28,-0.00000000000000000e+00
29,-2.42559851490981230e-07
30,0.00000000000000000e+00
31,-8.58249089787891919e-07
32,0.00000000000000000e+00
33,0.00000000000000000e+00
34,-0.00000000000000000e+00
35,-2.89076104156897283e-07
36,0.00000000000000000e+00
37,-1.16698018988660043e-06
38,0.00000000000000000e+00
39,0.00000000000000000e+00
40,-0.00000000000000000e+00
41,-3.34927203787029729e-07
42,0.00000000000000000e+00
43,-1.52127735560163952e-06
44,0.00000000000000000e+00
45,0.00000000000000000e+00
46,-0.00000000000000000e+00
47,-3.80113225405406465e-07
48,0.00000000000000000e+00
49,-1.92047555212611422e-06
50,0.00000000000000000e+00
51,0.00000000000000000e+00
52,-0.00000000000000000e+00
53,-4.24634270266885777e-07
54,0.00000000000000000e+00
55,-2.36390985883319699e-06
56,0.00000000000000000e+00
57,0.00000000000000000e+00
58,-0.00000000000000000e+00
59,-4.68490469848498144e-07
60,0.00000000000000000e+00
61,-2.85091550120903915e-06
62,0.00000000000000000e+00
63,0.00000000000000000e+00
64,-0.00000000000000000e+00
65,-5.11681989841186834e-07
66,0.00000000000000000e+00
67,-3.38082788677738358e-06
68,0.00000000000000000e+00
69,0.00000000000000000e+00
70,0.00000000000000000e+00
71,-5.54209034141433830e-07
72,0.00000000000000000e+00
73,-3.95298264501601542e-06
74,-0.00000000000000000e+00
75,0.00000000000000000e+00
76,-0.00000000000000000e+00
77,-5.96071848843396896e-07
78,0.00000000000000000e+00
79,-4.56671567126449412e-06
80,0.00000000000000000e+00
81,0.00000000000000000e+00
82,-0.00000000000000000e+00
83,-6.37270726228979397e-07
84,0.00000000000000000e+00
85,-5.22136317462345704e-06
86,0.00000000000000000e+00
87,0.00000000000000000e+00
88,-0.00000000000000000e+00
89,-6.77806008761618758e-07
90,0.00000000000000000e+00
91,-5.91626172984724384e-06
92,0.00000000000000000e+00
93,0.00000000000000000e+00
94,-0.00000000000000000e+00
95,-7.17678093078681813e-07
96,0.00000000000000000e+00
97,-6.65074833322762783e-06
98,0.00000000000000000e+00
99,0.00000000000000000e+00
100,-0.00000000000000000e+00
101,-7.56887433981022497e-07
102,0.00000000000000000e+00
103,-7.42416046246808559e-06
104,0.00000000000000000e+00
105,0.00000000000000000e+00
106,-0.00000000000000000e+00
107,-7.95434548424858177e-07
108,0.00000000000000000e+00
109,-8.23583614054989316e-06
110,0.00000000000000000e+00
111,0.00000000000000000e+00
112,-0.00000000000000000e+00
113,-8.33320019513454977e-07
114,0.00000000000000000e+00
115,-9.08511400359012079e-06
116,0.00000000000000000e+00
117,0.00000000000000000e+00
118,-0.00000000000000000e+00
119,-8.70544500489347057e-07
120,0.00000000000000000e+00
121,-9.97133337269193790e-06
122,0.00000000000000000e+00
123,0.00000000000000000e+00
124,-0.00000000000000000e+00
125,-9.07108718726749646e-07
126,0.00000000000000000e+00
127,-1.08938343297867845e-05
128,0.00000000000000000e+00
129,0.00000000000000000e+00
130,-0.00000000000000000e+00
131,-9.43013479722700573e-07
132,0.00000000000000000e+00
133,-1.18519577974674863e-05
134,0.00000000000000000e+00
135,0.00000000000000000e+00
136,-0.00000000000000000e+00
137,-9.78259671087721429e-07
138,0.00000000000000000e+00
139,-1.28450456228124955e-05
140,0.00000000000000000e+00
141,0.00000000000000000e+00
142,-0.00000000000000000e+00
143,-1.01284826653759892e-06
144,0.00000000000000000e+00
145,-1.38724406652020300e-05
146,0.00000000000000000e+00
147,0.00000000000000000e+00
148,-0.00000000000000000e+00
149,-1.04678032988544969e-06
150,0.00000000000000000e+00
151,-1.49334868881255482e-05
152,0.00000000000000000e+00
153,0.00000000000000000e+00
154,-0.00000000000000000e+00
155,-1.08005701903202323e-06
156,0.00000000000000000e+00
157,-1.60275294549809368e-05
158,0.00000000000000000e+00
159,0.00000000000000000e+00
160,-0.00000000000000000e+00
161,-1.11267958995936532e-06
162,0.00000000000000000e+00
163,-1.71539148288664116e-05
164,0.00000000000000000e+00
165,0.00000000000000000e+00
166,-0.00000000000000000e+00
167,-1.14464940072221339e-06
168,0.00000000000000000e+00
169,-1.83119908763639020e-05
170,0.00000000000000000e+00
171,0.00000000000000000e+00
172,-0.00000000000000000e+00
173,-1.17596791543960716e-06
174,0.00000000000000000e+00
175,-1.95011069753139747e-05
176,0.00000000000000000e+00
177,0.00000000000000000e+00
178,-0.00000000000000000e+00
179,-1.20663670828631194e-06
180,0.00000000000000000e+00
181,-2.07206141265821328e-05
182,0.00000000000000000e+00
183,0.00000000000000000e+00
184,-0.00000000000000000e+00
185,-1.23665746748420864e-06
186,0.00000000000000000e+00
187,-2.19698650698162151e-05
188,0.00000000000000000e+00
189,0.00000000000000000e+00
190,-0.00000000000000000e+00
191,-1.26603199929290311e-06
192,0.00000000000000000e+00
193,-2.32482144031951914e-05
194,0.00000000000000000e+00
195,0.00000000000000000e+00
196,-0.00000000000000000e+00
197,-1.29476223200227987e-06
198,0.00000000000000000e+00
199,-2.45550187071701661e-05
200,0.00000000000000000e+00
201,0.00000000000000000e+00
202,-0.00000000000000000e+00
203,-1.32285021992418411e-06
204,0.00000000000000000e+00
205,-2.58896366721978850e-05
206,0.00000000000000000e+00
207,0.00000000000000000e+00
208,-0.00000000000000000e+00
209,-1.35029814738598081e-06
210,0.00000000000000000e+00
211,-2.72514292304662070e-05
212,0.00000000000000000e+00
213,0.00000000000000000e+00
214,-0.00000000000000000e+00
215,-1.37710833272050005e-06
216,0.00000000000000000e+00
217,-2.86397596916100630e-05
218,0.00000000000000000e+00
219,0.00000000000000000e+00
220,-0.00000000000000000e+00
221,-1.40328323225714070e-06
222,0.00000000000000000e+00
223,-3.00539938824188953e-05
224,0.00000000000000000e+00
225,0.00000000000000000e+00
226,-0.00000000000000000e+00
227,-1.42882544431392858e-06
228,0.00000000000000000e+00
229,-3.14935002905356070e-05
230,0.00000000000000000e+00
231,0.00000000000000000e+00
232,-0.00000000000000000e+00
233,-1.45373771318823281e-06
234,0.00000000000000000e+00
235,-3.29576502121470261e-05
236,0.00000000000000000e+00
237,0.00000000000000000e+00
238,-0.00000000000000000e+00
239,-1.47802293314945065e-06
240,0.00000000000000000e+00
241,-3.44458179036664049e-05
242,0.00000000000000000e+00
243,0.00000000000000000e+00
244,-0.00000000000000000e+00
245,-1.50168415243004526e-06
246,0.00000000000000000e+00
247,-3.59573807374077487e-05
248,0.00000000000000000e+00
249,0.00000000000000000e+00
250,-0.00000000000000000e+00
251,-1.52472457721855937e-06
252,0.00000000000000000e+00
253,-3.74917193612536406e-05
254,0.00000000000000000e+00
255,0.00000000000000000e+00
256,-0.00000000000000000e+00
257,-1.54714757565366578e-06
258,0.00000000000000000e+00
259,-3.90482178623143735e-05
260,0.00000000000000000e+00
261,0.00000000000000000e+00
262,-0.00000000000000000e+00
263,-1.56895668181174346e-06
264,0.00000000000000000e+00
265,-4.06262639345770141e-05
266,0.00000000000000000e+00
267,0.00000000000000000e+00
268,-0.00000000000000000e+00
269,-1.59015559970015639e-06
270,0.00000000000000000e+00
271,-4.22252490505461262e-05
272,0.00000000000000000e+00
273,0.00000000000000000e+00
274,-0.00000000000000000e+00
275,-1.61074820724653079e-06
276,0.00000000000000000e+00
277,-4.38445686368744332e-05
278,0.00000000000000000e+00
279,0.00000000000000000e+00
280,-0.00000000000000000e+00
281,-1.63073856028984008e-06
282,0.00000000000000000e+00
283,-4.54836222539868200e-05
284,0.00000000000000000e+00
285,0.00000000000000000e+00
286,-0.00000000000000000e+00
287,-1.65013089657648632e-06
288,0.00000000000000000e+00
289,-4.71418137796977501e-05
290,0.00000000000000000e+00
291,0.00000000000000000e+00
292,-0.00000000000000000e+00
293,-1.66892963975041070e-06
294,0.00000000000000000e+00
295,-4.88185515968203021e-05
296,0.00000000000000000e+00
297,0.00000000000000000e+00
298,-0.00000000000000000e+00
299,-1.68713940334641362e-06
300,0.00000000000000000e+00
301,-5.05132487847667361e-05
302,0.00000000000000000e+00
303,0.00000000000000000e+00
304,-0.00000000000000000e+00
305,-1.70476499477950371e-06
306,0.00000000000000000e+00
307,-5.22253233151391425e-05
308,0.00000000000000000e+00
309,0.00000000000000000e+00
310,-0.00000000000000000e+00
311,-1.72181141933600632e-06
312,0.00000000000000000e+00
313,-5.39541982513101968e-05
314,0.00000000000000000e+00
315,0.00000000000000000e+00
316,-0.00000000000000000e+00
317,-1.73828388416213431e-06
318,0.00000000000000000e+00
319,-5.56993019519963823e-05
320,0.00000000000000000e+00
321,0.00000000000000000e+00
322,-0.00000000000000000e+00
323,-1.75418780226202782e-06
324,0.00000000000000000e+00
325,-5.74600682788255345e-05
326,0.00000000000000000e+00
327,0.00000000000000000e+00
328,-0.00000000000000000e+00
329,-1.76952879648651626e-06
330,0.00000000000000000e+00
331,-5.92359368078950767e-05
332,0.00000000000000000e+00
333,0.00000000000000000e+00
334,-0.00000000000000000e+00
335,-1.78431270352705337e-06
336,0.00000000000000000e+00
337,-6.10263530453227141e-05
338,0.00000000000000000e+00
339,0.00000000000000000e+00
340,-0.00000000000000000e+00
341,-1.79854557790548613e-06
342,0.00000000000000000e+00
343,-6.28307686467861193e-05
344,0.00000000000000000e+00
345,0.00000000000000000e+00
346,-0.00000000000000000e+00
347,-1.81223369596278501e-06
348,0.00000000000000000e+00
349,-6.46486416410547635e-05
350,0.00000000000000000e+00
351,0.00000000000000000e+00
352,-0.00000000000000000e+00
353,-1.82538355985523360e-06
354,0.00000000000000000e+00
355,-6.64794366575136258e-05
356,0.00000000000000000e+00
357,0.00000000000000000e+00
358,-0.00000000000000000e+00
359,-1.83800190154054872e-06
360,0.00000000000000000e+00
361,-6.83226251576767523e-05
362,0.00000000000000000e+00
363,0.00000000000000000e+00
364,-0.00000000000000000e+00
365,-1.85009568677300385e-06
366,0.00000000000000000e+00
367,-7.01776856706940263e-05
368,0.00000000000000000e+00
369,0.00000000000000000e+00
370,-0.00000000000000000e+00
371,-1.86167211909392651e-06
372,0.00000000000000000e+00
373,-7.20441040328521063e-05
374,0.00000000000000000e+00
375,0.00000000000000000e+00
376,-0.00000000000000000e+00
377,-1.87273864383081182e-06
378,0.00000000000000000e+00
379,-7.39213736310697809e-05
380,0.00000000000000000e+00
381,0.00000000000000000e+00
382,-0.00000000000000000e+00
383,-1.88330295208522353e-06
384,0.00000000000000000e+00
385,-7.58089956503799897e-05
386,0.00000000000000000e+00
387,0.00000000000000000e+00
388,-0.00000000000000000e+00
389,-1.89337298471803236e-06
390,0.00000000000000000e+00
391,-7.77064793254021957e-05
392,0.00000000000000000e+00
393,0.00000000000000000e+00
394,-0.00000000000000000e+00
395,-1.90295693634672922e-06
396,0.00000000000000000e+00
397,-7.96133421958069399e-05
398,0.00000000000000000e+00
399,0.00000000000000000e+00
400,-0.00000000000000000e+00
401,-1.91206325933050347e-06
402,0.00000000000000000e+00
403,-8.15291103657711264e-05
404,0.00000000000000000e+00
405,0.00000000000000000e+00
406,-0.00000000000000000e+00
407,-1.92070066776872059e-06
408,0.00000000000000000e+00
409,-8.34533187674276578e-05
410,0.00000000000000000e+00
411,0.00000000000000000e+00
412,-0.00000000000000000e+00
413,-1.92887814148952202e-06
414,0.00000000000000000e+00
415,-8.53855114283066019e-05
416,0.00000000000000000e+00
417,0.00000000000000000e+00
418,-0.00000000000000000e+00
419,-1.93660493004553152e-06
420,0.00000000000000000e+00
421,-8.73252417427699483e-05
422,0.00000000000000000e+00
423,0.00000000000000000e+00
424,-0.00000000000000000e+00
425,-1.94389055670447156e-06
426,0.00000000000000000e+00
427,-8.92720727474384664e-05
428,0.00000000000000000e+00
429,0.00000000000000000e+00
430,-0.00000000000000000e+00
431,-1.95074482244305835e-06
432,0.00000000000000000e+00
433,-9.12255774006066785e-05
434,0.00000000000000000e+00
435,0.00000000000000000e+00
436,-0.00000000000000000e+00
437,-1.95717780992778732e-06
438,0.00000000000000000e+00
439,-9.31853388656455147e-05
440,0.00000000000000000e+00
441,0.00000000000000000e+00
442,-0.00000000000000000e+00
443,-1.96319988751177372e-06
444,0.00000000000000000e+00
445,-9.51509507983991148e-05
446,0.00000000000000000e+00
447,0.00000000000000000e+00
448,-0.00000000000000000e+00
449,-1.96882171322488978e-06
450,0.00000000000000000e+00
451,-9.71220176385769287e-05
452,0.00000000000000000e+00
453,0.00000000000000000e+00
454,-0.00000000000000000e+00
455,-1.97405423877664927e-06
456,0.00000000000000000e+00
457,-9.90981549051407628e-05
458,0.00000000000000000e+00
459,0.00000000000000000e+00
460,-0.00000000000000000e+00
461,-1.97890871353971538e-06
462,0.00000000000000000e+00
463,-1.01078989495679306e-04
464,0.00000000000000000e+00
465,0.00000000000000000e+00
466,-0.00000000000000000e+00
467,-1.98339668854337099e-06
468,0.00000000000000000e+00
469,-1.03064159989773546e-04
470,0.00000000000000000e+00
471,0.00000000000000000e+00
472,-0.00000000000000000e+00
473,-1.98753002046042348e-06
474,0.00000000000000000e+00
475,-1.05053316956353130e-04
476,0.00000000000000000e+00
477,0.00000000000000000e+00
478,-0.00000000000000000e+00
479,-1.99132087560428592e-06
480,0.00000000000000000e+00
481,-1.07046123265044823e-04
482,0.00000000000000000e+00
483,0.00000000000000000e+00
484,-0.00000000000000000e+00
485,-1.99478173391345310e-06
486,0.00000000000000000e+00
487,-1.09042254401509804e-04
488,0.00000000000000000e+00
489,0.00000000000000000e+00
490,-0.00000000000000000e+00
491,-1.99792539294710794e-06
492,0.00000000000000000e+00
493,-1.11041398786775543e-04
