Row,Col,K Value
0,0,1.3729295580000066e+16
0,6,-1.3729295580000066e+16
1,1,73653703200001.03
1,5,42087830400000.59
1,7,-73653703200001.03
1,11,31565872800000.45
2,2,11409552000000.16
2,4,-6519744000000.093
2,8,-11409552000000.16
2,10,-4889808000000.069
3,3,105572.5650000005
3,9,-105572.5650000005
4,2,-6519744000000.091
4,4,3803184000000.053
4,8,6519744000000.091
4,10,2716560000000.0386
5,1,42087830400000.59
5,5,24551234400000.348
5,7,-42087830400000.59
5,11,17536596000000.25
6,0,-1.3729295580000066e+16
6,6,1.3729295580000066e+16
7,1,-73653703200001.03
7,5,-42087830400000.59
7,7,73653703200001.03
7,11,-31565872800000.45
8,2,-11409552000000.16
8,4,6519744000000.093
8,8,11409552000000.16
8,10,4889808000000.069
9,3,-105572.5650000005
9,9,105572.5650000005
10,2,-4889808000000.068
10,4,2716560000000.038
10,8,4889808000000.068
10,10,2173248000000.0312
11,1,31565872800000.45
11,5,17536596000000.25
11,7,-31565872800000.45
11,11,14029276800000.201
