Element ID,Local DOF,U Value
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,-2.1365599055603983e-08
0,8,0.0
0,9,0.0
0,10,0.0
0,11,-4.984250453869164e-08
1,0,0.0
1,1,-2.1365599055603983e-08
1,2,0.0
1,3,0.0
1,4,0.0
1,5,-4.984250453869164e-08
1,6,0.0
1,7,-9.228858503995758e-08
1,8,-0.0
1,9,0.0
1,10,0.0
1,11,-9.901973467741419e-08
2,0,0.0
2,1,-9.228858503995758e-08
2,2,-0.0
2,3,0.0
2,4,0.0
2,5,-9.901973467741419e-08
2,6,0.0
2,7,-2.1210368513059803e-07
2,8,-0.0
2,9,0.0
2,10,-0.0
2,11,-1.4753169416037081e-07
3,0,0.0
3,1,-2.1210368513059803e-07
3,2,-0.0
3,3,0.0
3,4,-0.0
3,5,-1.4753169416037081e-07
3,6,0.0
3,7,-3.8014563291041844e-07
3,8,0.0
3,9,0.0
3,10,-0.0
3,11,-1.9537839300449175e-07
4,0,0.0
4,1,-3.8014563291041844e-07
4,2,0.0
4,3,0.0
4,4,-0.0
4,5,-1.9537839300449175e-07
4,6,0.0
4,7,-5.957491763510673e-07
4,8,0.0
4,9,0.0
4,10,-0.0
4,11,-2.4255985149098123e-07
5,0,0.0
5,1,-5.957491763510673e-07
5,2,0.0
5,3,0.0
5,4,-0.0
5,5,-2.4255985149098123e-07
5,6,0.0
5,7,-8.582490897878919e-07
5,8,0.0
5,9,0.0
5,10,-0.0
5,11,-2.890761041568973e-07
6,0,0.0
6,1,-8.582490897878919e-07
6,2,0.0
6,3,0.0
6,4,-0.0
6,5,-2.890761041568973e-07
6,6,0.0
6,7,-1.1669801898866004e-06
6,8,0.0
6,9,0.0
6,10,-0.0
6,11,-3.3492720378702973e-07
7,0,0.0
7,1,-1.1669801898866004e-06
7,2,0.0
7,3,0.0
7,4,-0.0
7,5,-3.3492720378702973e-07
7,6,0.0
7,7,-1.5212773556016395e-06
7,8,0.0
7,9,0.0
7,10,-0.0
7,11,-3.8011322540540647e-07
8,0,0.0
8,1,-1.5212773556016395e-06
8,2,0.0
8,3,0.0
8,4,-0.0
8,5,-3.8011322540540647e-07
8,6,0.0
8,7,-1.9204755521261142e-06
8,8,0.0
8,9,0.0
8,10,-0.0
8,11,-4.246342702668858e-07
9,0,0.0
9,1,-1.9204755521261142e-06
9,2,0.0
9,3,0.0
9,4,-0.0
9,5,-4.246342702668858e-07
9,6,0.0
9,7,-2.363909858833197e-06
9,8,0.0
9,9,0.0
9,10,-0.0
9,11,-4.6849046984849814e-07
10,0,0.0
10,1,-2.363909858833197e-06
10,2,0.0
10,3,0.0
10,4,-0.0
10,5,-4.6849046984849814e-07
10,6,0.0
10,7,-2.850915501209039e-06
10,8,0.0
10,9,0.0
10,10,-0.0
10,11,-5.116819898411868e-07
11,0,0.0
11,1,-2.850915501209039e-06
11,2,0.0
11,3,0.0
11,4,-0.0
11,5,-5.116819898411868e-07
11,6,0.0
11,7,-3.3808278867773836e-06
11,8,0.0
11,9,0.0
11,10,0.0
11,11,-5.542090341414338e-07
12,0,0.0
12,1,-3.3808278867773836e-06
12,2,0.0
12,3,0.0
12,4,0.0
12,5,-5.542090341414338e-07
12,6,0.0
12,7,-3.952982645016015e-06
12,8,-0.0
12,9,0.0
12,10,-0.0
12,11,-5.960718488433969e-07
13,0,0.0
13,1,-3.952982645016015e-06
13,2,-0.0
13,3,0.0
13,4,-0.0
13,5,-5.960718488433969e-07
13,6,0.0
13,7,-4.566715671264494e-06
13,8,0.0
13,9,0.0
13,10,-0.0
13,11,-6.372707262289794e-07
14,0,0.0
14,1,-4.566715671264494e-06
14,2,0.0
14,3,0.0
14,4,-0.0
14,5,-6.372707262289794e-07
14,6,0.0
14,7,-5.221363174623457e-06
14,8,0.0
14,9,0.0
14,10,-0.0
14,11,-6.778060087616188e-07
15,0,0.0
15,1,-5.221363174623457e-06
15,2,0.0
15,3,0.0
15,4,-0.0
15,5,-6.778060087616188e-07
15,6,0.0
15,7,-5.916261729847244e-06
15,8,0.0
15,9,0.0
15,10,-0.0
15,11,-7.176780930786818e-07
16,0,0.0
16,1,-5.916261729847244e-06
16,2,0.0
16,3,0.0
16,4,-0.0
16,5,-7.176780930786818e-07
16,6,0.0
16,7,-6.650748333227628e-06
16,8,0.0
16,9,0.0
16,10,-0.0
16,11,-7.568874339810225e-07
17,0,0.0
17,1,-6.650748333227628e-06
17,2,0.0
17,3,0.0
17,4,-0.0
17,5,-7.568874339810225e-07
17,6,0.0
17,7,-7.424160462468086e-06
17,8,0.0
17,9,0.0
17,10,-0.0
17,11,-7.954345484248582e-07
18,0,0.0
18,1,-7.424160462468086e-06
18,2,0.0
18,3,0.0
18,4,-0.0
18,5,-7.954345484248582e-07
18,6,0.0
18,7,-8.235836140549893e-06
18,8,0.0
18,9,0.0
18,10,-0.0
18,11,-8.33320019513455e-07
19,0,0.0
19,1,-8.235836140549893e-06
19,2,0.0
19,3,0.0
19,4,-0.0
19,5,-8.33320019513455e-07
19,6,0.0
19,7,-9.08511400359012e-06
19,8,0.0
19,9,0.0
19,10,-0.0
19,11,-8.705445004893471e-07
20,0,0.0
20,1,-9.08511400359012e-06
20,2,0.0
20,3,0.0
20,4,-0.0
20,5,-8.705445004893471e-07
20,6,0.0
20,7,-9.971333372691938e-06
20,8,0.0
20,9,0.0
20,10,-0.0
20,11,-9.071087187267496e-07
21,0,0.0
21,1,-9.971333372691938e-06
21,2,0.0
21,3,0.0
21,4,-0.0
21,5,-9.071087187267496e-07
21,6,0.0
21,7,-1.0893834329786784e-05
21,8,0.0
21,9,0.0
21,10,-0.0
21,11,-9.430134797227006e-07
22,0,0.0
22,1,-1.0893834329786784e-05
22,2,0.0
22,3,0.0
22,4,-0.0
22,5,-9.430134797227006e-07
22,6,0.0
22,7,-1.1851957797467486e-05
22,8,0.0
22,9,0.0
22,10,-0.0
22,11,-9.782596710877214e-07
23,0,0.0
23,1,-1.1851957797467486e-05
23,2,0.0
23,3,0.0
23,4,-0.0
23,5,-9.782596710877214e-07
23,6,0.0
23,7,-1.2845045622812496e-05
23,8,0.0
23,9,0.0
23,10,-0.0
23,11,-1.012848266537599e-06
24,0,0.0
24,1,-1.2845045622812496e-05
24,2,0.0
24,3,0.0
24,4,-0.0
24,5,-1.012848266537599e-06
24,6,0.0
24,7,-1.387244066520203e-05
24,8,0.0
24,9,0.0
24,10,-0.0
24,11,-1.0467803298854497e-06
25,0,0.0
25,1,-1.387244066520203e-05
25,2,0.0
25,3,0.0
25,4,-0.0
25,5,-1.0467803298854497e-06
25,6,0.0
25,7,-1.4933486888125548e-05
25,8,0.0
25,9,0.0
25,10,-0.0
25,11,-1.0800570190320232e-06
26,0,0.0
26,1,-1.4933486888125548e-05
26,2,0.0
26,3,0.0
26,4,-0.0
26,5,-1.0800570190320232e-06
26,6,0.0
26,7,-1.6027529454980937e-05
26,8,0.0
26,9,0.0
26,10,-0.0
26,11,-1.1126795899593653e-06
27,0,0.0
27,1,-1.6027529454980937e-05
27,2,0.0
27,3,0.0
27,4,-0.0
27,5,-1.1126795899593653e-06
27,6,0.0
27,7,-1.715391482886641e-05
27,8,0.0
27,9,0.0
27,10,-0.0
27,11,-1.1446494007222134e-06
28,0,0.0
28,1,-1.715391482886641e-05
28,2,0.0
28,3,0.0
28,4,-0.0
28,5,-1.1446494007222134e-06
28,6,0.0
28,7,-1.8311990876363902e-05
28,8,0.0
28,9,0.0
28,10,-0.0
28,11,-1.1759679154396072e-06
29,0,0.0
29,1,-1.8311990876363902e-05
