Global DOF,Value
0,0.000000000000e+00
1,0.000000000000e+00
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,0.000000000000e+00
6,0.000000000000e+00
7,-7.332429679219e-04
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,0.000000000000e+00
12,0.000000000000e+00
13,-2.733100340032e-03
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,0.000000000000e+00
18,0.000000000000e+00
19,-6.733093828452e-03
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,0.000000000000e+00
24,0.000000000000e+00
25,-1.273316927567e-02
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,0.000000000000e+00
30,0.000000000000e+00
31,-2.073327252416e-02
32,0.000000000000e+00
33,0.000000000000e+00
34,0.000000000000e+00
35,0.000000000000e+00
36,0.000000000000e+00
37,-3.073334941641e-02
38,0.000000000000e+00
39,0.000000000000e+00
40,0.000000000000e+00
41,0.000000000000e+00
42,0.000000000000e+00
43,-4.273334949184e-02
44,0.000000000000e+00
45,0.000000000000e+00
46,0.000000000000e+00
47,0.000000000000e+00
48,0.000000000000e+00
49,-5.673325074108e-02
50,0.000000000000e+00
51,0.000000000000e+00
52,0.000000000000e+00
53,0.000000000000e+00
54,0.000000000000e+00
55,-7.273307846121e-02
56,0.000000000000e+00
57,0.000000000000e+00
58,0.000000000000e+00
59,0.000000000000e+00
60,0.000000000000e+00
61,-9.073294113287e-02
62,0.000000000000e+00
63,0.000000000000e+00
64,0.000000000000e+00
65,0.000000000000e+00
66,0.000000000000e+00
67,-1.107329280298e-01
68,0.000000000000e+00
69,0.000000000000e+00
70,0.000000000000e+00
71,0.000000000000e+00
72,0.000000000000e+00
73,-1.327330742241e-01
74,0.000000000000e+00
75,0.000000000000e+00
76,0.000000000000e+00
77,0.000000000000e+00
78,0.000000000000e+00
79,-1.567332744478e-01
80,0.000000000000e+00
81,0.000000000000e+00
82,0.000000000000e+00
83,0.000000000000e+00
84,0.000000000000e+00
85,-1.827333676630e-01
86,0.000000000000e+00
87,0.000000000000e+00
88,0.000000000000e+00
89,0.000000000000e+00
90,0.000000000000e+00
91,-2.107332607566e-01
92,0.000000000000e+00
93,0.000000000000e+00
94,0.000000000000e+00
95,0.000000000000e+00
96,0.000000000000e+00
97,-2.407329853127e-01
98,0.000000000000e+00
99,0.000000000000e+00
100,0.000000000000e+00
101,0.000000000000e+00
102,0.000000000000e+00
103,-2.727327505958e-01
104,0.000000000000e+00
105,0.000000000000e+00
106,0.000000000000e+00
107,0.000000000000e+00
108,0.000000000000e+00
109,-3.067327208347e-01
110,0.000000000000e+00
111,0.000000000000e+00
112,0.000000000000e+00
113,0.000000000000e+00
114,0.000000000000e+00
115,-3.427329636486e-01
116,0.000000000000e+00
117,0.000000000000e+00
118,0.000000000000e+00
119,0.000000000000e+00
120,0.000000000000e+00
121,-3.807332927745e-01
122,0.000000000000e+00
123,0.000000000000e+00
124,0.000000000000e+00
125,0.000000000000e+00
126,0.000000000000e+00
127,-4.207334564937e-01
128,0.000000000000e+00
129,0.000000000000e+00
130,0.000000000000e+00
131,0.000000000000e+00
132,0.000000000000e+00
133,-4.627333096792e-01
134,0.000000000000e+00
135,0.000000000000e+00
136,0.000000000000e+00
137,0.000000000000e+00
138,0.000000000000e+00
139,-5.067329210744e-01
140,0.000000000000e+00
141,0.000000000000e+00
142,0.000000000000e+00
143,0.000000000000e+00
144,0.000000000000e+00
145,-5.527326009385e-01
146,0.000000000000e+00
147,0.000000000000e+00
148,0.000000000000e+00
149,0.000000000000e+00
150,0.000000000000e+00
151,-6.007325764858e-01
152,0.000000000000e+00
153,0.000000000000e+00
154,0.000000000000e+00
155,0.000000000000e+00
156,0.000000000000e+00
157,-6.507329296386e-01
158,0.000000000000e+00
159,0.000000000000e+00
160,0.000000000000e+00
161,0.000000000000e+00
162,0.000000000000e+00
163,-7.027333777585e-01
164,0.000000000000e+00
165,0.000000000000e+00
166,0.000000000000e+00
167,0.000000000000e+00
168,0.000000000000e+00
169,-7.567335885631e-01
170,0.000000000000e+00
171,0.000000000000e+00
172,0.000000000000e+00
173,0.000000000000e+00
174,0.000000000000e+00
175,-8.127333747842e-01
176,0.000000000000e+00
177,0.000000000000e+00
178,0.000000000000e+00
179,0.000000000000e+00
180,0.000000000000e+00
181,-8.707328673242e-01
182,0.000000000000e+00
183,0.000000000000e+00
184,0.000000000000e+00
185,0.000000000000e+00
186,0.000000000000e+00
187,-9.307324751549e-01
188,0.000000000000e+00
189,0.000000000000e+00
190,0.000000000000e+00
191,0.000000000000e+00
192,0.000000000000e+00
193,-9.927324804640e-01
194,0.000000000000e+00
195,0.000000000000e+00
196,0.000000000000e+00
197,0.000000000000e+00
198,0.000000000000e+00
199,-1.056732957719e+00
200,0.000000000000e+00
201,0.000000000000e+00
202,0.000000000000e+00
203,0.000000000000e+00
204,0.000000000000e+00
205,-1.122733518046e+00
206,0.000000000000e+00
207,0.000000000000e+00
208,0.000000000000e+00
209,0.000000000000e+00
210,0.000000000000e+00
211,-1.190733758723e+00
212,0.000000000000e+00
213,0.000000000000e+00
214,0.000000000000e+00
215,0.000000000000e+00
216,0.000000000000e+00
217,-1.260733459892e+00
218,0.000000000000e+00
219,0.000000000000e+00
220,0.000000000000e+00
221,0.000000000000e+00
222,0.000000000000e+00
223,-1.332732837641e+00
224,0.000000000000e+00
225,0.000000000000e+00
226,0.000000000000e+00
227,0.000000000000e+00
228,0.000000000000e+00
229,-1.406732393976e+00
230,0.000000000000e+00
231,0.000000000000e+00
232,0.000000000000e+00
233,0.000000000000e+00
234,0.000000000000e+00
235,-1.482732458680e+00
236,0.000000000000e+00
237,0.000000000000e+00
238,0.000000000000e+00
239,0.000000000000e+00
240,0.000000000000e+00
241,-1.560733072832e+00
242,0.000000000000e+00
243,0.000000000000e+00
244,0.000000000000e+00
245,0.000000000000e+00
246,0.000000000000e+00
247,-1.640733734972e+00
248,0.000000000000e+00
249,0.000000000000e+00
250,0.000000000000e+00
