Global DOF,Value
0,0.000000000000e+00
1,-3.333333631765e+02
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,-2.516384372346e+04
6,0.000000000000e+00
7,3.335889149549e-10
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,0.000000000000e+00
12,0.000000000000e+00
13,-1.065694906453e-09
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,-4.656612873077e-10
18,0.000000000000e+00
19,2.230996958624e-07
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,-9.313225746155e-10
24,0.000000000000e+00
25,1.080021734719e-08
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,-9.313225746155e-10
30,0.000000000000e+00
31,-1.663116648218e-08
32,0.000000000000e+00
33,0.000000000000e+00
34,0.000000000000e+00
35,8.381903171539e-09
36,0.000000000000e+00
37,-2.296642209743e-08
38,0.000000000000e+00
39,0.000000000000e+00
40,0.000000000000e+00
41,-5.587935447693e-09
42,0.000000000000e+00
43,-3.411341403109e-08
44,0.000000000000e+00
45,0.000000000000e+00
46,0.000000000000e+00
47,4.656612873077e-09
48,0.000000000000e+00
49,6.879477609106e-08
50,0.000000000000e+00
51,0.000000000000e+00
52,0.000000000000e+00
53,2.793967723846e-09
54,0.000000000000e+00
55,-9.157888015976e-08
56,0.000000000000e+00
57,0.000000000000e+00
58,0.000000000000e+00
59,1.955777406693e-08
60,0.000000000000e+00
61,-7.179466909868e-09
62,0.000000000000e+00
63,0.000000000000e+00
64,0.000000000000e+00
65,-4.097819328308e-08
66,0.000000000000e+00
67,-6.344126063373e-08
68,0.000000000000e+00
69,0.000000000000e+00
70,0.000000000000e+00
71,2.607703208923e-08
72,0.000000000000e+00
73,-1.976499272582e-08
74,0.000000000000e+00
75,0.000000000000e+00
76,0.000000000000e+00
77,2.235174179077e-08
78,0.000000000000e+00
79,-1.542258142223e-06
80,0.000000000000e+00
81,0.000000000000e+00
82,0.000000000000e+00
83,1.490116119385e-08
84,0.000000000000e+00
85,-9.266675185526e-08
86,0.000000000000e+00
87,0.000000000000e+00
88,0.000000000000e+00
89,-1.303851604462e-08
90,0.000000000000e+00
91,1.194120944903e-07
92,0.000000000000e+00
93,0.000000000000e+00
94,0.000000000000e+00
95,2.793967723846e-08
96,0.000000000000e+00
97,-3.981093593675e-08
98,0.000000000000e+00
99,0.000000000000e+00
100,0.000000000000e+00
101,8.381903171539e-08
102,0.000000000000e+00
103,-7.179498551224e-08
104,0.000000000000e+00
105,0.000000000000e+00
106,0.000000000000e+00
107,4.842877388000e-08
108,0.000000000000e+00
109,-5.508732103809e-08
110,0.000000000000e+00
111,0.000000000000e+00
112,0.000000000000e+00
113,3.911554813385e-08
114,0.000000000000e+00
115,1.922874118265e-07
116,0.000000000000e+00
117,0.000000000000e+00
118,0.000000000000e+00
119,4.656612873077e-08
120,0.000000000000e+00
121,3.702820272622e-08
122,0.000000000000e+00
123,0.000000000000e+00
124,0.000000000000e+00
125,-2.235174179077e-08
126,0.000000000000e+00
127,2.142664262683e-08
128,0.000000000000e+00
129,0.000000000000e+00
130,0.000000000000e+00
131,-1.247972249985e-07
132,0.000000000000e+00
133,1.415978199693e-07
134,0.000000000000e+00
135,0.000000000000e+00
136,0.000000000000e+00
137,0.000000000000e+00
138,0.000000000000e+00
139,-2.299950201401e-07
140,0.000000000000e+00
141,0.000000000000e+00
142,0.000000000000e+00
143,3.352761268616e-08
144,0.000000000000e+00
145,1.051314725276e-07
146,0.000000000000e+00
147,0.000000000000e+00
148,0.000000000000e+00
149,-2.644956111908e-07
150,0.000000000000e+00
151,3.088153157638e-07
152,0.000000000000e+00
153,0.000000000000e+00
154,0.000000000000e+00
155,1.527369022369e-07
156,0.000000000000e+00
157,-3.751432323673e-07
158,0.000000000000e+00
159,0.000000000000e+00
160,0.000000000000e+00
161,-7.450580596924e-09
162,0.000000000000e+00
163,-1.665392205252e-07
164,0.000000000000e+00
165,0.000000000000e+00
166,0.000000000000e+00
167,1.080334186554e-07
168,0.000000000000e+00
169,1.418722498370e-07
170,0.000000000000e+00
171,0.000000000000e+00
172,0.000000000000e+00
173,1.601874828339e-07
174,0.000000000000e+00
175,-3.429748817174e-07
176,0.000000000000e+00
177,0.000000000000e+00
178,0.000000000000e+00
179,8.195638656616e-08
180,0.000000000000e+00
181,6.173016463551e-07
182,0.000000000000e+00
183,0.000000000000e+00
184,0.000000000000e+00
185,-1.676380634308e-07
186,0.000000000000e+00
187,-1.727872569468e-07
188,0.000000000000e+00
189,0.000000000000e+00
190,0.000000000000e+00
191,-1.154839992523e-07
192,0.000000000000e+00
193,-2.387142410409e-07
194,0.000000000000e+00
195,0.000000000000e+00
196,0.000000000000e+00
197,-2.495944499969e-07
198,0.000000000000e+00
199,1.513380774032e-07
200,0.000000000000e+00
201,0.000000000000e+00
202,0.000000000000e+00
203,1.229345798492e-07
204,0.000000000000e+00
205,-6.030622263786e-07
206,0.000000000000e+00
207,0.000000000000e+00
208,0.000000000000e+00
209,-3.091990947723e-07
210,0.000000000000e+00
211,-1.098865405336e-07
212,0.000000000000e+00
213,0.000000000000e+00
214,0.000000000000e+00
215,-4.619359970093e-07
216,0.000000000000e+00
217,-3.993532937674e-07
218,0.000000000000e+00
219,0.000000000000e+00
220,0.000000000000e+00
221,-3.278255462646e-07
222,0.000000000000e+00
223,4.433152753780e-07
224,0.000000000000e+00
