Global DOF,Value
0,0.000000000000e+00
1,0.000000000000e+00
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,0.000000000000e+00
6,0.000000000000e+00
7,-2.136559905560e-08
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,-4.984250453869e-08
12,0.000000000000e+00
13,-9.228858503996e-08
14,-0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,-9.901973467741e-08
18,0.000000000000e+00
19,-2.121036851306e-07
20,-0.000000000000e+00
21,0.000000000000e+00
22,-0.000000000000e+00
23,-1.475316941604e-07
24,0.000000000000e+00
25,-3.801456329104e-07
26,0.000000000000e+00
27,0.000000000000e+00
28,-0.000000000000e+00
29,-1.953783930045e-07
30,0.000000000000e+00
31,-5.957491763511e-07
32,0.000000000000e+00
33,0.000000000000e+00
34,-0.000000000000e+00
35,-2.425598514910e-07
36,0.000000000000e+00
37,-8.582490897879e-07
38,0.000000000000e+00
39,0.000000000000e+00
40,-0.000000000000e+00
41,-2.890761041569e-07
42,0.000000000000e+00
43,-1.166980189887e-06
44,0.000000000000e+00
45,0.000000000000e+00
46,-0.000000000000e+00
47,-3.349272037870e-07
48,0.000000000000e+00
49,-1.521277355602e-06
50,0.000000000000e+00
51,0.000000000000e+00
52,-0.000000000000e+00
53,-3.801132254054e-07
54,0.000000000000e+00
55,-1.920475552126e-06
56,0.000000000000e+00
57,0.000000000000e+00
58,-0.000000000000e+00
59,-4.246342702669e-07
60,0.000000000000e+00
61,-2.363909858833e-06
62,0.000000000000e+00
63,0.000000000000e+00
64,-0.000000000000e+00
65,-4.684904698485e-07
66,0.000000000000e+00
67,-2.850915501209e-06
68,0.000000000000e+00
69,0.000000000000e+00
70,-0.000000000000e+00
71,-5.116819898412e-07
72,0.000000000000e+00
73,-3.380827886777e-06
74,0.000000000000e+00
75,0.000000000000e+00
76,0.000000000000e+00
77,-5.542090341414e-07
78,0.000000000000e+00
79,-3.952982645016e-06
80,-0.000000000000e+00
81,0.000000000000e+00
82,-0.000000000000e+00
83,-5.960718488434e-07
84,0.000000000000e+00
85,-4.566715671264e-06
86,0.000000000000e+00
87,0.000000000000e+00
88,-0.000000000000e+00
89,-6.372707262290e-07
90,0.000000000000e+00
91,-5.221363174623e-06
92,0.000000000000e+00
93,0.000000000000e+00
94,-0.000000000000e+00
95,-6.778060087616e-07
96,0.000000000000e+00
97,-5.916261729847e-06
98,0.000000000000e+00
99,0.000000000000e+00
100,-0.000000000000e+00
101,-7.176780930787e-07
102,0.000000000000e+00
103,-6.650748333228e-06
104,0.000000000000e+00
105,0.000000000000e+00
106,-0.000000000000e+00
107,-7.568874339810e-07
108,0.000000000000e+00
109,-7.424160462468e-06
110,0.000000000000e+00
111,0.000000000000e+00
112,-0.000000000000e+00
113,-7.954345484249e-07
114,0.000000000000e+00
115,-8.235836140550e-06
116,0.000000000000e+00
117,0.000000000000e+00
118,-0.000000000000e+00
119,-8.333200195135e-07
120,0.000000000000e+00
121,-9.085114003590e-06
122,0.000000000000e+00
123,0.000000000000e+00
124,-0.000000000000e+00
125,-8.705445004893e-07
126,0.000000000000e+00
127,-9.971333372692e-06
128,0.000000000000e+00
129,0.000000000000e+00
130,-0.000000000000e+00
131,-9.071087187267e-07
132,0.000000000000e+00
133,-1.089383432979e-05
134,0.000000000000e+00
135,0.000000000000e+00
136,-0.000000000000e+00
137,-9.430134797227e-07
138,0.000000000000e+00
139,-1.185195779747e-05
140,0.000000000000e+00
141,0.000000000000e+00
142,-0.000000000000e+00
143,-9.782596710877e-07
144,0.000000000000e+00
145,-1.284504562281e-05
146,0.000000000000e+00
147,0.000000000000e+00
148,-0.000000000000e+00
149,-1.012848266538e-06
150,0.000000000000e+00
151,-1.387244066520e-05
152,0.000000000000e+00
153,0.000000000000e+00
154,-0.000000000000e+00
155,-1.046780329885e-06
156,0.000000000000e+00
157,-1.493348688813e-05
158,0.000000000000e+00
159,0.000000000000e+00
160,-0.000000000000e+00
161,-1.080057019032e-06
162,0.000000000000e+00
163,-1.602752945498e-05
164,0.000000000000e+00
165,0.000000000000e+00
166,-0.000000000000e+00
167,-1.112679589959e-06
168,0.000000000000e+00
169,-1.715391482887e-05
170,0.000000000000e+00
171,0.000000000000e+00
172,-0.000000000000e+00
173,-1.144649400722e-06
174,0.000000000000e+00
175,-1.831199087636e-05
176,0.000000000000e+00
177,0.000000000000e+00
178,-0.000000000000e+00
179,-1.175967915440e-06
180,0.000000000000e+00
181,-1.950110697531e-05
182,0.000000000000e+00
183,0.000000000000e+00
184,-0.000000000000e+00
185,-1.206636708286e-06
186,0.000000000000e+00
187,-2.072061412658e-05
188,0.000000000000e+00
189,0.000000000000e+00
190,-0.000000000000e+00
191,-1.236657467484e-06
192,0.000000000000e+00
193,-2.196986506982e-05
194,0.000000000000e+00
195,0.000000000000e+00
196,-0.000000000000e+00
197,-1.266031999293e-06
198,0.000000000000e+00
199,-2.324821440320e-05
200,0.000000000000e+00
201,0.000000000000e+00
202,-0.000000000000e+00
203,-1.294762232002e-06
204,0.000000000000e+00
205,-2.455501870717e-05
206,0.000000000000e+00
207,0.000000000000e+00
208,-0.000000000000e+00
209,-1.322850219924e-06
210,0.000000000000e+00
211,-2.588963667220e-05
212,0.000000000000e+00
213,0.000000000000e+00
214,-0.000000000000e+00
215,-1.350298147386e-06
216,0.000000000000e+00
217,-2.725142923047e-05
218,0.000000000000e+00
219,0.000000000000e+00
220,-0.000000000000e+00
221,-1.377108332721e-06
222,0.000000000000e+00
223,-2.863975969161e-05
224,0.000000000000e+00
225,0.000000000000e+00
226,-0.000000000000e+00
227,-1.403283232257e-06
228,0.000000000000e+00
229,-3.005399388242e-05
230,0.000000000000e+00
231,0.000000000000e+00
232,-0.000000000000e+00
233,-1.428825444314e-06
234,0.000000000000e+00
235,-3.149350029054e-05
236,0.000000000000e+00
237,0.000000000000e+00
238,-0.000000000000e+00
239,-1.453737713188e-06
240,0.000000000000e+00
241,-3.295765021215e-05
242,0.000000000000e+00
243,0.000000000000e+00
