Row,Col,K Value
0,0,1.20000030000075035e+10
0,4,-6.00000600000600052e+09
1,1,3.02406274805670090e+10
1,5,-1.51203477609979210e+10
2,2,1.20960695520907227e+11
2,6,-6.04804838412700806e+10
3,3,3.93922781480916962e+06
3,7,-1.96961538461538474e+06
4,0,-6.00000600000600052e+09
4,4,1.20000030000075035e+10
4,8,-5.99999700000150204e+09
5,1,-1.51203477609979210e+10
5,5,3.02406274805670166e+10
5,9,-1.51202797195690975e+10
6,2,-6.04804838412700806e+10
6,6,1.20960695520907257e+11
6,10,-6.04802116796371765e+10
7,3,-1.96961538461538474e+06
7,7,3.93922781480917055e+06
7,11,-1.96961243019378558e+06
8,4,-5.99999700000150204e+09
8,8,5.99999700000150204e+09
9,5,-1.51202797195690975e+10
9,9,1.51202797195690975e+10
10,6,-6.04802116796371765e+10
10,10,6.04802116796371765e+10
11,7,-1.96961243019378558e+06
11,11,1.96961243019378558e+06
