Row,Col,K Value
0,0,1.20960695520907269e+47
1,1,1.20960695520907269e+47
2,2,1.20960695520907269e+47
3,3,1.20960695520907269e+47
4,4,1.20960695520907269e+47
5,5,1.20960695520907269e+47
6,6,1.20000030000075035e+10
6,12,-6.00000600000600052e+09
7,7,3.02406274805670090e+10
7,13,-1.51203477609979210e+10
8,8,1.20960695520907227e+11
8,14,-6.04804838412700806e+10
9,9,3.93922781480916962e+06
9,15,-1.96961538461538474e+06
12,6,-6.00000600000600052e+09
12,12,1.20000030000075035e+10
12,18,-5.99999700000150204e+09
13,7,-1.51203477609979210e+10
13,13,3.02406274805670166e+10
13,19,-1.51202797195690975e+10
14,8,-6.04804838412700806e+10
14,14,1.20960695520907257e+11
14,20,-6.04802116796371765e+10
15,9,-1.96961538461538474e+06
15,15,3.93922781480917055e+06
15,21,-1.96961243019378558e+06
18,12,-5.99999700000150204e+09
18,18,5.99999700000150204e+09
19,13,-1.51202797195690975e+10
19,19,1.51202797195690975e+10
20,14,-6.04802116796371765e+10
20,20,6.04802116796371765e+10
21,15,-1.96961243019378558e+06
21,21,1.96961243019378558e+06
