2025-06-15 21:13:18,575 [DEBUG] 📁 Log file created at: \\mull.sms.ed.ac.uk\home\s1834431\Win7\Desktop\fem_model\post_processing\results\job_0010_2025-06-15_21-13-12-698996_pid39132_b4fcff10\logs\ModifyGlobalSystem.log (Module: boundary_conditions, Line: 82)
2025-06-15 21:13:18,576 [INFO] 🔧 Applying stabilized boundary conditions... (Module: boundary_conditions, Line: 100)
2025-06-15 21:13:18,577 [DEBUG] Computed penalty value: 4.48e+51 (Module: boundary_conditions, Line: 126)
2025-06-15 21:13:18,579 [DEBUG] 
======================================== System Diagnostics ======================================== (Module: boundary_conditions, Line: 171)
2025-06-15 21:13:18,579 [DEBUG] Original Non-zeros: 1204
Modified Non-zeros: 1398
Penalty Value: 4.48e+51
Stabilization Factor: 4.48e+41 (Module: boundary_conditions, Line: 183)
2025-06-15 21:13:18,590 [DEBUG] 
Matrix Sample (COO format):
 Row  Col         Value
  23   23  4.480022e+41
 363  357 -6.565378e+07
 288  288  4.480022e+41
 408  408  4.480022e+41
 206  212 -2.240011e+15
   7   13 -5.600112e+14
 379  385 -5.600112e+14
 117  111 -6.565378e+07
 511  517 -5.600112e+14
 206  206  4.480022e+41
 319  319  4.480022e+41
  66   72 -2.000000e+11
 488  488  4.480022e+41
   1    1  4.480022e+51
 165  165  4.480022e+41
 521  521  4.480022e+41
 373  379 -5.600112e+14
 414  420 -2.000000e+11
 381  387 -6.565378e+07
 494  494  4.480022e+41
 297  291 -6.565378e+07
 367  367  4.480022e+41
 416  410 -2.240011e+15
 505  505  4.480022e+41
  22   22  4.480022e+41
 431  431  4.480022e+41
 453  459 -6.565378e+07
 405  405  4.480022e+41
 352  352  4.480022e+41
  26   26  4.480022e+41
  36   36  4.480022e+41
 476  470 -2.240011e+15
 465  459 -6.565378e+07
 584  578 -2.240011e+15
 141  147 -6.565378e+07
 442  442  4.480022e+41
 259  265 -5.600112e+14
 425  425  4.480022e+41
 493  493  4.480022e+41
 583  577 -5.600112e+14
  96   90 -2.000000e+11
 260  260  4.480022e+41
 294  300 -2.000000e+11
 205  205  4.480022e+41
 292  292  4.480022e+41
 529  529  4.480022e+41
 356  356  4.480022e+41
 423  423  4.480022e+41
 532  532  4.480022e+41
 464  458 -2.240011e+15
 459  465 -6.565378e+07
 587  587  4.480022e+41
 105  105  4.480022e+41
 389  389  4.480022e+41
 171  165 -6.565378e+07
  58   58  4.480022e+41
 517  511 -5.600112e+14
 150  144 -2.000000e+11
 117  117  4.480022e+41
 296  296  4.480022e+41
 246  252 -2.000000e+11
 186  186  4.480022e+41
 596  602 -2.240011e+15
 507  501 -6.565378e+07
 597  597  4.480022e+41
 537  543 -6.565378e+07
 552  552  4.480022e+41
 317  317  4.480022e+41
  56   50 -2.240011e+15
 254  260 -2.240011e+15
 523  523  4.480022e+41
 429  429  4.480022e+41
 553  553  4.480022e+41
 312  318 -2.000000e+11
 307  307  4.480022e+41
  19   25 -5.600112e+14
 381  381  4.480022e+41
 129  129  4.480022e+41
 491  491  4.480022e+41
 160  160  4.480022e+41
 409  409  4.480022e+41
  28   28  4.480022e+41
  87   87  4.480022e+41
 441  435 -6.565378e+07
 441  447 -6.565378e+07
 285  279 -6.565378e+07
  68   74 -2.240011e+15
 453  447 -6.565378e+07
 301  307 -5.600112e+14
 566  566  4.480022e+41
 336  330 -2.000000e+11
  54   60 -2.000000e+11
 600  594 -2.000000e+11
  72   66 -2.000000e+11
  43   49 -5.600112e+14
  96  102 -2.000000e+11
 399  405 -6.565378e+07
 189  195 -6.565378e+07
 330  330  4.480022e+41
 399  399  4.480022e+41
 223  223  4.480022e+41
 288  294 -2.000000e+11
 593  593  4.480022e+41
   9    9  4.480022e+41
 153  153  4.480022e+41
 522  522  4.480022e+41
  97   97  4.480022e+41
 481  481  4.480022e+41
 273  267 -6.565378e+07
 232  232  4.480022e+41
 361  367 -5.600112e+14
  99   93 -6.565378e+07
 210  210  4.480022e+41
 300  300  4.480022e+41
 402  408 -2.000000e+11
 265  265  4.480022e+41
 530  530  4.480022e+41
 434  434  4.480022e+41
 355  361 -5.600112e+14
  99   99  4.480022e+41
 338  332 -2.240011e+15
 326  332 -2.240011e+15
  73   73  4.480022e+41
 192  186 -2.000000e+11
 512  506 -2.240011e+15
  68   62 -2.240011e+15
 558  552 -2.000000e+11
 260  254 -2.240011e+15
 512  512  4.480022e+41
 498  498  4.480022e+41
 241  235 -5.600112e+14
 397  403 -5.600112e+14
 534  534  4.480022e+41
 459  453 -6.565378e+07
 231  225 -6.565378e+07
  86   80 -2.240011e+15
 296  302 -2.240011e+15
 542  542  4.480022e+41
 242  248 -2.240011e+15
  15    9 -6.565378e+07
 409  403 -5.600112e+14
 176  176  4.480022e+41
 410  410  4.480022e+41
 531  531  4.480022e+41
 581  581  4.480022e+41
 122  128 -2.240011e+15
 552  546 -2.000000e+11
  80   80  4.480022e+41
 218  218  4.480022e+41
 517  523 -5.600112e+14
  16   16  4.480022e+41
 354  354  4.480022e+41
 278  272 -2.240011e+15
 115  109 -5.600112e+14
 507  513 -6.565378e+07
 174  180 -2.000000e+11
 134  134  4.480022e+41
 248  248  4.480022e+41
 477  483 -6.565378e+07
  84   84  4.480022e+41
 115  121 -5.600112e+14
 187  181 -5.600112e+14
 278  278  4.480022e+41
 470  470  4.480022e+41
 212  212  4.480022e+41
 254  254  4.480022e+41
 211  217 -5.600112e+14
  55   49 -5.600112e+14
  45   39 -6.565378e+07
 277  271 -5.600112e+14
 447  447  4.480022e+41
  43   37 -5.600112e+14
 477  471 -6.565378e+07
  63   57 -6.565378e+07
  50   50  4.480022e+41
 396  396  4.480022e+41
 452  446 -2.240011e+15
  27   33 -6.565378e+07
 332  326 -2.240011e+15
 237  237  4.480022e+41
 320  326 -2.240011e+15
 416  422 -2.240011e+15
 278  284 -2.240011e+15
 482  482  4.480022e+41
 177  183 -6.565378e+07
 140  140  4.480022e+41
 428  434 -2.240011e+15
 365  365  4.480022e+41
 175  181 -5.600112e+14
 259  253 -5.600112e+14
 492  498 -2.000000e+11
  90   96 -2.000000e+11
 204  198 -2.000000e+11
  15   21 -6.565378e+07
 529  535 -5.600112e+14
 298  298  4.480022e+41
 510  510  4.480022e+41
  92   86 -2.240011e+15
   6   12 -2.000000e+11
  83   83  4.480022e+41
 135  141 -6.565378e+07
 145  145  4.480022e+41
 603  597 -6.565378e+07
 137  137  4.480022e+41
 470  464 -2.240011e+15
  48   48  4.480022e+41
 329  329  4.480022e+41
 525  531 -6.565378e+07
 197  197  4.480022e+41
 451  451  4.480022e+41
 550  550  4.480022e+41
 393  399 -6.565378e+07
 266  272 -2.240011e+15
 117  123 -6.565378e+07
 261  267 -6.565378e+07
 111  117 -6.565378e+07
  85   91 -5.600112e+14
 505  499 -5.600112e+14
 572  578 -2.240011e+15
 570  570  4.480022e+41
 159  165 -6.565378e+07
 109  103 -5.600112e+14
 108  114 -2.000000e+11
 492  492  4.480022e+41
 321  315 -6.565378e+07
 540  534 -2.000000e+11
 487  493 -5.600112e+14
  14   14  4.480022e+41
 393  393  4.480022e+41
 595  601 -5.600112e+14
 132  132  4.480022e+41
 242  242  4.480022e+41
 573  573  4.480022e+41
 564  558 -2.000000e+11
 378  372 -2.000000e+11
  44   50 -2.240011e+15
 228  234 -2.000000e+11
 103   97 -5.600112e+14
 157  163 -5.600112e+14
 332  338 -2.240011e+15
  84   90 -2.000000e+11
 485  485  4.480022e+41
 482  476 -2.240011e+15
  24   30 -2.000000e+11
 103  103  4.480022e+41
 273  279 -6.565378e+07
  93   87 -6.565378e+07
 207  207  4.480022e+41
  76   76  4.480022e+41
 504  510 -2.000000e+11
 598  598  4.480022e+41
 384  390 -2.000000e+11
 354  360 -2.000000e+11
  98  104 -2.240011e+15
 357  357  4.480022e+41
  38   38  4.480022e+41
 450  450  4.480022e+41
 512  518 -2.240011e+15
  93   93  4.480022e+41
 590  596 -2.240011e+15
 229  223 -5.600112e+14
  41   41  4.480022e+41
 266  266  4.480022e+41
  89   89  4.480022e+41
 375  381 -6.565378e+07
 202  202  4.480022e+41
 211  205 -5.600112e+14
 219  219  4.480022e+41
 362  362  4.480022e+41
 308  302 -2.240011e+15
 322  322  4.480022e+41
 464  470 -2.240011e+15
 463  457 -5.600112e+14
 166  166  4.480022e+41
 437  437  4.480022e+41
  24   18 -2.000000e+11
 283  283  4.480022e+41
 171  177 -6.565378e+07
 426  426  4.480022e+41
 130  130  4.480022e+41
 149  149  4.480022e+41
 185  185  4.480022e+41
  12    6 -2.000000e+11
 513  513  4.480022e+41
 307  301 -5.600112e+14
 312  312  4.480022e+41
 428  422 -2.240011e+15
  88   88  4.480022e+41
 414  414  4.480022e+41
 277  277  4.480022e+41
 489  495 -6.565378e+07
 228  228  4.480022e+41
 213  207 -6.565378e+07
  60   60  4.480022e+41
 331  337 -5.600112e+14
  78   72 -2.000000e+11
 132  138 -2.000000e+11
 426  420 -2.000000e+11
 371  371  4.480022e+41
 456  450 -2.000000e+11
 229  229  4.480022e+41
 105   99 -6.565378e+07
 231  231  4.480022e+41
 507  507  4.480022e+41
 126  120 -2.000000e+11
 493  499 -5.600112e+14
 255  255  4.480022e+41
  80   74 -2.240011e+15
 153  159 -6.565378e+07
 186  192 -2.000000e+11
 111  111  4.480022e+41
 350  356 -2.240011e+15
  86   86  4.480022e+41
  61   67 -5.600112e+14
 367  373 -5.600112e+14
 438  438  4.480022e+41
 434  440 -2.240011e+15
  30   36 -2.000000e+11
 372  372  4.480022e+41
 469  463 -5.600112e+14
  25   19 -5.600112e+14
 309  303 -6.565378e+07
 449  449  4.480022e+41
 573  579 -6.565378e+07
 247  247  4.480022e+41
 585  579 -6.565378e+07
 151  157 -5.600112e+14
  47   47  4.480022e+41
 199  199  4.480022e+41
  94   94  4.480022e+41
 435  429 -6.565378e+07
 102  102  4.480022e+41
  18   24 -2.000000e+11
 400  400  4.480022e+41
 165  171 -6.565378e+07
 140  134 -2.240011e+15
  51   51  4.480022e+41
 176  182 -2.240011e+15
  54   54  4.480022e+41
 178  178  4.480022e+41
 234  228 -2.000000e+11
 504  504  4.480022e+41
 273  273  4.480022e+41
 354  348 -2.000000e+11
 493  487 -5.600112e+14
  92   98 -2.240011e+15
 457  457  4.480022e+41
 403  403  4.480022e+41
 266  260 -2.240011e+15
 123  117 -6.565378e+07
 548  548  4.480022e+41
 388  388  4.480022e+41
 237  243 -6.565378e+07
 243  237 -6.565378e+07
 287  287  4.480022e+41
 220  220  4.480022e+41
  84   78 -2.000000e+11
  68   68  4.480022e+41
 289  283 -5.600112e+14
 427  433 -5.600112e+14
 559  559  4.480022e+41
 434  428 -2.240011e+15
 578  578  4.480022e+41
 565  565  4.480022e+41
 152  146 -2.240011e+15
 520  520  4.480022e+41
 594  588 -2.000000e+11
 589  583 -5.600112e+14
 516  516  4.480022e+41
 355  355  4.480022e+41
 398  404 -2.240011e+15
 421  415 -5.600112e+14
 246  246  4.480022e+41
 549  549  4.480022e+41
  60   54 -2.000000e+11
 231  237 -6.565378e+07
  86   92 -2.240011e+15
 528  534 -2.000000e+11
   0    0  4.480022e+51
 536  542 -2.240011e+15
 243  249 -6.565378e+07
 584  584  4.480022e+41
 324  324  4.480022e+41
  72   72  4.480022e+41
 577  571 -5.600112e+14
 313  313  4.480022e+41
 301  295 -5.600112e+14
 157  157  4.480022e+41
  63   69 -6.565378e+07
 534  528 -2.000000e+11
 341  341  4.480022e+41
 576  582 -2.000000e+11
 423  417 -6.565378e+07
 295  289 -5.600112e+14
 294  294  4.480022e+41
 133  133  4.480022e+41
 438  444 -2.000000e+11
 427  427  4.480022e+41
 308  314 -2.240011e+15
  35   35  4.480022e+41
   3    3  4.480022e+51
 524  518 -2.240011e+15
 555  561 -6.565378e+07
 280  280  4.480022e+41
 225  231 -6.565378e+07
 480  480  4.480022e+41
 577  577  4.480022e+41
 524  530 -2.240011e+15
 368  362 -2.240011e+15
 375  375  4.480022e+41
 324  330 -2.000000e+11
  42   36 -2.000000e+11
  90   90  4.480022e+41
 188  194 -2.240011e+15
 357  363 -6.565378e+07
 294  288 -2.000000e+11
