Condensed DOF,U Value
0,0.00000000000000000e+00
1,-1.78567857214291666e-10
2,0.00000000000000000e+00
3,0.00000000000000000e+00
4,0.00000000000000000e+00
5,-3.57135714428583331e-10
6,0.00000000000000000e+00
7,0.00000000000000000e+00
8,0.00000000000000000e+00
9,-5.35703571642874893e-10
10,0.00000000000000000e+00
11,0.00000000000000000e+00
12,0.00000000000000000e+00
13,-7.14271428857166249e-10
14,0.00000000000000000e+00
15,0.00000000000000000e+00
16,0.00000000000000000e+00
17,-8.92839286071458018e-10
18,0.00000000000000000e+00
19,0.00000000000000000e+00
20,0.00000000000000000e+00
21,-1.07140714328574917e-09
22,0.00000000000000000e+00
23,0.00000000000000000e+00
24,0.00000000000000000e+00
25,-1.24997500050004114e-09
26,0.00000000000000000e+00
27,0.00000000000000000e+00
28,0.00000000000000000e+00
29,-1.42854285771433229e-09
30,0.00000000000000000e+00
31,0.00000000000000000e+00
32,0.00000000000000000e+00
33,-1.60711071492862323e-09
34,0.00000000000000000e+00
35,0.00000000000000000e+00
36,0.00000000000000000e+00
37,-1.78567857214291521e-09
38,0.00000000000000000e+00
39,0.00000000000000000e+00
40,0.00000000000000000e+00
41,-1.96424642935720636e-09
42,0.00000000000000000e+00
43,0.00000000000000000e+00
44,0.00000000000000000e+00
45,-2.14281428657149751e-09
46,0.00000000000000000e+00
47,0.00000000000000000e+00
48,0.00000000000000000e+00
49,-2.32138214378578989e-09
50,0.00000000000000000e+00
51,0.00000000000000000e+00
52,0.00000000000000000e+00
53,-2.49995000100008187e-09
54,0.00000000000000000e+00
55,0.00000000000000000e+00
56,0.00000000000000000e+00
57,-2.67851785821437385e-09
58,0.00000000000000000e+00
59,0.00000000000000000e+00
60,0.00000000000000000e+00
61,-2.85708571542866789e-09
62,0.00000000000000000e+00
63,0.00000000000000000e+00
64,0.00000000000000000e+00
65,-3.03565357264296276e-09
66,0.00000000000000000e+00
67,0.00000000000000000e+00
68,0.00000000000000000e+00
69,-3.21422142985725639e-09
70,0.00000000000000000e+00
71,0.00000000000000000e+00
72,0.00000000000000000e+00
73,-3.39278928707155250e-09
74,0.00000000000000000e+00
75,0.00000000000000000e+00
76,0.00000000000000000e+00
77,-3.57135714428584861e-09
78,0.00000000000000000e+00
79,0.00000000000000000e+00
80,0.00000000000000000e+00
81,-3.74992500150014390e-09
82,0.00000000000000000e+00
83,0.00000000000000000e+00
84,0.00000000000000000e+00
85,-3.92849285871444001e-09
86,0.00000000000000000e+00
87,0.00000000000000000e+00
88,0.00000000000000000e+00
89,-4.10706071592873778e-09
90,0.00000000000000000e+00
91,0.00000000000000000e+00
92,0.00000000000000000e+00
93,-4.28562857314303389e-09
94,0.00000000000000000e+00
95,0.00000000000000000e+00
96,0.00000000000000000e+00
97,-4.46419643035733331e-09
98,0.00000000000000000e+00
99,0.00000000000000000e+00
100,0.00000000000000000e+00
101,-4.64276428757163190e-09
102,0.00000000000000000e+00
103,0.00000000000000000e+00
104,0.00000000000000000e+00
105,-4.82133214478592884e-09
106,0.00000000000000000e+00
107,0.00000000000000000e+00
108,0.00000000000000000e+00
109,-4.99990000200022661e-09
110,0.00000000000000000e+00
111,0.00000000000000000e+00
112,0.00000000000000000e+00
113,-5.17846785921451941e-09
114,0.00000000000000000e+00
115,0.00000000000000000e+00
116,0.00000000000000000e+00
117,-5.35703571642881387e-09
118,0.00000000000000000e+00
119,0.00000000000000000e+00
120,0.00000000000000000e+00
121,-5.53560357364310998e-09
122,0.00000000000000000e+00
123,0.00000000000000000e+00
124,0.00000000000000000e+00
125,-5.71417143085740361e-09
126,0.00000000000000000e+00
127,0.00000000000000000e+00
128,0.00000000000000000e+00
129,-5.89273928807169807e-09
130,0.00000000000000000e+00
131,0.00000000000000000e+00
132,0.00000000000000000e+00
133,-6.07130714528599252e-09
134,0.00000000000000000e+00
135,0.00000000000000000e+00
136,0.00000000000000000e+00
137,-6.24987500250028284e-09
138,0.00000000000000000e+00
139,0.00000000000000000e+00
140,0.00000000000000000e+00
141,-6.42844285971457482e-09
142,0.00000000000000000e+00
143,0.00000000000000000e+00
144,0.00000000000000000e+00
145,-6.60701071692886514e-09
146,0.00000000000000000e+00
147,0.00000000000000000e+00
148,0.00000000000000000e+00
149,-6.78557857414315629e-09
150,0.00000000000000000e+00
151,0.00000000000000000e+00
152,0.00000000000000000e+00
153,-6.96414643135744661e-09
154,0.00000000000000000e+00
155,0.00000000000000000e+00
156,0.00000000000000000e+00
157,-7.14271428857173693e-09
158,0.00000000000000000e+00
159,0.00000000000000000e+00
160,0.00000000000000000e+00
161,-7.32128214578602395e-09
162,0.00000000000000000e+00
163,0.00000000000000000e+00
164,0.00000000000000000e+00
165,-7.49985000300031096e-09
166,0.00000000000000000e+00
167,0.00000000000000000e+00
168,0.00000000000000000e+00
169,-7.67841786021460128e-09
170,0.00000000000000000e+00
171,0.00000000000000000e+00
172,0.00000000000000000e+00
173,-7.85698571742888664e-09
174,0.00000000000000000e+00
175,0.00000000000000000e+00
176,0.00000000000000000e+00
177,-8.03555357464317696e-09
178,0.00000000000000000e+00
179,0.00000000000000000e+00
180,0.00000000000000000e+00
181,-8.21412143185746728e-09
182,0.00000000000000000e+00
183,0.00000000000000000e+00
184,0.00000000000000000e+00
185,-8.39268928907175098e-09
186,0.00000000000000000e+00
187,0.00000000000000000e+00
188,0.00000000000000000e+00
189,-8.57125714628603965e-09
190,0.00000000000000000e+00
191,0.00000000000000000e+00
192,0.00000000000000000e+00
193,-8.74982500350032666e-09
194,0.00000000000000000e+00
195,0.00000000000000000e+00
196,0.00000000000000000e+00
197,-8.92839286071461533e-09
198,0.00000000000000000e+00
199,0.00000000000000000e+00
200,0.00000000000000000e+00
201,-9.10696071792890234e-09
202,0.00000000000000000e+00
203,0.00000000000000000e+00
204,0.00000000000000000e+00
205,-9.28552857514319267e-09
206,0.00000000000000000e+00
207,0.00000000000000000e+00
208,0.00000000000000000e+00
209,-9.46409643235748133e-09
210,0.00000000000000000e+00
211,0.00000000000000000e+00
212,0.00000000000000000e+00
213,-9.64266428957177000e-09
214,0.00000000000000000e+00
215,0.00000000000000000e+00
216,0.00000000000000000e+00
217,-9.82123214678606032e-09
218,0.00000000000000000e+00
219,0.00000000000000000e+00
220,0.00000000000000000e+00
221,-9.99980000400035064e-09
222,0.00000000000000000e+00
223,0.00000000000000000e+00
224,0.00000000000000000e+00
225,-1.01783678612146327e-08
226,0.00000000000000000e+00
227,0.00000000000000000e+00
