Global DOF,U Value
0,0.00000000000000000e+00
1,0.00000000000000000e+00
2,0.00000000000000000e+00
3,0.00000000000000000e+00
4,0.00000000000000000e+00
5,0.00000000000000000e+00
6,0.00000000000000000e+00
7,-1.78567857214291666e-10
8,0.00000000000000000e+00
9,0.00000000000000000e+00
10,0.00000000000000000e+00
11,0.00000000000000000e+00
12,0.00000000000000000e+00
13,-3.57135714428583331e-10
14,0.00000000000000000e+00
15,0.00000000000000000e+00
16,0.00000000000000000e+00
17,0.00000000000000000e+00
18,0.00000000000000000e+00
19,-5.35703571642874893e-10
20,0.00000000000000000e+00
21,0.00000000000000000e+00
22,0.00000000000000000e+00
23,0.00000000000000000e+00
24,0.00000000000000000e+00
25,-7.14271428857166249e-10
26,0.00000000000000000e+00
27,0.00000000000000000e+00
28,0.00000000000000000e+00
29,0.00000000000000000e+00
30,0.00000000000000000e+00
31,-8.92839286071458018e-10
32,0.00000000000000000e+00
33,0.00000000000000000e+00
34,0.00000000000000000e+00
35,0.00000000000000000e+00
36,0.00000000000000000e+00
37,-1.07140714328574917e-09
38,0.00000000000000000e+00
39,0.00000000000000000e+00
40,0.00000000000000000e+00
41,0.00000000000000000e+00
42,0.00000000000000000e+00
43,-1.24997500050004114e-09
44,0.00000000000000000e+00
45,0.00000000000000000e+00
46,0.00000000000000000e+00
47,0.00000000000000000e+00
48,0.00000000000000000e+00
49,-1.42854285771433229e-09
50,0.00000000000000000e+00
51,0.00000000000000000e+00
52,0.00000000000000000e+00
53,0.00000000000000000e+00
54,0.00000000000000000e+00
55,-1.60711071492862323e-09
56,0.00000000000000000e+00
57,0.00000000000000000e+00
58,0.00000000000000000e+00
59,0.00000000000000000e+00
60,0.00000000000000000e+00
61,-1.78567857214291521e-09
62,0.00000000000000000e+00
63,0.00000000000000000e+00
64,0.00000000000000000e+00
65,0.00000000000000000e+00
66,0.00000000000000000e+00
67,-1.96424642935720636e-09
68,0.00000000000000000e+00
69,0.00000000000000000e+00
70,0.00000000000000000e+00
71,0.00000000000000000e+00
72,0.00000000000000000e+00
73,-2.14281428657149751e-09
74,0.00000000000000000e+00
75,0.00000000000000000e+00
76,0.00000000000000000e+00
77,0.00000000000000000e+00
78,0.00000000000000000e+00
79,-2.32138214378578989e-09
80,0.00000000000000000e+00
81,0.00000000000000000e+00
82,0.00000000000000000e+00
83,0.00000000000000000e+00
84,0.00000000000000000e+00
85,-2.49995000100008187e-09
86,0.00000000000000000e+00
87,0.00000000000000000e+00
88,0.00000000000000000e+00
89,0.00000000000000000e+00
90,0.00000000000000000e+00
91,-2.67851785821437385e-09
92,0.00000000000000000e+00
93,0.00000000000000000e+00
94,0.00000000000000000e+00
95,0.00000000000000000e+00
96,0.00000000000000000e+00
97,-2.85708571542866789e-09
98,0.00000000000000000e+00
99,0.00000000000000000e+00
100,0.00000000000000000e+00
101,0.00000000000000000e+00
102,0.00000000000000000e+00
103,-3.03565357264296276e-09
104,0.00000000000000000e+00
105,0.00000000000000000e+00
106,0.00000000000000000e+00
107,0.00000000000000000e+00
108,0.00000000000000000e+00
109,-3.21422142985725639e-09
110,0.00000000000000000e+00
111,0.00000000000000000e+00
112,0.00000000000000000e+00
113,0.00000000000000000e+00
114,0.00000000000000000e+00
115,-3.39278928707155250e-09
116,0.00000000000000000e+00
117,0.00000000000000000e+00
118,0.00000000000000000e+00
119,0.00000000000000000e+00
120,0.00000000000000000e+00
121,-3.57135714428584861e-09
122,0.00000000000000000e+00
123,0.00000000000000000e+00
124,0.00000000000000000e+00
125,0.00000000000000000e+00
126,0.00000000000000000e+00
127,-3.74992500150014390e-09
128,0.00000000000000000e+00
129,0.00000000000000000e+00
130,0.00000000000000000e+00
131,0.00000000000000000e+00
132,0.00000000000000000e+00
133,-3.92849285871444001e-09
134,0.00000000000000000e+00
135,0.00000000000000000e+00
136,0.00000000000000000e+00
137,0.00000000000000000e+00
138,0.00000000000000000e+00
139,-4.10706071592873778e-09
140,0.00000000000000000e+00
141,0.00000000000000000e+00
142,0.00000000000000000e+00
143,0.00000000000000000e+00
144,0.00000000000000000e+00
145,-4.28562857314303389e-09
146,0.00000000000000000e+00
147,0.00000000000000000e+00
148,0.00000000000000000e+00
149,0.00000000000000000e+00
150,0.00000000000000000e+00
151,-4.46419643035733331e-09
152,0.00000000000000000e+00
153,0.00000000000000000e+00
154,0.00000000000000000e+00
155,0.00000000000000000e+00
156,0.00000000000000000e+00
157,-4.64276428757163190e-09
158,0.00000000000000000e+00
159,0.00000000000000000e+00
160,0.00000000000000000e+00
161,0.00000000000000000e+00
162,0.00000000000000000e+00
163,-4.82133214478592884e-09
164,0.00000000000000000e+00
165,0.00000000000000000e+00
166,0.00000000000000000e+00
167,0.00000000000000000e+00
168,0.00000000000000000e+00
169,-4.99990000200022661e-09
170,0.00000000000000000e+00
171,0.00000000000000000e+00
172,0.00000000000000000e+00
173,0.00000000000000000e+00
174,0.00000000000000000e+00
175,-5.17846785921451941e-09
176,0.00000000000000000e+00
177,0.00000000000000000e+00
178,0.00000000000000000e+00
