Element ID,Local DOF,U Value
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,-1.7856785721429167e-10
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,-1.7856785721429167e-10
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,-3.5713571442858333e-10
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,-3.5713571442858333e-10
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,-5.357035716428749e-10
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,-5.357035716428749e-10
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,-7.142714288571662e-10
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,-7.142714288571662e-10
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,-8.92839286071458e-10
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,-8.92839286071458e-10
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,0.0
5,7,-1.0714071432857492e-09
5,8,0.0
5,9,0.0
5,10,0.0
5,11,0.0
6,0,0.0
6,1,-1.0714071432857492e-09
6,2,0.0
6,3,0.0
6,4,0.0
6,5,0.0
6,6,0.0
6,7,-1.2499750005000411e-09
6,8,0.0
6,9,0.0
6,10,0.0
6,11,0.0
7,0,0.0
7,1,-1.2499750005000411e-09
7,2,0.0
7,3,0.0
7,4,0.0
7,5,0.0
7,6,0.0
7,7,-1.4285428577143323e-09
7,8,0.0
7,9,0.0
7,10,0.0
7,11,0.0
8,0,0.0
8,1,-1.4285428577143323e-09
8,2,0.0
8,3,0.0
8,4,0.0
8,5,0.0
8,6,0.0
8,7,-1.6071107149286232e-09
8,8,0.0
8,9,0.0
8,10,0.0
8,11,0.0
9,0,0.0
9,1,-1.6071107149286232e-09
9,2,0.0
9,3,0.0
9,4,0.0
9,5,0.0
9,6,0.0
9,7,-1.7856785721429152e-09
9,8,0.0
9,9,0.0
9,10,0.0
9,11,0.0
10,0,0.0
10,1,-1.7856785721429152e-09
10,2,0.0
10,3,0.0
10,4,0.0
10,5,0.0
10,6,0.0
10,7,-1.9642464293572064e-09
10,8,0.0
10,9,0.0
10,10,0.0
10,11,0.0
11,0,0.0
11,1,-1.9642464293572064e-09
11,2,0.0
11,3,0.0
11,4,0.0
11,5,0.0
11,6,0.0
11,7,-2.1428142865714975e-09
11,8,0.0
11,9,0.0
11,10,0.0
11,11,0.0
12,0,0.0
12,1,-2.1428142865714975e-09
12,2,0.0
12,3,0.0
12,4,0.0
12,5,0.0
12,6,0.0
12,7,-2.32138214378579e-09
12,8,0.0
12,9,0.0
12,10,0.0
12,11,0.0
13,0,0.0
13,1,-2.32138214378579e-09
13,2,0.0
13,3,0.0
13,4,0.0
13,5,0.0
13,6,0.0
13,7,-2.499950001000082e-09
13,8,0.0
13,9,0.0
13,10,0.0
13,11,0.0
14,0,0.0
14,1,-2.499950001000082e-09
14,2,0.0
14,3,0.0
14,4,0.0
14,5,0.0
14,6,0.0
14,7,-2.678517858214374e-09
14,8,0.0
14,9,0.0
14,10,0.0
14,11,0.0
15,0,0.0
15,1,-2.678517858214374e-09
15,2,0.0
15,3,0.0
15,4,0.0
15,5,0.0
15,6,0.0
15,7,-2.857085715428668e-09
15,8,0.0
15,9,0.0
15,10,0.0
15,11,0.0
16,0,0.0
16,1,-2.857085715428668e-09
16,2,0.0
16,3,0.0
16,4,0.0
16,5,0.0
16,6,0.0
16,7,-3.0356535726429628e-09
16,8,0.0
16,9,0.0
16,10,0.0
16,11,0.0
17,0,0.0
17,1,-3.0356535726429628e-09
17,2,0.0
17,3,0.0
17,4,0.0
17,5,0.0
17,6,0.0
17,7,-3.2142214298572564e-09
17,8,0.0
17,9,0.0
17,10,0.0
17,11,0.0
18,0,0.0
18,1,-3.2142214298572564e-09
18,2,0.0
18,3,0.0
18,4,0.0
18,5,0.0
18,6,0.0
18,7,-3.3927892870715525e-09
18,8,0.0
18,9,0.0
18,10,0.0
18,11,0.0
19,0,0.0
19,1,-3.3927892870715525e-09
19,2,0.0
19,3,0.0
19,4,0.0
19,5,0.0
19,6,0.0
19,7,-3.5713571442858486e-09
19,8,0.0
19,9,0.0
19,10,0.0
19,11,0.0
20,0,0.0
20,1,-3.5713571442858486e-09
20,2,0.0
20,3,0.0
20,4,0.0
20,5,0.0
20,6,0.0
20,7,-3.749925001500144e-09
20,8,0.0
20,9,0.0
20,10,0.0
20,11,0.0
21,0,0.0
21,1,-3.749925001500144e-09
21,2,0.0
21,3,0.0
21,4,0.0
21,5,0.0
21,6,0.0
21,7,-3.92849285871444e-09
21,8,0.0
21,9,0.0
21,10,0.0
21,11,0.0
22,0,0.0
22,1,-3.92849285871444e-09
22,2,0.0
22,3,0.0
22,4,0.0
22,5,0.0
22,6,0.0
22,7,-4.107060715928738e-09
22,8,0.0
22,9,0.0
22,10,0.0
22,11,0.0
23,0,0.0
23,1,-4.107060715928738e-09
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,-4.285628573143034e-09
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
24,0,0.0
24,1,-4.285628573143034e-09
24,2,0.0
24,3,0.0
24,4,0.0
24,5,0.0
24,6,0.0
24,7,-4.464196430357333e-09
24,8,0.0
24,9,0.0
24,10,0.0
24,11,0.0
25,0,0.0
25,1,-4.464196430357333e-09
25,2,0.0
25,3,0.0
25,4,0.0
25,5,0.0
25,6,0.0
25,7,-4.642764287571632e-09
25,8,0.0
25,9,0.0
25,10,0.0
25,11,0.0
26,0,0.0
26,1,-4.642764287571632e-09
26,2,0.0
26,3,0.0
26,4,0.0
26,5,0.0
26,6,0.0
26,7,-4.821332144785929e-09
26,8,0.0
26,9,0.0
26,10,0.0
26,11,0.0
27,0,0.0
27,1,-4.821332144785929e-09
27,2,0.0
27,3,0.0
27,4,0.0
27,5,0.0
27,6,0.0
27,7,-4.999900002000227e-09
27,8,0.0
27,9,0.0
27,10,0.0
27,11,0.0
28,0,0.0
28,1,-4.999900002000227e-09
28,2,0.0
28,3,0.0
28,4,0.0
28,5,0.0
28,6,0.0
28,7,-5.178467859214519e-09
28,8,0.0
28,9,0.0
28,10,0.0
28,11,0.0
29,0,0.0
29,1,-5.178467859214519e-09
29,2,0.0
29,3,0.0
29,4,0.0
29,5,0.0
29,6,0.0
29,7,-5.357035716428814e-09
29,8,0.0
29,9,0.0
29,10,0.0
29,11,0.0
30,0,0.0
30,1,-5.357035716428814e-09
30,2,0.0
30,3,0.0
30,4,0.0
30,5,0.0
30,6,0.0
30,7,-5.53560357364311e-09
30,8,0.0
30,9,0.0
30,10,0.0
30,11,0.0
31,0,0.0
31,1,-5.53560357364311e-09
31,2,0.0
31,3,0.0
31,4,0.0
31,5,0.0
31,6,0.0
31,7,-5.714171430857404e-09
31,8,0.0
31,9,0.0
31,10,0.0
31,11,0.0
32,0,0.0
32,1,-5.714171430857404e-09
32,2,0.0
32,3,0.0
32,4,0.0
32,5,0.0
32,6,0.0
32,7,-5.892739288071698e-09
32,8,0.0
32,9,0.0
32,10,0.0
32,11,0.0
33,0,0.0
33,1,-5.892739288071698e-09
33,2,0.0
33,3,0.0
33,4,0.0
33,5,0.0
33,6,0.0
33,7,-6.0713071452859925e-09
33,8,0.0
33,9,0.0
33,10,0.0
