2025-06-18 15:55:41,556 [DEBUG] 📁 Log file created at: \\mull.sms.ed.ac.uk\home\s1834431\Win7\Desktop\fem_model\post_processing\results\job_0011_2025-06-18_15-55-33-619286_pid33080_9a2e6874\logs\ModifyGlobalSystem.log (Module: modification, Line: 97)
2025-06-18 15:55:41,557 [INFO] 🔧 Applying stabilized boundary conditions... (Module: modification, Line: 115)
2025-06-18 15:55:41,558 [DEBUG] Computed penalty value: 4.48e+51 (Module: modification, Line: 172)
2025-06-18 15:55:41,559 [DEBUG] 
======================================== System Diagnostics ======================================== (Module: modification, Line: 263)
2025-06-18 15:55:41,560 [DEBUG] Original Non-zeros: 1204
Modified Non-zeros: 1198
Penalty Value: 4.48e+51
Stabilization Factor: 4.48e+41 (Module: modification, Line: 275)
2025-06-18 15:55:41,577 [DEBUG] 
Matrix Sample (COO format):
 Row  Col         Value
 103  103  1.120022e+15
 168  174 -2.000000e+11
  26   26  4.480022e+15
 135  129 -6.565378e+07
 314  314  4.480022e+15
 264  270 -2.000000e+11
  97   97  1.120022e+15
 498  498  4.000000e+11
 558  558  4.000000e+11
 530  524 -2.240011e+15
 159  153 -6.565378e+07
 548  554 -2.240011e+15
 156  156  4.000000e+11
 201  195 -6.565378e+07
 186  180 -2.000000e+11
 225  219 -6.565378e+07
 487  487  1.120022e+15
 105  105  1.313076e+08
  30   36 -2.000000e+11
 529  535 -5.600112e+14
 480  486 -2.000000e+11
 494  488 -2.240011e+15
 535  541 -5.600112e+14
 535  535  1.120022e+15
 494  494  4.480022e+15
  24   24  4.000000e+11
 375  375  1.313076e+08
 104  110 -2.240011e+15
 433  433  1.120022e+15
 573  573  1.313076e+08
   5    5  4.480022e+51
  13   13  1.120022e+15
 416  416  4.480022e+15
 314  320 -2.240011e+15
 294  300 -2.000000e+11
 566  572 -2.240011e+15
 116  110 -2.240011e+15
 471  477 -6.565378e+07
 409  415 -5.600112e+14
 213  213  1.313076e+08
 595  601 -5.600112e+14
  96  102 -2.000000e+11
 266  272 -2.240011e+15
  66   72 -2.000000e+11
 344  344  4.480022e+15
 270  264 -2.000000e+11
 156  150 -2.000000e+11
 510  504 -2.000000e+11
 543  543  1.313076e+08
 349  343 -5.600112e+14
 350  344 -2.240011e+15
 519  519  1.313076e+08
 558  564 -2.000000e+11
 414  408 -2.000000e+11
 506  512 -2.240011e+15
 559  565 -5.600112e+14
   7    7  1.120022e+15
 151  157 -5.600112e+14
 297  303 -6.565378e+07
 482  482  4.480022e+15
  12    6 -2.000000e+11
 219  213 -6.565378e+07
 175  175  1.120022e+15
 320  314 -2.240011e+15
 540  546 -2.000000e+11
 279  279  1.313076e+08
 284  284  4.480022e+15
 337  331 -5.600112e+14
 397  391 -5.600112e+14
 523  523  1.120022e+15
 242  242  4.480022e+15
 445  451 -5.600112e+14
 369  375 -6.565378e+07
 236  242 -2.240011e+15
 399  399  1.313076e+08
 531  531  1.313076e+08
 410  410  4.480022e+15
 444  450 -2.000000e+11
 182  176 -2.240011e+15
 295  301 -5.600112e+14
 480  474 -2.000000e+11
 571  565 -5.600112e+14
 302  302  4.480022e+15
 127  133 -5.600112e+14
 120  120  4.000000e+11
 499  493 -5.600112e+14
  42   42  4.000000e+11
 333  333  1.313076e+08
 332  338 -2.240011e+15
 500  506 -2.240011e+15
 368  362 -2.240011e+15
 217  223 -5.600112e+14
 488  488  4.480022e+15
 198  192 -2.000000e+11
 333  339 -6.565378e+07
  74   80 -2.240011e+15
 378  378  4.000000e+11
 519  513 -6.565378e+07
 585  579 -6.565378e+07
 356  362 -2.240011e+15
 339  339  1.313076e+08
 158  164 -2.240011e+15
 309  315 -6.565378e+07
 426  420 -2.000000e+11
  20   26 -2.240011e+15
 177  183 -6.565378e+07
 129  123 -6.565378e+07
 417  423 -6.565378e+07
  57   57  1.313076e+08
 495  501 -6.565378e+07
  80   74 -2.240011e+15
 302  296 -2.240011e+15
 566  560 -2.240011e+15
 529  523 -5.600112e+14
 282  276 -2.000000e+11
 367  367  1.120022e+15
 385  385  1.120022e+15
 362  356 -2.240011e+15
 528  534 -2.000000e+11
 531  525 -6.565378e+07
  74   74  4.480022e+15
 247  253 -5.600112e+14
 343  343  1.120022e+15
  27   33 -6.565378e+07
 591  597 -6.565378e+07
 267  273 -6.565378e+07
 409  409  1.120022e+15
 452  458 -2.240011e+15
 248  248  4.480022e+15
 600  600  2.000000e+11
 283  277 -5.600112e+14
 277  271 -5.600112e+14
 225  231 -6.565378e+07
 330  330  4.000000e+11
 475  469 -5.600112e+14
 501  495 -6.565378e+07
 601  595 -5.600112e+14
 507  507  1.313076e+08
 109  115 -5.600112e+14
 187  193 -5.600112e+14
