Condensed DOF,U Value
0,5.00000000000036294e-07
1,-1.78567857214315886e-10
2,4.46426339296943807e-11
3,1.52314153485788085e-03
4,1.00000000000007259e-06
5,-3.57135714428631773e-10
6,8.92852678593887484e-11
7,3.04628306971576170e-03
8,1.50000000000010825e-06
9,-5.35703571642947478e-10
10,1.33927901789083097e-10
11,4.56942460457364277e-03
12,2.00000000000014391e-06
13,-7.14271428857263132e-10
14,1.78570535718777497e-10
15,6.09256613943152427e-03
16,2.50000000000017978e-06
17,-8.92839286071578889e-10
18,2.23213169648471793e-10
19,7.61570767428940750e-03
20,3.00000000000021565e-06
21,-1.07140714328589434e-09
22,2.67855803578165987e-10
23,9.13884920914728900e-03
24,3.50000000000025236e-06
25,-1.24997500050021051e-09
26,3.12498437507860309e-10
27,1.06619907440051731e-02
28,4.00000000000028696e-06
29,-1.42854285771452606e-09
30,3.57141071437554425e-10
31,1.21851322788630572e-02
32,4.50000000000032199e-06
33,-1.60711071492884078e-09
34,4.01783705367248437e-10
35,1.37082738137209482e-02
36,5.00000000000035786e-06
37,-1.78567857214315695e-09
38,4.46426339296942553e-10
39,1.52314153485788358e-02
40,5.50000000000039373e-06
41,-1.96424642935747271e-09
42,4.91068973226636358e-10
43,1.67545568834367269e-02
44,6.00000000000042960e-06
45,-2.14281428657178785e-09
46,5.35711607156330009e-10
47,1.82776984182946196e-02
48,6.50000000000046377e-06
49,-2.32138214378610422e-09
50,5.80354241086023866e-10
51,1.98008399531525159e-02
52,7.00000000000050049e-06
53,-2.49995000100042060e-09
54,6.24996875015717620e-10
55,2.13239814880104087e-02
56,7.50000000000053551e-06
57,-2.67851785821473698e-09
58,6.69639508945411064e-10
59,2.28471230228682945e-02
60,8.00000000000057223e-06
61,-2.85708571542905542e-09
62,7.14282142875105024e-10
63,2.43702645577261803e-02
64,8.50000000000060810e-06
65,-3.03565357264337428e-09
66,7.58924776804798985e-10
67,2.58934060925840696e-02
68,9.00000000000064567e-06
69,-3.21422142985769149e-09
70,8.03567410734492635e-10
71,2.74165476274419520e-02
72,9.50000000000068323e-06
73,-3.39278928707201200e-09
74,8.48210044664186906e-10
75,2.89396891622998344e-02
76,1.00000000000007225e-05
77,-3.57135714428633210e-09
78,8.92852678593881177e-10
79,3.04628306971577167e-02
80,1.05000000000007601e-05
81,-3.74992500150065179e-09
82,9.37495312523575344e-10
83,3.19859722320155956e-02
