Global DOF,U Value
0,0.00000000000000000e+00
1,0.00000000000000000e+00
2,0.00000000000000000e+00
3,0.00000000000000000e+00
4,0.00000000000000000e+00
5,0.00000000000000000e+00
6,5.00000000000036294e-07
7,-1.78567857214315886e-10
8,4.46426339296943807e-11
9,1.52314153485788085e-03
10,0.00000000000000000e+00
11,0.00000000000000000e+00
12,1.00000000000007259e-06
13,-3.57135714428631773e-10
14,8.92852678593887484e-11
15,3.04628306971576170e-03
16,0.00000000000000000e+00
17,0.00000000000000000e+00
18,1.50000000000010825e-06
19,-5.35703571642947478e-10
20,1.33927901789083097e-10
21,4.56942460457364277e-03
22,0.00000000000000000e+00
23,0.00000000000000000e+00
24,2.00000000000014391e-06
25,-7.14271428857263132e-10
26,1.78570535718777497e-10
27,6.09256613943152427e-03
28,0.00000000000000000e+00
29,0.00000000000000000e+00
30,2.50000000000017978e-06
31,-8.92839286071578889e-10
32,2.23213169648471793e-10
33,7.61570767428940750e-03
34,0.00000000000000000e+00
35,0.00000000000000000e+00
36,3.00000000000021565e-06
37,-1.07140714328589434e-09
38,2.67855803578165987e-10
39,9.13884920914728900e-03
40,0.00000000000000000e+00
41,0.00000000000000000e+00
42,3.50000000000025236e-06
43,-1.24997500050021051e-09
44,3.12498437507860309e-10
45,1.06619907440051731e-02
46,0.00000000000000000e+00
47,0.00000000000000000e+00
48,4.00000000000028696e-06
49,-1.42854285771452606e-09
50,3.57141071437554425e-10
51,1.21851322788630572e-02
52,0.00000000000000000e+00
53,0.00000000000000000e+00
54,4.50000000000032199e-06
55,-1.60711071492884078e-09
56,4.01783705367248437e-10
57,1.37082738137209482e-02
58,0.00000000000000000e+00
59,0.00000000000000000e+00
60,5.00000000000035786e-06
61,-1.78567857214315695e-09
62,4.46426339296942553e-10
63,1.52314153485788358e-02
64,0.00000000000000000e+00
65,0.00000000000000000e+00
66,5.50000000000039373e-06
67,-1.96424642935747271e-09
68,4.91068973226636358e-10
69,1.67545568834367269e-02
70,0.00000000000000000e+00
71,0.00000000000000000e+00
72,6.00000000000042960e-06
73,-2.14281428657178785e-09
74,5.35711607156330009e-10
75,1.82776984182946196e-02
76,0.00000000000000000e+00
77,0.00000000000000000e+00
78,6.50000000000046377e-06
79,-2.32138214378610422e-09
80,5.80354241086023866e-10
81,1.98008399531525159e-02
82,0.00000000000000000e+00
83,0.00000000000000000e+00
84,7.00000000000050049e-06
85,-2.49995000100042060e-09
86,6.24996875015717620e-10
87,2.13239814880104087e-02
88,0.00000000000000000e+00
89,0.00000000000000000e+00
90,7.50000000000053551e-06
91,-2.67851785821473698e-09
92,6.69639508945411064e-10
93,2.28471230228682945e-02
94,0.00000000000000000e+00
95,0.00000000000000000e+00
96,8.00000000000057223e-06
97,-2.85708571542905542e-09
98,7.14282142875105024e-10
99,2.43702645577261803e-02
100,0.00000000000000000e+00
101,0.00000000000000000e+00
102,8.50000000000060810e-06
103,-3.03565357264337428e-09
104,7.58924776804798985e-10
105,2.58934060925840696e-02
106,0.00000000000000000e+00
107,0.00000000000000000e+00
108,9.00000000000064567e-06
109,-3.21422142985769149e-09
110,8.03567410734492635e-10
111,2.74165476274419520e-02
112,0.00000000000000000e+00
113,0.00000000000000000e+00
114,9.50000000000068323e-06
115,-3.39278928707201200e-09
116,8.48210044664186906e-10
117,2.89396891622998344e-02
118,0.00000000000000000e+00
119,0.00000000000000000e+00
120,1.00000000000007225e-05
121,-3.57135714428633210e-09
122,8.92852678593881177e-10
123,3.04628306971577167e-02
124,0.00000000000000000e+00
125,0.00000000000000000e+00
126,1.05000000000007601e-05
127,-3.74992500150065179e-09
128,9.37495312523575344e-10
129,3.19859722320155956e-02
130,0.00000000000000000e+00
131,0.00000000000000000e+00
132,1.10000000000007993e-05
133,-3.92849285871497271e-09
134,9.82137946453270029e-10
135,3.35091137668734745e-02
136,0.00000000000000000e+00
137,0.00000000000000000e+00
138,1.15000000000008420e-05
139,-4.10706071592929364e-09
140,1.02678058038296451e-09
141,3.50322553017313604e-02
142,0.00000000000000000e+00
143,0.00000000000000000e+00
144,1.20000000000008795e-05
145,-4.28562857314361457e-09
146,1.07142321431265919e-09
147,3.65553968365892323e-02
148,0.00000000000000000e+00
149,0.00000000000000000e+00
150,1.25000000000009205e-05
151,-4.46419643035793798e-09
152,1.11606584824235450e-09
153,3.80785383714470974e-02
154,0.00000000000000000e+00
155,0.00000000000000000e+00
156,1.30000000000009580e-05
157,-4.64276428757226056e-09
158,1.16070848217205001e-09
159,3.96016799063049624e-02
160,0.00000000000000000e+00
161,0.00000000000000000e+00
162,1.35000000000009973e-05
163,-4.82133214478658231e-09
164,1.20535111610174531e-09
165,4.11248214411628343e-02
166,0.00000000000000000e+00
167,0.00000000000000000e+00
168,1.40000000000010332e-05
169,-4.99990000200090407e-09
170,1.24999375003144062e-09
171,4.26479629760207063e-02
172,0.00000000000000000e+00
173,0.00000000000000000e+00
174,1.45000000000010690e-05
175,-5.17846785921522086e-09
176,1.29463638396113551e-09
177,4.41711045108785713e-02
178,0.00000000000000000e+00
